"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","typeStatus","individualCount","sex","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","02694877","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Simaba","glabra","Simaba glabra","Engl.","M. F. Devecchi","M. F. Devecchi","322","2014","09","06","South America","Brazil","Mato Grosso do Sul","Bonito","Estrada não pavimentada para Guia Lopes, estrada em direção ao Balneário e Camping do Gordo.","-56.415325","-21.162525","303","303","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978386' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694877","NY02694877_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02694878","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Simaba","glabra","Simaba glabra","Engl.","M. F. Devecchi","M. F. Devecchi","322","2014","09","06","South America","Brazil","Mato Grosso do Sul","Bonito","Estrada não pavimentada para Guia Lopes, estrada em direção ao Balneário e Camping do Gordo.","-56.415325","-21.162525","303","303","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2983425' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694878","NY02694878_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02694849","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Simaba","glabra","Simaba glabra","Engl.","M. F. Devecchi","M. F. Devecchi","298","2014","03","26","South America","Brazil","Mato Grosso do Sul","Bonito","Estrada não pavimentada para Guia Lopes, estrada em direção ao Balneário e Camping do Gordo","-56.41072","-21.17106",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978368' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694849","NY02694849_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02681313","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Simaba","glabra","Simaba glabra","Engl.","M. F. Devecchi","B. Maguire","56282","1963","08","25","South America","Brazil","Mato Grosso",NA,"15-120 km beyond Alto Araguaia, road to Cuiaba. Brasilia-Acre Highway.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2971196' target='other'> <mi>dwc_moreinfo</mi></a>","NY02681313","NY02681313_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:49:44-03","EAO","IAN","137717","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Simaroubaceae","Simaba","glabra","Simaba glabra","Engl.","Cavalcante, PB","Ratter, JA; Castro, RA de","s.n.","1968","06","29","Southern America","Brasil","Mato Grosso",NA,"Base camp of the expedition.",NA,NA,NA,NA,NA,"vernacular name,shrub,to 1.5m tall.Petals greeny cream.Antters mauve.","IAN137717",NA,"1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:49:44-03","EAO","IAN","145239","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Simaroubaceae","Simaba","glabra","Simaba glabra","Engl.","Cavalcante, PB","Richards, PW","6580",NA,NA,NA,"Southern America","Brasil","Mato Grosso","Xavantina",NA,NA,NA,NA,NA,NA,"Shrub to c.1m high,flowers greenish shite.","IAN145239",NA,"1980","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-26 18:09:51-03","CPAN-UFMS","COR","4321","PreservedSpecimen","Plantae",NA,NA,"Simaroubaceae","Simaba","glabra","Simaba glabra","Engl.","J.A. Ratter","Ratter, J.A.; Lima, V.P. de","6719","1993","07","02",NA,"Brasil","Maranhão","Nova Carolina","Próximo a estrada Norte para Estreito Maranhão.","-47.416667","-7.116667",NA,NA,NA,"Formando agupamentos, pétalas e tubo estaminal amarelo-claro-verde. Flores com um escrecencia estranha. Habito: Subarbusto",NA,NA,"1994",NA,"47º25'0''W","7º7'0''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:33:45-03","NBC","NL-BOTANY","U.1721738","PreservedSpecimen","Plantae",NA,"Sapindales","Simaroubaceae","Simaba","glabra","Simaba glabra","Engl.","Cavalcante PB","Maguire B; Pires JM; Maguire CK; Silva NT",NA,"1963","08","10","Southern America","Brazil","Goiás",NA,"3 km before Mosquito, Edo. Goias, on Belem - Brasilia highway.",NA,NA,NA,NA,NA,"In savanna.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1721738 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1721738","NL-U1721738","1980","10",NA,NA,"Magnoliopsidae","01","U 0259181",NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:33:45-03","NBC","NL-BOTANY","U.1721739","PreservedSpecimen","Plantae",NA,"Sapindales","Simaroubaceae","Simaba","glabra","Simaba glabra","Engl.","Cavalcante PB","Prance GT; Silva NT",NA,"1964","08","02","Southern America","Brazil","Tocantins",NA,"West of Filadelfia in Serra de Jacouba.",NA,NA,NA,NA,NA,"Sandstone.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1721739 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1721739","NL-U1721739","1980","10",NA,NA,"Magnoliopsidae","01","U 0259180",NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:19:45-03","ESALQ","ESA","28161","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Simaroubaceae","Simaba","glabra","Simaba glabra",NA,NA,"Dubs, B.","1652.0","1994","07","09",NA,"Brasil","Mato Grosso","Chapada dos Guimarães",NA,"-55.749698638916","-15.460599899292",NA,NA,NA,NA,"ESA028161",NA,NA,NA,NA,NA,NA,NA,NA,"107042","auto",NA,NA,NA,NA,NA
