"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","eventTime","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","477250","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.","M. H. Nee","D. A. Folli","257","1980","09","22","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Est. Flamencgo, ant. X-1, Km 0.962, lado dieiro","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=516159' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477250","NY00477250_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-30 06:27:00-03","NY","NYBG","1477243","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis",NA,"L. Sánchez","M. Saldías Paz","5212","1997","05","07","South America","Bolivia","Santa Cruz","Angel Sandoval","Loc.: Comunidad San Fernando. Ribera del Río San Fernando.","-58.63714","-17.25936","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1741740' target='other'> <mi>dwc_moreinfo</mi></a>","NY01477243","NY01477243_01","108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","477251","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.","M. H. Nee","L. A. Mattos Silva","1795","1984","08","25","South America","Brazil","Bahia","Cairu","Km. 3 de Rodovia, Cairu - Nilo Peçanha. Area cultivada, próxima á residencias","-39.0554416","-13.513266","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=516160' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477251","NY00477251_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","477191","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.",NA,"E. M. N. Ferraz","459","1998","10","05","South America","Brazil","Pernambuco",NA,"Sao Vicente Férrer, Mata do Estado","-35.5","-7.58","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93513' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477191","NY00477191_01","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","477261","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.","M. H. Nee","J. Almeida","190","1968","10","31","South America","Brazil","Bahia","Ilhéus","CEPEC. Plantaçao de cacau","-39.2273659","-14.771874","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376535' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477261","NY00477261_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","477266","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.","M. H. Nee","S. A. Mori","9324","1978","02","27","South America","Brazil","Bahia","Una","Ramal que liga a BA 265 (Rod. Una Rio Branco) à BR 101 (Sao José), a 8 km SW do cruzamento e a 20 km NW de Una, em linha reta. Regiao de Mata Higrófila Sul Baiana","-39.2698333","-15.1903162","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=516172' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477266","NY00477266_01","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","477095","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.","M. H. Nee","J. A. Kallunki","489","1994","02","09","South America","Brazil","Bahia","Ilhéus","11 km from bridge at edge of Ilhéus on road to Serra Grande","-39.07","-14.7","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=136945' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477095","NY00477095_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1801322","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.",NA,"F. Nascimento","519","2005","09",NA,"South America","Brazil","Bahia","Rio de Contas","Serra das Almas - Inácio Pinto. Sítio Gaia da Mata.","-41.9039","-13.5383","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2020275' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801322","NY01801322_01","1350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-30 06:27:00-03","NY","NYBG","1477242","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis",NA,NA,"A. Araujo-Murakami","1637","2004","11","29","South America","Bolivia","La Paz","Abel Iturralde","Parque Nacional y Area Natural de Manjeo Integrado Madidi. Chalalan, sector Comunidad San José de Uchupiamonas","-68.08","-14.23","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1741719' target='other'> <mi>dwc_moreinfo</mi></a>","NY01477242","NY01477242_01","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","76025","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis parvifolia","Mart.",NA,"C. F. P. von Martius","481","1839",NA,NA,"South America","Brazil",NA,NA,"Prope Praya Capocaban, prov. Sebastianopol.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=196411' target='other'> <mi>dwc_moreinfo</mi></a>","NY00076025","NY00076025_01",NA,NA,"parvifolia","possible type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
