"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","typeStatus","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","sex","class","relatedCatalogItem","relationshipType","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber"
"1","2021-04-05 14:33:29-03","UNESC","CRI","4224","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","glandulosum","Sapium glandulosum","(L.) Morong","Daniel B. Falkenberg","1997","09","12","Valdemar Boff","175","1995","11","14","Brasil","Santa Catarina","Içara","Balneário Rincão, Divinéia.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","52","52","Habitat: sobre dunas Habito: arbusto","CRI002404","CRI002404",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:29-03","UNESC","CRI","8185","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","glandulosum","Sapium glandulosum","(L.) Morong","M. Verdi","2008","11","28","B. Grosch; G. Klemz & M. Verdi",NA,"2008","01","28","Brasil","Santa Catarina","Concórdia","Pinheiro Preto.","-52.028056","-27.234722","52º1'41''W","27º14'5''S","579","579",NA,"CRI002394","CRI002394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:14-03","UNESC","CRI","6092","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","glandulosum","Sapium glandulosum","(L.) Morong","Vanilde Citadini- Zanette",NA,NA,NA,"Valdemar Boff","519","1996","05","10","Brasil","Santa Catarina","Araranguá","Morro dos Conventos.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","13","13",NA,"CRI002411","CRI002411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:14-03","UNESC","CRI","14342","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","glandulosum","Sapium glandulosum","(L.) Morong","Farias, D.M.","2017","11","13","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","1297","2017","10","23","Brasil","Santa Catarina","Araranguá",NA,"-49.32","-28.89","49º19'12''W","28º53'24''S","13","13",NA,"CRI013482","CRI013482",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:14-03","UNESC","CRI","11293","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","glandulosum","Sapium glandulosum","(L.) Morong","A. L. de Gasper","2014","11","18","F. Bittencourt; L. O. M. Giasson, L. Sieves & J. Giovanella","286","2014","11","08","Brasil","Santa Catarina","Atalanta","Banhado em frente à Sede Administrativa do Parque Natural Municipal da Mata Atlântica.","-49.762222","-27.411944","49º45'44''W","27º24'43''S","531","531","Floresta Ombrófila Densa Habitat: borda de banhado Habito: arbórea","CRI002398","CRI002398",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:29-03","UNESC","CRI","8448","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","glandulosum","Sapium glandulosum","(L.) Morong","Vanilde C. Zanette",NA,NA,NA,"Régis Cardoso da Silva",NA,"2009","01","01","Brasil","Rio Grande do Sul","Torres","Parque Estadual Itapeva.","-49.727222","-29.335833","49º43'38''W","29º20'9''S","36","36",NA,"CRI002408","CRI002408",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 15:16:31-03","UNESC","CRI","5164","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","glandulosum","Sapium glandulosum","(L.) Morong","Vanilde Citadini-Zanette","1996","07","02","V. Citadini-Zanette; T. Ike & T. Komatsubara",NA,"1996","06","07","Brasil","Santa Catarina","Capivari de Baixo","Estiva dos Pregos.","-48.958333","-28.445278","48º57'30''W","28º26'43''S","300","300","Habito: Arbóreo","CRI013755","CRI013755",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:29-03","UNESC","CRI","4075","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","glandulosum","Sapium glandulosum","(L.) Morong","M. Sobral","1997","04","24","Valdemar Boff","58","1995","09","12","Brasil","Santa Catarina","Içara","Balneário Rincão.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","52","52","Habitat: dunas Habito: árvore","CRI002400","CRI002400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:14-03","UNESC","CRI","667","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","glandulosum","Sapium glandulosum","(L.) Morong","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Alcides da Silveira","1017","1991","04","11","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI002402","CRI002402",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:14-03","UNESC","CRI","5165","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","glandulosum","Sapium glandulosum","(L.) Morong","V. C. Zanette",NA,NA,NA,"Vanilde Citadini Zanette; T. Ike & T. Komatsubara","2318","1996","11","04","Brasil","Santa Catarina","Lauro Muller","Rocinha.","-49.396944","-28.393333","49º23'49''W","28º23'36''S",NA,NA,NA,"CRI002406","CRI002406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:25:14-03","UNESC","CRI","12087","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","glandulosum","Sapium glandulosum","(L.) Morong","Maçaneiro, J.P.","2016","11","22","Maçaneiro, J.P.","100","2016","11","22","Brasil","Santa Catarina","Indaial","Faxinal do Bepe. Parque Nacional da Serra do Itajaí","-49.195278","-27.112222","49º11'43''W","27º6'44''S","680","680",NA,"CRI010265","CRI010265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:25:14-03","UNESC","CRI","14174","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","glandulosum","Sapium glandulosum","(L.) Morong","Robson dos Santos & Vanilde Citadini","2001","10","26","Robson dos Santos & Vanilde Citadini",NA,"2001","10","26","Brasil","Santa Catarina","Praia Grande",NA,"-49.950278","-29.198611","49º57'1''W","29º11'55''S",NA,NA,"Habitat: Terrestre Habito: Arbórea","CRI012826",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:33:29-03","UNESC","CRI","4314","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","glandulosum","Sapium glandulosum","(L.) Morong","Rafael Martins","2010","10","07","V. P. Boff",NA,"1995","11","14","Brasil","Santa Catarina","Balneário Rincão","Divinéia.","-49.235","-28.831389","49º14'6''W","28º49'53''S","7","7","Habito: Arbustivo","CRI013772","CRI013772",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-09-23 10:39:17-03","E","E","180663","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","glandulatum","Sapium glandulatum",NA,NA,NA,NA,NA,"Harley, R.M.","50283","1991","12","23","BR","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00180663 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00180663",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:195283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-09-23 10:39:17-03","E","E","42270","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","glandulosum","Sapium glandulosum",NA,NA,NA,NA,NA,"Schomburgk, Robert Hermann","283","1905","01","10","GY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00042270 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00042270",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:49825","unspecified kind of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-09-23 10:39:17-03","E","E","42283","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","glandulosum","Sapium glandulosum",NA,NA,NA,NA,NA,"Jenman, G.S.","7678",NA,NA,NA,"GY",NA,NA,"Coast lands",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00042283 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00042283",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:49811",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-09-23 10:39:17-03","E","E","134667","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","glandulosum","Sapium glandulosum",NA,NA,NA,NA,NA,"Dubs, Balthasar","2067","1996","01","06","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00134667 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00134667",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:143117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-09-23 10:39:17-03","E","E","42272","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","glandulosum","Sapium glandulosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00042272 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00042272",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:49823",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-09-23 10:39:17-03","E","E","232785","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","glandulosum","Sapium glandulosum",NA,NA,NA,NA,NA,"Kröll","688","1988","11","01","PE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00232785 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00232785",NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:247122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-09-23 10:39:17-03","E","E","134683","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","glandulosum","Sapium glandulosum",NA,NA,NA,NA,NA,"Dubs, Balthasar","1513","1994","07","12","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00134683 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00134683",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:143093",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-09-23 10:39:17-03","E","E","13476","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","glandulosum","Sapium glandulosum",NA,NA,NA,NA,NA,"Bridgewater, S.M. & Sanaiotti, T.M.",NA,"1993","08","03","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00013476 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00013476",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:15563",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-09-23 10:39:17-03","E","E","13477","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","glandulosum","Sapium glandulosum",NA,NA,NA,NA,NA,"Ratter, J.A., Fonsêca, F & de Lima, Valdir P.",NA,"1993","07","09","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00013477 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00013477",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:15564",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-09-23 10:39:17-03","E","E","42276","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","glandulosum","Sapium glandulosum",NA,NA,NA,NA,NA,"Jenman, G.S.","7682",NA,NA,NA,"GY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00042276 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00042276",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:49818","isolectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-09-23 10:39:17-03","E","E","42277","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","glandulosum","Sapium glandulosum",NA,NA,NA,NA,NA,"Jenman, G.S.","7681",NA,NA,NA,"GY",NA,NA,"Coast lands.",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00042277 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00042277",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:49817",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-09-23 10:39:17-03","E","E","42280","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","glandulosum","Sapium glandulosum",NA,NA,NA,NA,NA,"Jenman, G.S.","7506",NA,NA,NA,"GY",NA,NA,"Environs of Georgetown",NA,NA,NA,NA,NA,NA,"Gum tree of creoles. The trees everywhere tapped for [biralime]. The Sapium of the coast lands. A large tree 50-80 ft high, comes up as a weed all about Georgetown.<a href=http://data.rbge.org.uk/herb/E00042280 target=other class","E00042280",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:49814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
