"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","individualCount","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","895284","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","irwinii","Lessingianthus irwinii","(G.M.Barroso) H.Rob.","V. L. Rivera","E. P. Heringer","8859","1962","02","01","South America","Brazil","Distrito Federal","Brasília","Fundação Zoobotânica.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=974162' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895284","NY00895284_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","894594","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","irwinii","Lessingianthus irwinii","(G.M.Barroso) H.Rob.",NA,"H. S. Irwin","12149","1966","01","30","South America","Brazil","Distrito Federal","Brasília","Chapada da Contagem, ca. 15 km E. of Brasília","-47.77671","-15.7833","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963952' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894594","NY00894594_01","1050","1050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","274858","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Vernonia","irwinii","Vernonia irwinii uniflora","G.M.Barroso",NA,"H. S. Irwin","11397","1966","01","05","South America","Brazil","Distrito Federal","Brasília","Sobradinho","-47.7923","-15.65064739","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=770972' target='other'> <mi>dwc_moreinfo</mi></a>","NY00274858","NY00274858_01","1100","1100","uniflora","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-08-10 12:05:31-03","UFPI","TEPB","17362","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","irwinii","Lessingianthus irwinii","(Barroso) H. Rob","P.G.Ribeiro","R. Romero","1633","1995","01","09",NA,"Brasil","Minas Gerais","São Roque de Minas","Próximo a guarita do Sacramento, Sacramento, PARNA Serra da Canastra","-46.3657989501953","-20.2453002929688",NA,"herbáceo, ca 0,3m. Bracteas marrom-esverdeadas. Corola e estigmas lilás. Anteras creme. Ambiente: campo limpo",NA,NA,"600","600",NA,NA,"2013","05","29","57119","auto",NA,NA,NA,NA
"5","2016-02-02 14:37:55-02","BGBM","B","B 10 0093624","S","Plantae",NA,NA,"Compositae","Lessingianthus","irwinii","Lessingianthus irwinii","H.Rob.",NA,"?",NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100093624 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100093624","B100093624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:25:53-03","UNICAMP","UEC","3682","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","irwinii","Vernonia irwinii","G.M.Barroso","Leitão Filho, HF","Heringer, E","13175","1974","03","10",NA,"Brazil","Goiás","Eclética","50 km de Brasília.",NA,NA,NA,"arbustinho com 40 cm de altura, flores roxas.; cerrado seco, aberto, sujeito a incêndios anuais.","UEC138018","UEC138018",NA,NA,NA,NA,"1992","06",NA,NA,NA,NA,NA,NA,NA
"7","2020-10-01 14:15:39-03","JBB","HEPH","21541","S","Plantae","Dicotyledon","Asterales","Asteraceae","Lessingianthus","irwinii","Lessingianthus irwinii","(G.M.Barroso) H.Rob.","Teles, AM","Aguiar, SNF; et al.","17","2005","02","22","Southern America","Brasil","Distrito Federal","Brasília","Área da Aeronautica Limite com a Estação Ecológica do Jardim Botânico de Brasília","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,NA,NA,NA,NA,"2015","04",NA,"70570","auto",NA,NA,NA,NA
"8","2020-10-01 14:15:39-03","JBB","HEPH","396","S","Plantae","Dicotyledon","Asterales","Asteraceae","Lessingianthus","irwinii","Lessingianthus irwinii","(G.M.Barroso) H.Rob.","Teles, AM","Heringer, EP","88591053","1962","02","01","Southern America","Brasil","Distrito Federal","Brasília","Próximo a FZDF","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,"120","120",NA,NA,"2015","04",NA,"70570","auto",NA,NA,NA,NA
"9","2009-07-17 14:12:00-03","MO","MOBOT","1821595","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonia","irwinii","Vernonia irwinii uniflora","G.M. Barroso","J. Pruski (MO)","Howard S. Irwin|R. Souza|R. Reis dos Santos","Irwin 11397","1966","1","5","South America","Brazil","Distrito Federal",NA,"Cerrado, Sobradinho, D.F.",NA,NA,NA,NA,NA,NA,"1100.00000000",NA,"uniflora","Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-05-23 11:08:02-03","UFLA","ESAL","4609","S","Plantae",NA,NA,"Asteraceae","Vernonia","irwinii","Vernonia irwinii","G. M. Barroso","Rivera","Pedro Yassuo","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Três Corações","Fazenda do Aterrado","-45.2532997131348","-21.6968994140625",NA,"erva; ; arroxeada;",NA,NA,NA,NA,NA,NA,NA,NA,NA,"22974","auto",NA,NA,NA,NA
