"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","county","locality","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","identifiedBy","typeStatus","fieldNumber","decimalLongitude","decimalLatitude","individualCount","verbatimLongitude","verbatimLatitude","class","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","02175658","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Ouratea","verruculosa","Ouratea verruculosa","Engl.","G. H. H. Tate","143","1928","09","18","South America","Brazil","Sao Gabriel","Rio Negro. Northern Brazil.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2325091' target='other'> <mi>dwc_moreinfo</mi></a>","NY02175658","NY02175658_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02175659","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Ouratea","verruculosa","Ouratea verruculosa","Engl.","R. de Lemos Fróes","21100","1945","10","05","South America","Brazil",NA,"Porto Curucuhy, Rio Negro.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2325092' target='other'> <mi>dwc_moreinfo</mi></a>","NY02175659","NY02175659_01","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-09-18 10:35:11-03","MNHN","RECOLNAT_MNHN_P","P00542197","PreservedSpecimen",NA,NA,NA,"Ochnaceae","Ouratea","verruculosa","Ouratea verruculosa","Engl.","Spruce, R.",NA,"1852",NA,NA,NA,"Brésil",NA,"Province de Alto Amazonas, San Gabriel, base of Serra de Gama","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00542197' target='other'> <mi>dwc_moreinfo</mi></a>","P00542197","P00542197_01",NA,"Sastre & Offroy","lectotype","2176",NA,NA,NA,NA,NA,NA,NA
"4","2015-09-05 08:27:40-03","MNHN","RECOLNAT_MNHN_P","P05465959","PreservedSpecimen",NA,NA,NA,"Ochnaceae","Ouratea","verruculosa","Ouratea verruculosa","Engl.","Prance, G.T.|Maas, P.J.M.& al.",NA,"1971","11","2",NA,"Brésil",NA,"Brazilian Amazonas : Basin of Rio Negro : Rio Negro above Camanaus, forested island in falls","hb","Prélèvement de feuille pour Schneider J., Frankfurt, 07/2016, demande n° 64512 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05465959' target='other'> <mi>dwc_moreinfo</mi></a>","P05465959","P05465959_01",NA,NA,NA,"16031",NA,NA,NA,NA,NA,NA,NA
"5","2010-01-13 11:55:00-02","MO","MOBOT","1805352","PreservedSpecimen","Plantae",NA,NA,"Ochnaceae","Ouratea","verruculosa","Ouratea verruculosa","Engl.","Alwyn H. Gentry","Gentry 12999","1974","12","1","South America","Brazil",NA,"SEPLAC, Km 60 Manaus-Caracaria Road (BR 174). Forest and stream edge.",NA,NA,NA,NA,"Amazonas","K. Yamamoto",NA,"3758","-60.0433333","-2.2975","1",NA,NA,NA,NA
"6","2020-08-31 09:04:12-03","INPA","INPA","198768","S","Plantae","Dicotyledon Com-Clade","Malpighiales","Ochnaceae","Ouratea","verruculosa","Ouratea verruculosa","Engl.","Tavares, AS","473","1991","07","18","Southern America","Brasil","Tefé","Porto de Urucú, Estrada do Luc 6 - Porto Urucú.",NA,NA,"INPA0198768",NA,"Amazonas","Amaral, MCE",NA,NA,"-65.333333","-4.75",NA,"-65.333333","-4.75",NA,NA
"7","2019-09-04 19:16:47-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Ochnaceae","Ouratea","verruculosa","Ouratea verruculosa",NA,"R. Spruce","2176",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,"-52.8731","-10.8339",NA,NA,NA,"Dicotyledoneae",NA
"8","2016-08-23 11:00:02-03","NHMLondon","NHM-LONDON-BOT","BM000798702","S","Plantae",NA,NA,"Ochnaceae","Ouratea","verruculosa","Ouratea verruculosa","Engl.","Richard Spruce; b.1817; d.1893; Spruce","2176","1852","01",NA,NA,"Brasil",NA,NA,NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/f67934cea5cd79d41fb967d7e5b8edfff5e34ff4/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4990979"
"9","2017-09-11 17:11:23-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Ochnaceae","Ouratea","verruculosa","Ouratea verruculosa","Engl.","Spruce, R","2176",NA,NA,NA,"Southern America","Brazil",NA,"in prov. Alto Amazonas pr. S.Gabriel da Cachoeira.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
