"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","stateProvince","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","298285","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Frangula","polymorpha","latifolia","Frangula polymorpha latifolia","Chodat & Hassl.","isotype","E. Hassler","4714","South America","Paraguay","Iter ad 'Yerbales' montium 'Sierra de Maracayu'","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=545739' target='other'> <mi>dwc_moreinfo</mi></a>","NY00298285","NY00298285_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00996257","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Frangula","polymorpha",NA,"Frangula polymorpha","Reissek",NA,"H. S. Irwin","28674","South America","Brazil","Serra do Espinhaço, slopes of Serra da Piedade, ca. 35 km E. of Belo Horizonte, near BR-31","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103949' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996257","NY00996257_01","A. Pool","1971","01","18","Minas Gerais","-43.67613","-19.82237","1800","1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00996263","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Frangula","polymorpha",NA,"Frangula polymorpha","Reissek",NA,"S. E. Henschen","II.61","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103968' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996263","NY00996263_01","A. Pool","1868","02","12","Minas Gerais","-46.3858","-21.9236",NA,NA,"Caldas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00996260","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Frangula","polymorpha",NA,"Frangula polymorpha","Reissek",NA,"W. R. Anderson","35923","South America","Brazil","Serra do Espinhaço, eastern slopes of Pico do Itambé","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103960' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996260","NY00996260_01","A. Pool","1972","02","13","Minas Gerais","-43.3919444","-18.43185","1310","1310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00996259","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Frangula","polymorpha",NA,"Frangula polymorpha","Reissek",NA,"W. R. Anderson","35354","South America","Brazil","Serra do Espinhaço, ca. 8 km N of Gouveia on road to Diamantina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103956' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996259","NY00996259_01","A. Pool","1972","02","04","Minas Gerais","-43.6836","-18.41575","1220","1220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00996258","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Frangula","polymorpha",NA,"Frangula polymorpha","Reissek",NA,"H. S. Irwin","30310","South America","Brazil","Serra do Espinhaço, at summit of Serra da Piedade, ca. 35 km E. of Belo Horizonte, near BR-31","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103953' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996258","NY00996258_01","A. Pool","1971","01","14","Minas Gerais","-43.7263889","-19.83305","1200","1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00996262","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Frangula","polymorpha",NA,"Frangula polymorpha","Reissek",NA,"A. F. Regnell","II:68","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103966' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996262","NY00996262_01","A. Pool",NA,NA,NA,"Minas Gerais","-46.3858","-21.9236",NA,NA,"Caldas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01096513","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Frangula","polymorpha",NA,"Frangula polymorpha","Reissek",NA,"R. A. Wasum","2219","South America","Brazil","Usina da Toca.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1238777' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096513","NY01096513_01","A. Pool","2004","11","20","Rio Grande do Sul","-50.5833","-29.4483","750","750","Sao Francisco de Paula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-28 13:55:00-03","NY","NYBG","561342","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Rhamnus","polymorpha",NA,"Rhamnus polymorpha",NA,NA,"L. B. Smith","15921","South America","Brazil","8 km south of Painel.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=78424' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561342","NY00561342_01","L. B. Smith","1971","12","19","Santa Catarina","-50.3258","-27.8161",NA,NA,"Lajes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-28 13:55:00-03","NY","NYBG","561341","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Rhamnus","polymorpha",NA,"Rhamnus polymorpha",NA,NA,"J. C. Lindeman","3006","South America","Brazil","Bank of Rio Taquara 5 km N.E. of Castrolanda.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=78422' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561341","NY00561341_01","M. C. Johnston","1966","10","14","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-09-28 13:55:00-03","NY","NYBG","561344","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Rhamnus","polymorpha",NA,"Rhamnus polymorpha",NA,NA,"Türpo-Legname","4997","South America","Argentina","Los Toldes. Quebrada de Quiroga.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=78421' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561344",NA,"P. R. Legname","1974","11","11","Salta",NA,NA,"1750","1750","Santa Victoria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-09-28 13:55:00-03","NY","NYBG","561343","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Rhamnus","polymorpha",NA,"Rhamnus polymorpha",NA,NA,"J. C. Lindeman","3699","South America","Brazil","Km 116 of BR 2, S. of Mafra.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=78423' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561343","NY00561343_01","M. C. Johnston","1966","12","27","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00996253","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Rhamnus","sphaerosperma","polymorpha","Rhamnus sphaerosperma polymorpha","(Reissek) M.C.Johnst.",NA,"J. R. Pirani","CFCR8620","South America","Brazil","Estrada para São João da Chapada, perto da Sopa.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103819' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996253","NY00996253_01","M. C. Johnston","1985","11","23","Minas Gerais","-43.6003","-18.2494","1200","1200","Diamantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00089228","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Rhamnus","sphaerosperma","polymorpha","Rhamnus sphaerosperma polymorpha","(Reissek) M.C.Johnst.",NA,"S. P. Churchill","15854","South America","Colombia","Vereda La Linda, Alto de las Flores.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1153293' target='other'> <mi>dwc_moreinfo</mi></a>","NY00089228",NA,"D. C. Daly","1988","01","24","Antioquia","-75.82","5.58","2100","2000","Jardín",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","561317","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Rhamnus","sphaerosperma","pubescens","Rhamnus sphaerosperma pubescens","(Reissek) M.C.Johnst.",NA,"J. A. Ratter","4834","South America","Brazil","Floresta de Angatuba, Instituto Florestal de Sao Paulo.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=413412' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561317","NY00561317_01",NA,"1983","11","12","São Paulo","-48.42","-23.45",NA,NA,"Angatuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
