"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","typeStatus","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","1551605","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","sincorana","Xyris sincorana","Kral & Wand.","M. das G. L. Wanderley","J. R. Pirani","2213","1988","02","12","South America","Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral. Campos próximos da pequena Capelinha no alto da Serra.","-44.3","-17.7","1160","1160","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1226392' target='other'> <mi>dwc_moreinfo</mi></a>","NY01551605","NY01551605_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-08 15:01:01-03","UEFS","HUEFS","252887","PreservedSpecimen","Plantae","Angiospermae","Poales","Xyridaceae","Xyris","sincorana","Xyris sincorana","Kral & Wand.",NA,"Kral, R.","75557","1988","11","07",NA,"Brasil","Bahia",NA,"Fazenda Brumadinho em direção ao Pico das Almas.",NA,NA,"1300","1300",NA,"Vale alto, campo nos cerrado adjacentes.","HUEFS0252887",NA,"Lilianae","Parátipo",NA,NA,NA,NA,NA,NA
"3","2020-07-23 12:24:45-03","CEPLAC","CEPEC","38331","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","sincorana","Xyris sincorana",NA,"M. das G. L. Wanderley","R. Kral","72640","1981","09","08",NA,"Brasil","Bahia","Joaquim Felício","Serra do Cabral. Morro da Onça, ao N de Joaquim Felício, próx. da Rodovia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"05/12/2007",NA,NA,NA,NA,NA
"4","2019-11-21 10:20:01-03","IBt","SP","234457","S","Plantae",NA,NA,"Xyridaceae","Xyris","sincorana","Xyris sincorana","Kral & Wand.","Wanderley, MGL","Kral, R; Wanderley, MGL","75557","1988","11","07",NA,"Brasil","Bahia",NA,"Fazenda Brumadinho em direção ao Pico das Almas",NA,NA,"1300","1300",NA,NA,"SP003688","SP003688",NA,"Paratype",NA,"2017","08","02",NA,NA
"5","2019-11-21 10:20:01-03","IBt","SP","204497","S","Plantae",NA,NA,"Xyridaceae","Xyris","sincorana","Xyris sincorana","Kral & Wand.","Wanderley, MGL","Kral, R; Wanderley, MGL; Cerati, TM; Lima, E","72933","1985","07","24",NA,"Brasil","Bahia","Barra da Estiva",NA,"-41.3269004821777","-13.6260995864868",NA,NA,NA,NA,"SP003703","SP003703",NA,"Holotype",NA,"2001","10","17","61861","auto"
"6","2019-11-21 10:20:01-03","IBt","SP","203901","S","Plantae",NA,NA,"Xyridaceae","Xyris","sincorana","Xyris sincorana","Kral & Wand.",NA,"Wanderley, MGL; Kral, R; Cerati, TM","991","1985","07","24",NA,"Brasil","Bahia","Barra da Estiva","Serra do Sincorá","-41.3269004821777","-13.6260995864868",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61861","auto"
"7","2019-11-21 10:20:01-03","IBt","SP","204826","S","Plantae",NA,NA,"Xyridaceae","Xyris","sincorana","Xyris sincorana","Kral & Wand.",NA,"Kral, R; Wanderley, MGL; Cerati, TM; Lima, E","72684","1985","07","09",NA,"Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67219","auto"
"8","2020-12-30 07:49:03-03","IBt","SP","444705","S","Plantae",NA,NA,"Xyridaceae","Xyris","sincorana","Xyris sincorana","Kral & Wand.",NA,"Mota, NFO","2291","2011","07","06",NA,"Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67219","auto"
"9","2019-11-21 10:20:01-03","IBt","SP","204832","S","Plantae",NA,NA,"Xyridaceae","Xyris","sincorana","Xyris sincorana","Kral & Wand.",NA,"Kral, R; Wanderley, MGL; Cerati, TM; Lima, E","72675","1985","07","07",NA,"Brasil","Minas Gerais","Joaquim Felício",NA,"-44.1721992492676","-17.7574996948242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37503","auto"
"10","2019-11-21 10:20:01-03","IBt","SP","204908","S","Plantae",NA,NA,"Xyridaceae","Xyris","sincorana","Xyris sincorana","Kral & Wand.",NA,"Kral, R; Wanderley, MGL; Cerati, TM; Lima, E","72569","1985","07","05",NA,"Brasil","Minas Gerais","Joaquim Felício","Serra do Cabral","-44.1721992492676","-17.7574996948242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37503","auto"
