"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","locality","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01345852","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","humifusa","Mimosa humifusa","Benth.","R. C. Barneby","isotype","A. F. Regnell","III/499","1869","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1618457' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345852","NY01345852_01",NA,NA
"2","2020-05-26 10:42:00-03","MO","MOBOT","101195155","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","humifusa","Mimosa humifusa","Benth.",NA,"Holotype","Anders F. Regnell","Regnell III/499*",NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,"[Uberaba] ad Minas Ger.","1"
"3","2017-09-11 17:10:01-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Fabaceae","Mimosa","humifusa","Mimosa humifusa","Benth.",NA,NA,"Regnell, AF","coll. III499",NA,"Southern America","Brazil","São Paulo",NA,NA,NA,NA,"ad Uberaba, provinciae S. Paulo",NA
