"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","recordNumber","fieldNumber","preparationType","phylum"
"1","2020-02-08 09:15:12-03","NBC","NL-BOTANY","L.2004579","PreservedSpecimen","Plantae","Magnoliopsidae","Fabales","Leguminosae-Pap.","Trifolium","argentinense","Trifolium argentinense","Speg.","Vervoorst F","1957","11","06","Southern America","Argentina","Buenos Aires: pdo La Plata: Ao El Pescadi, prieute car! a Magdalena.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2004579 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2004579","NL-L2004579",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:15:12-03","NBC","NL-BOTANY","L.2004580","PreservedSpecimen","Plantae","Magnoliopsidae","Fabales","Leguminosae-Pap.","Trifolium","argentinense","Trifolium argentinense","Speg.","Vervoorst F","1956","11","15","Southern America","Argentina","Buenos Aires, Moron: Villa UdaonsoL Zryú, Canada Forleti.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2004580 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2004580","NL-L2004580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-01-17 11:25:30-02","PUCRS","MPUC","21307","S","Plantae","Magnoliopsida","Fabales","Fabaceae","Trifolium","argentinense","Trifolium argentinense","Speg.",NA,"1998","10","12","South America","Brasil","Granja Guará",NA,NA,NA,"RS","Uruguaiana","-57.0882987976074","-29.7546997070312","93142","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-01-17 11:25:30-02","PUCRS","MPUC","21232","S","Plantae","Magnoliopsida","Fabales","Fabaceae","Trifolium","argentinense","Trifolium argentinense","Speg.",NA,"1998","10","02","South America","Brasil","Fazenda Guará",NA,NA,NA,"RS","Uruguaiana","-57.0880556","-29.755",NA,"1",NA,"J. Baptista","1998","12","12","-57.0880556000","-29.7550000000",NA,NA,NA,NA
"5","2019-11-25 12:12:04-03","UFSM","SMDB","3597","S","Plantae",NA,NA,"Fabaceae","Trifolium","argentinense","Trifolium argentinense","Speg.","Machado, LAZ","1987","10",NA,NA,"Brasil","Irapuá, Guarda Velha",NA,"SMDB003597","SMDB003597","Rio Grande do Sul","Caçapava do Sul","-53.4914016723633","-30.5121994018555","50525",NA,"auto","Boldrini, I; Machado, LAZ","1992","07","29",NA,NA,"5",NA,NA,NA
"6","2015-11-02 17:14:26-02","MNHN","RECOLNAT_MNHN_P","P02089415","PreservedSpecimen",NA,NA,NA,"Fabaceae","Trifolium","argentinense","Trifolium argentinense","Speg.","Calot, M.","1876","4","21",NA,"Argentine","Province de Bueno Ayres, Las Mollas","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02089415' target='other'> <mi>dwc_moreinfo</mi></a>","P02089415","P02089415_01",NA,NA,NA,NA,NA,NA,NA,"Vincent",NA,NA,NA,NA,NA,NA,"104","hb",NA
"7","2009-07-17 06:52:00-03","MO","MOBOT","2192732","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Trifolium","argentinense","Trifolium argentinense","Speg.","Arturo E. Burkart","1949","10","22","South America","Argentina","Clé Las Flores",NA,NA,NA,"Entre Ríos","Gualeguay",NA,NA,NA,NA,NA,"Burkart, A.",NA,NA,NA,NA,NA,"Burkart 18090",NA,NA,NA
"8","2009-08-21 20:53:00-03","MO","MOBOT","2517541","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Trifolium","argentinense","Trifolium argentinense","Speg.","Bernardo Rosengurtt","1936","10","18","South America","Uruguay","Barra del Arroyo Canelón Grande sobre río Santa Lucía",NA,NA,NA,"Canelones",NA,NA,NA,NA,NA,NA,"Burkart, A.",NA,NA,NA,NA,NA,"Rosengurtt 357",NA,NA,NA
"9","2021-02-08 12:42:30-03","UFRGS","ICN","168082","S","Plantae",NA,NA,"Fabaceae","Trifolium","argentinense","Trifolium argentinense","Speg.",NA,"2008","11","18","América do Sul","Brasil","costa do arroio Piraí",NA,"ICN00025940","ICN00025940","RS","Bagé","-54.1068992614746","-31.3313999176025","74087",NA,"auto","Miotto, STS","2008",NA,NA,NA,NA,"s.n.",NA,NA,"Dicotyledon"
"10","2021-02-08 12:42:30-03","UFRGS","ICN","090499","S","Plantae",NA,NA,"Fabaceae","Trifolium","argentinense","Trifolium argentinense","Speg.","Silva, LFA",NA,NA,NA,"América do Sul","Brasil","Ponche Verde Vista Alegre","Espécie ameaçada de extinção (Em perigo).; Flores branco-cremosas.; solo hidromórfico.","ICN00025935","ICN00025935","RS","Dom Pedrito","-54.6730995178223","-30.9827995300293","68371",NA,"auto","Boldrini, II","1991",NA,NA,NA,NA,"s.n.",NA,NA,"Dicotyledon"
"11","2021-02-08 12:42:30-03","UFRGS","ICN","098475","S","Plantae",NA,NA,"Fabaceae","Trifolium","argentinense","Trifolium argentinense","Speg.","Alvim, LF","1991","11","12","América do Sul","Brasil",NA,"Espécie ameaçada de extinção (Em perigo).; Campos de várzea.","ICN00025933","ICN00025933","RS","Dom Pedrito","-54.6730995178223","-30.9827995300293","68371",NA,"auto","Boldrini, II",NA,NA,NA,NA,NA,"s.n.",NA,NA,"Dicotyledon"
