"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","typeStatus","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","individualCount"
"1","2021-04-05 14:33:55-03","UNESC","CRI","2240","PreservedSpecimen","Plantae","Poaceae","Agrostis","lenis","Agrostis lenis","Roseng. et al.","L. B. Smith","1962","12","19","R. Reitz; R. M. Klein","1962","12","19","Brasil","Santa Catarina","Santa Cecília","Campo do Areão.","-50.417778","-26.964444","50º25'4''W","26º57'52''S","CRI006280","CRI006280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:32-03","E","E","221729","PreservedSpecimen","Plantae","Gramineae","Agrostis","lenis","Agrostis lenis",NA,NA,NA,NA,NA,"Steinbach, Jose","1929","03","02","BO",NA,NA,NA,NA,NA,NA,NA,"E00221729",NA,"9497","W. Tropical South America","herbarium specimen of unspecif","BGBASE:232173","<a href=http://data.rbge.org.uk/herb/E00221729 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:32-03","E","E","221723","PreservedSpecimen","Plantae","Gramineae","Agrostis","lenis","Agrostis lenis",NA,NA,NA,NA,NA,"Steinbach, Jose","1929","03","16","BO",NA,NA,NA,NA,NA,NA,NA,"E00221723",NA,"9695","W. Tropical South America","herbarium specimen of unspecif","BGBASE:232179","<a href=http://data.rbge.org.uk/herb/E00221723 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","327673","PreservedSpecimen","Plantae","Poaceae","Agrostis","lenis","Agrostis lenis","Roseng., B.R.Arill. & Izag.","Z. E. Rúgolo de Agrasar",NA,NA,NA,"B. Rambo","1947","01","04","Brazil","Rio Grande do Sul",NA,"Fazenda B. Velho, Bom Jesus","-50.388347","-28.558459",NA,NA,"NY00327673","NY00327673_01","35146","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270598' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales","not a type",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","687545","PreservedSpecimen","Plantae","Poaceae","Agrostis","lenis","Agrostis lenis","Roseng., B.R.Arill. & Izag.","A. M. Molina de Riera",NA,NA,NA,"M. A. Chase","1925","05","20","Brazil","São Paulo",NA,"Campos Jordão, Serra Mantiqueira",NA,NA,NA,NA,"NY00687545",NA,"9828","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=877671' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,"1580","1580",NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","687546","PreservedSpecimen","Plantae","Poaceae","Agrostis","lenis","Agrostis lenis","Roseng., B.R.Arill. & Izag.","A. M. Molina de Riera",NA,NA,NA,"M. A. Chase","1925","05","20","Brazil","São Paulo",NA,"Campos Jordão, Serra Mantiqueira",NA,NA,NA,NA,"NY00687546",NA,"9915","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=877670' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,"1575","1575",NA,NA,NA,NA
"7","2020-06-29 11:31:59-03","UFRJ","RFA","30719","PreservedSpecimen","Plantae","Poaceae","Agrostis","lenis","Agrostis lenis","Roseng. et al.",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Itatiaia","Planalto do Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,"RFA30550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19648","auto",NA,NA
"8","2019-08-27 13:25:41-03","IAP","PACA-AGP","36481.1","PreservedSpecimen","Plantae","Gramineae","Agrostis","lenis","Agrostis lenis","Roseng.","A. Normann",NA,NA,NA,"Rambo, B.","1948","02",NA,"Brasil","RS","Sao Francisco de Paula p. Cambara",NA,NA,NA,NA,NA,"PACA036481-1",NA,NA,NA,NA,NA,"Swallen det. como A.longiberbis Hack. Habitat: in humidis graminosis Fenofase: fruto","Magnoliophyta","Cyperales",NA,NA,NA,NA,NA,"Liliatae",NA
"9","2019-08-27 13:25:41-03","IAP","PACA-AGP","62970","PreservedSpecimen","Plantae","Gramineae","Agrostis","lenis","Agrostis lenis","Roseng.","A. Normann",NA,NA,NA,"Camargo, O. R.","1958","01","10","Brasil","RS","Bom Jesus","Lageadinho","-50.4166984558105","-28.6678009033203",NA,NA,"PACA062970",NA,"3113",NA,NA,NA,"Habitat: in campestribus Fenofase: flor","Magnoliophyta","Cyperales",NA,NA,NA,"55856","auto","Liliatae",NA
"10","2019-08-27 13:25:41-03","IAP","PACA-AGP","36481","PreservedSpecimen","Plantae","Gramineae","Agrostis","lenis","Agrostis lenis","Roseng.","A. Norman",NA,NA,NA,"Rambo, B.","1948","02",NA,"Brasil","RS","Cambará do Sul",NA,"-50.1446990966797","-29.0478000640869",NA,NA,"PACA036481",NA,NA,NA,NA,NA,"Habitat: in humidis graminosis Fenofase: fruto","Magnoliophyta","Cyperales",NA,NA,NA,"30776","auto","Liliatae",NA
"11","2019-08-20 10:01:06-03","UNICAMP","UEC","120240","S","Plantae","Poaceae","Agrostis","lenis","Agrostis lenis","Roseng., B.R.Arill. & Izag.","Gonçalves, APS","2003","03",NA,"Meireles, LD","2001","06","28","Brazil","Minas Gerais","Camanducaia","Monte Verde, Afloramento da Pedra do Selado","-46.1446990966797","-22.7553005218506",NA,NA,"UEC087035","UEC087035","325",NA,NA,NA,"Erva em substrato sob a rocha.","Liliopsida",NA,NA,NA,NA,"22140","auto",NA,NA
"12","2019-01-17 11:23:16-02","PUCRS","MPUC","10609","S","Plantae","Poaceae","Agrostis","lenis","Agrostis lenis","Roseng., B.R. Arrill. & Izag.","L. Eggers","2010","01","01",NA,"2004","01","05","Brasil","RS","São Francisco de Paula","CPCN Pró-Mata","-50.1744444","-29.4808333","-50.1744444000","-29.4808333000",NA,NA,NA,"South America",NA,NA,NA,NA,"Poales",NA,NA,NA,NA,NA,"Liliopsida","1"
"13","2019-01-17 11:23:16-02","PUCRS","MPUC","10340","S","Plantae","Poaceae","Agrostis","lenis","Agrostis lenis","Roseng., B.R. Arrill. & Izag.","I.I. Boldrini","2008","01","01",NA,"2000","03","23","Brasil","RS","São Francisco de Paula","CPCN Pró-Mata","-50.1744444","-29.4808333","-50.1744444000","-29.4808333000",NA,NA,NA,"South America",NA,NA,NA,NA,"Poales",NA,NA,NA,NA,NA,"Liliopsida","1"
"14","2019-01-17 11:23:16-02","PUCRS","MPUC","10305","S","Plantae","Poaceae","Agrostis","lenis","Agrostis lenis","Roseng., B.R. Arrill. & Izag.","F.J.M. Caporal","2003","01","01",NA,"2003","01","31","Brasil","RS","São Francisco de Paula","CPCN Pró-Mata","-50.1744444","-29.4808333","-50.1744444000","-29.4808333000",NA,NA,NA,"South America",NA,NA,NA,NA,"Poales",NA,NA,NA,NA,NA,"Liliopsida","1"
"15","2020-10-14 10:04:54-03","FURB","FURB","11356","PreservedSpecimen","Plantae","Poaceae","Agrostis","lenis","Agrostis lenis","Roseng. et al.","Longhi-Wagner, HM","2010","01","25","Verdi, M.; Hasckel, R.P. & Klemz, G.","2009","01","27","Brasil","Santa Catarina","Cerro Negro","Araça.","-50.94","-27.63","-50.9400000","-27.6300000","FURB03059","FURB03059","1467",NA,NA,NA,"Florística IFFSC 1195(Erva Terrícola) Habitat: Floresta Ombrófila Mista; Habito: herbácea;",NA,NA,NA,"995","995",NA,NA,NA,NA
"16","2019-11-08 08:55:00-03","FURB","FURB","47210","PreservedSpecimen","Plantae","Poaceae","Agrostis","lenis","Agrostis lenis","Roseng. et al.","L.A. Funez","2016","10","10","Funez, L.A.","2015","02","19","Brasil","Santa Catarina","Rodeio","Oitenta.","-49.4291667","-26.9105556","-49.4291667","-26.9105556","FURB39637","FURB39637","4248",NA,NA,NA,NA,NA,NA,NA,"864","864",NA,NA,NA,NA
"17","2019-11-08 08:55:00-03","FURB","FURB","52735","PreservedSpecimen","Plantae","Poaceae","Agrostis","lenis","Agrostis lenis","Roseng. et al.","L.A. Funez","2017","02","22","Funez, L.A.","2017","02","22","Brasil","Santa Catarina","Rodeio","Morro da Tirolesa.","-49.4011111","-26.8680556","-49.4011111","-26.8680556","FURB52735","FURB52735","6062",NA,NA,NA,NA,NA,NA,NA,"880","880",NA,NA,NA,NA
