"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","626488","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Salacia","grandifolia","Salacia grandifolia","(Mart.) G.Don","J. P. Hedin","J. G. Kuhlmann","s.n.","1921","07","28","South America","Brazil","Rio de Janeiro","Mundo Novo, Botafogo.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=312190' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626488","NY00626488_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","823421","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Salacia","grandifolia","Salacia grandifolia","(Mart.) G.Don","J. A. Lombardi","J. G. Jardim","1170","1997","12","15","South America","Brazil","Bahia","CEPLAC/CEPEC. Ao NW do Centro de Pesquisas do Cacau - CEPEC.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949792' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823421","NY00823421_01 NY00823421_02","Ilhéus","-39.0492","-14.7892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","626490","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Salacia","grandifolia","Salacia grandifolia","(Mart.) G.Don","J. P. Hedin","A. F. M. Glaziou","17485",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=312192' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626490","NY00626490_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","885562","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Salacia","grandifolia","Salacia grandifolia","(Mart.) G.Don","J. A. Lombardi","A. M. V. de Carvalho","908","1981","12","05","South America","Brazil","Bahia","Fazenda Pau-brasil.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000873' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885562","NY00885562_01 NY00885562_02","Itamarajú","-39.5676631","-16.9808834",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02060375","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Salacia","grandifolia","Salacia grandifolia","(Mart.) G.Don",NA,"L. Riedel","659",NA,"10",NA,"South America","Brazil","Rio de Janeiro","Corcovado","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2491666' target='other'> <mi>dwc_moreinfo</mi></a>","NY02060375","NY02060375_01 NY02060375_02",NA,"-43.212076","-22.951842",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1039166","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Salacia","grandifolia","Salacia grandifolia","(Mart.) G.Don",NA,"R. R. Guedes","2252","1991","09","19","South America","Brazil","Rio de Janeiro","Estação Estadual de Paraíso.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1482129' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039166","NY01039166_01 NY01039166_02","Guapimirim","-42.883","-22.483","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","777979","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Salacia","grandifolia","Salacia grandifolia","(Mart.) G.Don","J. A. Lombardi","A. M. V. de Carvalho","2050","1983","11","03","South America","Brazil","Bahia","Fazenda Pau-Brasil. Entrada no km 5 da Rod. Itamarajú/Eunápolis","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=346431' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777979","NY00777979_01","Itamarajú","-39.5676631","-16.9808834","160","160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","626489","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Salacia","grandifolia","Salacia grandifolia","(Mart.) G.Don","J. P. Hedin","A. P. Duarte","184","1946","07","29","South America","Brazil","Rio de Janeiro","Corcovado.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=312191' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626489","NY00626489_01",NA,"-43.22","-22.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:29:49-03","UFRJ","RFA","15382","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Salacia","grandifolia","Salacia grandifolia","(Mart.) G.Don","M. Milward","P. Occhioni","6131","1974","09",NA,NA,"Brasil","Rio de Janeiro","Serra dos Órgãos, próximo ao Morro do Garrafão",NA,"Arvoreta; flor arroxeada","RFA40999",NA,"Teresópolis","-42.9655990600586","-22.4122009277344",NA,NA,"38539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:29:49-03","UFRJ","RFA","31283","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Salacia","grandifolia","Salacia grandifolia","(Mart.) G.Don","C.M. Vieira","M.A. Louzada; J.C. Gomes",NA,"2002",NA,NA,NA,"Brasil","Rio de Janeiro","Mata de encosta. Coletas da amostragem fitossociológica. Parcela: P6; Ind.: 102",NA,NA,"RFA41001",NA,"Angra dos Reis","-44.3180999755859","-23.0067005157471",NA,NA,"32988","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
