"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","typeStatus","phylum","order","scientificNameAuthorship","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","eventTime","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2020-09-23 10:36:10-03","E","E","68771","PreservedSpecimen","Plantae","Annonaceae","Guatteria","sellowiana","Guatteria sellowiana","Harley, R.M., Stannard, B., Assis, M.C., Pires, F.S. & Fothergill, J.M.","26194","1988","11","17","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:76852","<a href=http://data.rbge.org.uk/herb/E00068771 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00068771",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:10-03","E","E","393127","PreservedSpecimen","Plantae","Annonaceae","Guatteria","sellowiana","Guatteria sellowiana","Sellow, Friedrich",NA,NA,NA,NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:431712","<a href=http://data.rbge.org.uk/herb/E00393127 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00393127","possible type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:36:10-03","E","E","283764","PreservedSpecimen","Plantae","Annonaceae","Guatteria","sellowiana","Guatteria sellowiana","Hatschbach, G. & Silva, J.M.","61190","1994","10","10","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:295083","<a href=http://data.rbge.org.uk/herb/E00283764 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00283764",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:36:10-03","E","E","161397","PreservedSpecimen","Plantae","Annonaceae","Guatteria","sellowiana","Guatteria sellowiana","Ibáñez García, A. & Bridgewater, S.",NA,"1996","10","23","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:169059","<a href=http://data.rbge.org.uk/herb/E00161397 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00378933","PreservedSpecimen","Plantae","Annonaceae","Guatteria","mexiae","Guatteria mexiae","Y. E. J. Mexia","4249","1930","01","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613900' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378933","isotype","Magnoliophyta","Magnoliales","R.E.Fr.","Minas Gerais","Carangola","Districto Carangola. Fazenda da Gramma, about .5 km north on trail","-42.0294","-20.7331","900","900","NY00378933_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","22722","PreservedSpecimen","Plantae","Annonaceae","Guatteria","mexiae","Guatteria mexiae","Y. E. J. Mexia","4249","1930","01","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=626985' target='other'> <mi>dwc_moreinfo</mi></a>","NY00022722","isotype","Magnoliophyta","Magnoliales","R.E.Fr.","Minas Gerais","Carangola","Carangola: Fazenda da Gramma; about 0.5 km north on trail; Capoera near small stream, 900 m","-42.0294","-20.7331",NA,NA,"NY00022722_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00836895","PreservedSpecimen","Plantae","Annonaceae","Guatteria","sellowiana","Guatteria sellowiana","G. G. Hatschbach","29943","1972","08","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=923796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836895",NA,"Magnoliophyta","Magnoliales","Schltdl.","Minas Gerais","Jaboticatubas","Serra do Cipó","-43.539757","-19.388386",NA,NA,"NY00836895_01","J. van Rooden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01015598","PreservedSpecimen","Plantae","Annonaceae","Guatteria","sellowiana","Guatteria sellowiana","R. C. Forzza","2862","2004","03","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1108394' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015598",NA,"Magnoliophyta","Magnoliales","Schltdl.","Rio de Janeiro","Macaé","Estrada Frade-Tapera, 5.3 km de Frade.","-42.08","-22.22","509","509","NY01015598_01","P. J. M. Maas; H. Maas-van de Kamer; R. H. J. Erkens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","395666","PreservedSpecimen","Plantae","Annonaceae","Guatteria","sellowiana","Guatteria sellowiana","R. de Lemos Fróes","20180","1943","02","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=21807' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395666",NA,"Magnoliophyta","Magnoliales","Schltdl.","Bahia","Mucugê","Mucuge, campos gerais da Serra Sincorá","-41.3706","-13.0056",NA,NA,"NY00395666_01 NY00395666_02","P. J. M. Maas; H. Maas-van de Kamer; R. H. J. Erkens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00980604","PreservedSpecimen","Plantae","Annonaceae","Guatteria","sellowiana","Guatteria sellowiana","A. Pontes","541","2002","11","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1094007' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980604",NA,"Magnoliophyta","Magnoliales","Schltdl.","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra. Trilha na escarpa da cachoeira Casca d'Anta","-46.522778","-20.301513",NA,NA,"NY00980604_01","A. Pontes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
