"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","recordNumber","day","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","individualCount","dayIdentified","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","273059","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Phyllanthaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll.Arg.","probable isotype","L. Riedel","1824","01","South America","Brazil","Rio de Janeiro","Mandiera","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=642156' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273059","NY00273059_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","754554","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Phyllanthaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll.Arg.",NA,"B. A. Krukoff","1933","08","South America","Brazil","Acre","Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=642150' target='other'> <mi>dwc_moreinfo</mi></a>","NY00754554","NY00754554_01","J. A. Steyermark","5256","03","-69","-9.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1063800","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Phyllanthaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll.Arg.",NA,"Y. E. J. Mexia","1931","01","South America","Brazil","Minas Gerais","Distrito Rio Branco. Fazenda da Reserva.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1194871' target='other'> <mi>dwc_moreinfo</mi></a>","NY01063800","NY01063800_01","P. Stanley","5476","03",NA,NA,"740","740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","528668","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Phyllanthaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll.Arg.",NA,"L. A. Mattos Silva","1995","05","South America","Brazil","Bahia","Fazenda Altalea. Situada na zona da Choro (Zona do Aderno), Distrito de Castelo Novo. Aprox. 13 km a Oeste do Povodao de Mamoan","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=642155' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528668","NY00528668_01","L. A. Mattos Silva","3126","06","-39.0492","-14.7892","100","100","Ilhéus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","528667","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Phyllanthaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll.Arg.",NA,"L. Riedel",NA,NA,"South America","Brazil",NA,"{From protologue: Ad Serra da Piedade]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=642157' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528667","NY00528667_01",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","528669","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Phyllanthaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll.Arg.",NA,"S. A. Mori","1979","07","South America","Brazil","Bahia","Fazenda dos Pássaros. BA 250 (=BA 554 na carta ao milionésimo), a 24 km a E de Maracás","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=642152' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528669","NY00528669_01","G. L. Webster","12176","13","-40.4306","-13.4411","900","900","Maracás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","590262","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Phyllanthaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll.Arg.",NA,"Grupo Pedra do Cavalo","1980","06","South America","Brazil","Bahia","Estaçao da Mata. Vale dos Rios Paraguaçu e Jacuipe","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=642153' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590262","NY00590262_01","G. L. Webster","301",NA,"-39.08","-12.53","40","120","Cachoeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01807138","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Phyllanthaceae","Phyllanthus","ramosus","Phyllanthus ramosus","Vell.",NA,"W. W. Thomas","2001","10","South America","Brazil","Bahia","11.2 km W of BR 101 on road from Aurelino Leal towards Laje do Banco","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=232201' target='other'> <mi>dwc_moreinfo</mi></a>","NY01807138","NY01807138_01","R. L. Liesner","12679","30","-39.381867","-14.34533","175","200","Aurelino Leal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-19 15:43:59-03","UNEB","HUNEB","1088","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Euphorbiaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müell. Arg.",NA,"Mattos Silva, L.A.","1995","05",NA,"Brasil","Bahia","Castelo Novo Faz. Attalea, situada na zona da Choro (Zona do Aderno); 13 km W do Povoado de Mamoan.",NA,"Higófila (Mata Atlântica). Solo argiloso.","HUNEB0001088",NA,NA,"3126","06","-39.0494003295898","-14.7889003753662",NA,NA,"Ilhéus","Dicotyledoneae","61245","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-08 17:43:14-03","EAO","IAN","7052","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Phyllanthaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll.Arg.",NA,"Riedel, L",NA,NA,"Southern America","Brasil",NA,NA,NA,NA,"IAN007052","IAN007052_f",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-10-09 11:22:30-03","UFBA","ALCB","028609","PreservedSpecimen","Plantae","Dicotyledon",NA,"Phyllanthaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll.Arg.",NA,"Mattos Silva, LA","1995","05","Southern America","Brasil","Bahia","Fazenda Attalea, situada na Zona do Choro(Zona do Aderno), Distrito de Castelo Novo. Aprox. 13 km a Oeste do Povoado de Mamoan.",NA,"Ca. 100 m altura.","ALCB054981",NA,"Mattos Silva, LA","3126","06","-39.0494003295898","-14.7889003753662",NA,NA,"Ilhéus",NA,"61245","auto","1995","08",NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 09:49:49-03","NBC","NL-BOTANY","L.1076241","PreservedSpecimen","Plantae",NA,"Malpighiales","Euphorbiaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll.Arg.",NA,"Krukoff BA","1933","08","Southern America","Brazil","Acre","Basin of Rio Purus",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1076241 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1076241","NL-L1076241",NA,NA,"03","-69","-9.333333",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,"-69.0","-9.333333","Uw19852A",NA,NA,NA,NA
"13","2020-02-08 09:49:49-03","NBC","NL-BOTANY","U 0075289","PreservedSpecimen","Plantae",NA,"Malpighiales","Euphorbiaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll.Arg.",NA,"Krukoff BA","1933","08","Southern America","Brazil","Acre","Basin of Rio Purus",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200075289 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0075289",NA,NA,NA,"03","-69","-9.333333",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,"-69.0","-9.333333","Uw19852a",NA,NA,NA,NA
"14","2020-02-08 09:49:49-03","NBC","NL-BOTANY","U.1474218","PreservedSpecimen","Plantae",NA,"Malpighiales","Euphorbiaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll.Arg.",NA,"Krukoff BA","1933","08","Southern America","Brazil","Acre","Basin of Rio Purus",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1474218 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1474218","NL-U1474218",NA,NA,"03","-69","-9.333333",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,"-69.0","-9.333333",NA,NA,NA,NA,NA
