"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","year","month","day","locality","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","sex","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-04-05 14:33:32-03","UNESC","CRI","4555","PreservedSpecimen","Plantae","Fabaceae","Inga","vera","affinis","Inga vera affinis","(DC.) T.D. Penn.","Elaine T. G. Carvalho","Elaine T. G. Carvalho","Brasil","Rio Grande do Sul","Três de Maio","-54.240278","-27.773889","54º14'25''W","27º46'26''S","360","360","CRI002867","CRI002867",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:32-03","UNESC","CRI","3952","PreservedSpecimen","Plantae","Fabaceae","Inga","vera","affinis","Inga vera affinis","(DC.) T.D. Penn.","J. A. Jarenkow","J. A. Jarenkow","Brasil","Rio Grande do Sul","Barra do Ribeiro","-51.301389","-30.291667","51º18'5''W","30º17'30''S","5","5","CRI002866","CRI002866","1606","1990","01","02","Mata Galeria do Riacho Douradilho Ribeiro, próx. a BR 116.","Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:18-03","UNESC","CRI","3884","PreservedSpecimen","Plantae","Fabaceae","Inga","vera","affinis","Inga vera affinis","(DC.) T.D. Penn.",NA,"J. A. Jarenkow","Brasil","Rio Grande do Sul","Paim Filho","-51.758889","-27.709444","51º45'32''W","27º42'34''S",NA,NA,"CRI002863","CRI002863",NA,"1988","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:32-03","UNESC","CRI","6460","PreservedSpecimen","Plantae","Fabaceae","Inga","vera","affinis","Inga vera affinis","(DC.) T.D. Penn.","J. A. Jarenkow","J. A. Jarenkow","Brasil","Rio Grande do Sul","Barra do Ribeiro","-51.301389","-30.291667","51º18'5''W","30º17'30''S","7","7","CRI002881","CRI002881",NA,"1998","01","19","BR-116 ca. 3km divisa c/ Tapes.",NA,"1998","06","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:18-03","UNESC","CRI","13178","PreservedSpecimen","Plantae","Fabaceae","Inga","vera","affinis","Inga vera affinis","(DC.) T.D. Penn.","Oliveira, A.A. de","Oliveira, A.A. de","Brasil","Santa Catarina","Xavantina","-52.38","-27","52º22'48''W","27º0'0''S","649","649","CRI011904",NA,"1225","2015","02","26","Linha Rondom.","Estágio médio de regeneração.","2015","02","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:18-03","UNESC","CRI","9348","PreservedSpecimen","Plantae","Fabaceae","Inga","vera",NA,"Inga vera","Willd.","M. Sobral","M. Verdi; R.P. Hasckel & G. Klemz","Brasil","Santa Catarina","Anita Garibaldi","-51.033611","-27.851944","51º2'1''W","27º51'7''S","833","833","CRI002870","CRI002870","1437","2009","01","26","São Paulo.","Ecótono Floresta Ombrófila Mista e Floresta Estacional Decidual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:18-03","UNESC","CRI","7984","PreservedSpecimen","Plantae","Fabaceae","Inga","vera","affinis","Inga vera affinis","(DC.) T.D. Penn.","Vanilde Citadini- Zanette","Beatriz Wessler; Bruna Alberton","Brasil","Santa Catarina","Içara","-49.300278","-28.713889","49º18'1''W","28º42'50''S",NA,NA,"CRI002865","CRI002865",NA,"2007","10","10","SANTEC Resíduos.",NA,"2007","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:40:41-03","E","E","207069","PreservedSpecimen","Plantae","Leguminosae","Inga","vera",NA,"Inga vera",NA,NA,"Munhoz, C., Farais, R., Cardoso Rosa, L.O., de Carvalho, V.M., Potzernheim, M.L. & Milhomens Fonseca, L.","BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00207069",NA,"1977","1998","09","06",NA,"<a href=http://data.rbge.org.uk/herb/E00207069 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:217979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00924302","PreservedSpecimen","Plantae","Fabaceae","Inga","vera","affinis","Inga vera affinis","(DC.) T.D.Penn.",NA,"E. P. Heringer","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,"NY00924302","NY00924302_01","16266","1976","11","21","Zoológico","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998933' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00924334","PreservedSpecimen","Plantae","Fabaceae","Inga","vera","affinis","Inga vera affinis","(DC.) T.D.Penn.",NA,"D. R. Hunt","Brazil","Goiás","Caiapônia","-51.8103","-16.9569",NA,NA,"600","1000","NY00924334","NY00924334_01","6179","1966","06","26","Jataí-Caiaponia road, 40 km. from Caiaponia.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999061' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1802224","PreservedSpecimen","Plantae","Fabaceae","Inga","vera","affinis","Inga vera affinis","(DC.) T.D.Penn.","C. Romero","G. Martinelli","Brazil","Rio de Janeiro","Resende","-44.678895","-22.385269",NA,NA,"2400","2400","NY01802224","NY01802224_01","3241","1977","10","11","Parque National de Itatiaia, Planalto próximo ao Abrigo Rebouças","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2047289' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","418812","PreservedSpecimen","Plantae","Fabaceae","Inga","vera","affinis","Inga vera affinis","(DC.) T.D.Penn.","S. M. Silva","S. B. Mikich","Brazil","Paraná","Fênix","-51.97","-23.92",NA,NA,NA,NA,"NY00418812","NY00418812_01","s.n.","1997","08","05","Fazenda Guagivira","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239927' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00924298","PreservedSpecimen","Plantae","Fabaceae","Inga","vera","affinis","Inga vera affinis","(DC.) T.D.Penn.",NA,"J. F. Ramos","Brazil","Distrito Federal","Brasília","-47.6667","-15.6167",NA,NA,"900","1150","NY00924298","NY00924298_01","6710","1966","07","21","Planaltina","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998918' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01179230","PreservedSpecimen","Plantae","Fabaceae","Inga","vera","affinis","Inga vera affinis","(DC.) T.D.Penn.","F. Bonadeu da Silva","G. A. Black","Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,"NY01179230","NY01179230_01","47-2000",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387793' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","408885","PreservedSpecimen","Plantae","Fabaceae","Inga","vera","affinis","Inga vera affinis","(DC.) T.D.Penn.","F. Bonadeu da Silva","G. G. Hatschbach","Brazil","São Paulo","Penápolis","-50.0697","-21.4203",NA,NA,NA,NA,"NY00408885","NY00408885_01","34821","1974","09","18","Rod. SP-425","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489426' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
