"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:35:42-03","E","E","104482","PreservedSpecimen","Plantae","Acanthaceae","Justicia","lythroides","Justicia lythroides","Campínas University","2575","1976","04","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:113776","<a href=http://data.rbge.org.uk/herb/E00104482 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104482",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","484198","PreservedSpecimen","Plantae","Acanthaceae","Chaetothylax","lythroides","Chaetothylax lythroides","L. B. Smith","11789","1957","02","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506140' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484198","Magnoliophyta","Lamiales","(Nees) Benth. ex B.D.Jacks.","E. C. Leonard","Santa Catarina","Itapiranga","Linha Coqueiro by Rio Peperiguaçu.","-53.7119","-27.1694","200","300","NY00484198_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","484199","PreservedSpecimen","Plantae","Acanthaceae","Chaetothylax","lythroides","Chaetothylax lythroides","G. G. Hatschbach","19150","1968","04","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506139' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484199","Magnoliophyta","Lamiales","(Nees) Benth. ex B.D.Jacks.","D. C. Wasshausen","Paraná","Marechal Cândido Rondon","Pato Bragado. Mata pluvial, da bacia do Rio Paraná.","-54.0567","-24.5561",NA,NA,"NY00484199_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","484200","PreservedSpecimen","Plantae","Acanthaceae","Chaetothylax","lythroides","Chaetothylax lythroides","G. G. Hatschbach","21502","1969","05","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506137' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484200","Magnoliophyta","Lamiales","(Nees) Benth. ex B.D.Jacks.","D. C. Wasshausen","Paraná","Terra Boa","Fda. Mururê. Interior da mata pluvial da bacia do Rio Paraná.","-52.4442","-23.7683",NA,NA,"NY00484200_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","484281","PreservedSpecimen","Plantae","Acanthaceae","Chaetothylax","lythroides","Chaetothylax lythroides","Bertoni","1061","1945","03","27","South America","Argentina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506141' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484281","Magnoliophyta","Lamiales","(Nees) Benth. ex B.D.Jacks.","C. Ezcurra","Misiones","San Pedro","Rio Alegr__ [spelling ?]",NA,NA,NA,NA,"NY00484281_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","484201","PreservedSpecimen","Plantae","Acanthaceae","Chaetothylax","lythroides","Chaetothylax lythroides","G. G. Hatschbach","14282","1966","04","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506136' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484201","Magnoliophyta","Lamiales","(Nees) Benth. ex B.D.Jacks.","D. C. Wasshausen","Paraná","Cianorte","Eda. Lagoa.","-52.6047","-23.6633",NA,NA,"NY00484201_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","484202","PreservedSpecimen","Plantae","Acanthaceae","Chaetothylax","lythroides","Chaetothylax lythroides","A. F. C. P. Saint-Hilaire","s.n.","1816",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506138' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484202","Magnoliophyta","Lamiales","(Nees) Benth. ex B.D.Jacks.","D. C. Wasshausen","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,NA,"NY00484202_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","38825","PreservedSpecimen","Plantae","Acanthaceae","Heinzelia","ovalis","Heinzelia ovalis","L. Riedel","1983","1843","03",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=665258' target='other'> <mi>dwc_moreinfo</mi></a>","NY00038825","Magnoliophyta","Lamiales","Nees",NA,"São Paulo",NA,"Prope Ipanema",NA,NA,NA,NA,"NY00038825_01","isosyntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","484217","PreservedSpecimen","Plantae","Acanthaceae","Heinzelia","ovalis","Heinzelia ovalis","A. P. Duarte","1644","1949","05","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=665255' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484217","Magnoliophyta","Lamiales","Nees","C. T. Rizzini","Paraná",NA,"P. N. Iguaçú - abaixo do salto e margem do S. Joao - Paraná.",NA,NA,NA,NA,"NY00484217_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","311871","PreservedSpecimen","Plantae","Acanthaceae","Heinzelia","ovalis","Heinzelia ovalis","J. F. Widgren","s.n.","1845",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=665256' target='other'> <mi>dwc_moreinfo</mi></a>","NY00311871","Magnoliophyta","Lamiales","Nees",NA,"Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,NA,"NY00311871_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","484218","PreservedSpecimen","Plantae","Acanthaceae","Heinzelia","ovalis","Heinzelia ovalis","L. Riedel","1983","1834",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=665257' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484218","Magnoliophyta","Lamiales","Nees",NA,"São Paulo",NA,"In sylv. ad vias prope Ypanema.",NA,NA,NA,NA,"NY00484218_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","930267","PreservedSpecimen","Plantae","Acanthaceae","Justicia","lythroides","Justicia lythroides","J. F. Widgren","s.n.","1845",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002907' target='other'> <mi>dwc_moreinfo</mi></a>","NY00930267","Magnoliophyta","Lamiales","(Nees) V.A.W.Graham",NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,"NY00930267_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","492157","PreservedSpecimen","Plantae","Acanthaceae","Justicia","lythroides","Justicia lythroides","J. V. Neto","2575","1976","04","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=650138' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492157","Magnoliophyta","Lamiales","(Nees) V.A.W.Graham","C. Ezcurra","São Paulo","Sumaré","Nativo no Horto Florestal.","-47.2597","-22.82",NA,NA,"NY00492157_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-13 09:18:42-03","UFRJ","RFA","9734","PreservedSpecimen","Plantae","Acanthaceae","Chaetothylax","lythroides","Chaetothylax lythroides","G.G. Hatschbach; O. Guimarães 238","19150","1968","04","24",NA,"Brasil",NA,NA,"Subarbusto 50 cm de altura. Flor lilás","RFA28460",NA,NA,"(Nees) Benth. ex B.D.Jacks.","D. Wasshausen","Paraná","Marechal Cândido Rondon","Pato Bragado. Mata pluvial da Bacia do Rio Paraná.","-54.0567016601562","-24.5561008453369",NA,NA,NA,NA,"27823","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-13 09:18:42-03","UFRJ","RFA","9096","PreservedSpecimen","Plantae","Acanthaceae","Chaetothylax","lythroides","Chaetothylax lythroides","G.G. Hatschbach","14282","1966","04","29",NA,"Brasil",NA,NA,"Erva 50 cm de altura. Flor ext. alvacenta, interior lilás","RFA27896",NA,NA,"(Nees) Benth. ex B.D.Jacks.","D. Wasshausen","Paraná","Cianorte","Fazenda Lagoa","-52.6049995422363","-23.6632995605469",NA,NA,NA,NA,"32009","auto","1967",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-11-13 09:18:42-03","UFRJ","RFA","9343","PreservedSpecimen","Plantae","Acanthaceae","Chaetothylax","lythroides","Chaetothylax lythroides","G.G. Hatschbach","21502","1969","01","25",NA,"Brasil",NA,NA,"Flor lilás","RFA28028",NA,NA,"(Nees) Benth. ex B.D.Jacks.","D. Wasshausen","Paraná","Terra Boa","Fazenda Mururê. Interior da mata pluvial do Rio Paraná.","-52.4441986083984","-23.7681007385254",NA,NA,NA,NA,"26445","auto","1969",NA,NA,NA,NA,NA,NA,NA,NA
