"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","class","typeStatus","relatedCatalogItem","relationshipType","individualCount","fieldNumber","sex"
"1","2021-04-05 14:26:07-03","UNESC","CRI","12158","PreservedSpecimen","Plantae","Solanaceae","Aureliana","fasciculata","Aureliana fasciculata","(Vell.) Sendtn.","Stehmann, JR","2010","11","04","Cadorin, T.J.; Grosch, B. & Lopes, C.P.","1078","2010","01","26","Brasil","Santa Catarina","Doutor Pedrinho","Forcação.","-49.585278","-26.7275","49º35'7''W","26º43'39''S","785","785","Florística IFFSC e801a (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arbusto; flor branca","CRI010336","CRI010336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:07-03","UNESC","CRI","12397","PreservedSpecimen","Plantae","Solanaceae","Aureliana","fasciculata","Aureliana fasciculata","(Vell.) Sendtn.","Oliveira, AA de","2015","03","06","Oliveira, AA de",NA,"2015","03","06","Brasil","Santa Catarina","Porto União","Cabeceira Barra Grande","-50.940833","-26.461667","50º56'27''W","26º27'42''S","114","114","Flor Branca. Doação Herbário FURB (46623) Habito: Arbustivo","CRI010604","CRI010604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:07-03","UNESC","CRI","13632","PreservedSpecimen","Plantae","Solanaceae","Aureliana","fasciculata","Aureliana fasciculata","(Vell.) Sendtn.","Renato Colares","2018","05","24","Renato Colares; Thuany Machado",NA,"2016","09",NA,"Brasil","Santa Catarina","Treviso","Campo Morozini","-49.453333","-28.538333","49º27'12''W","28º32'18''S","149","149","Habitat: Terrestre Habito: Arbóreo","CRI012239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:26:07-03","UNESC","CRI","11396","PreservedSpecimen","Plantae","Solanaceae","Aureliana","fasciculata","Aureliana fasciculata","(Vell.) Sendtn.","A. Korte","2010","05","10","A. Korte; A. Kniess","2691","2010","04","13","Brasil","Santa Catarina","Witmarsum","Krauer Central.","-49.770556","-26.910278","49º46'14''W","26º54'37''S","439","439","Floresta Ombrófila Densa","CRI007562","CRI007562",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:26:07-03","UNESC","CRI","12379","PreservedSpecimen","Plantae","Solanaceae","Aureliana","fasciculata","Aureliana fasciculata","(Vell.) Sendtn.","Renato Colares","2017","06","08","Alexandre Medeiros",NA,"2017","04","23","Brasil","Santa Catarina","Balneário Camboriú","Taquarinhas.","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"Coleta 192.","CRI010586",NA,"8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:26:08-03","UNESC","CRI","831","PreservedSpecimen","Plantae","Solanaceae","Capsicum","lucidum","Capsicum lucidum","Kuntze","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Valdemar Piazza Boff","1194","1991","09","12","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI007461","CRI007461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:26:08-03","UNESC","CRI","3265","PreservedSpecimen","Plantae","Solanaceae","Capsicum","lucidum","Capsicum lucidum","Kuntze","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar","1886","1993","02","10","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI007463","CRI007463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:26:08-03","UNESC","CRI","567","PreservedSpecimen","Plantae","Solanaceae","Capsicum","lucidum","Capsicum lucidum","Kuntze","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","917","1990","06","27","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI007465","CRI007465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:34:11-03","UNESC","CRI","57","PreservedSpecimen","Plantae","Solanaceae","Capsicum","lucidum","Capsicum lucidum","Kuntze","Vanilde Citadini-Zanette",NA,NA,NA,"Vanilde Citadini-Zanette",NA,"1996","09","19","Brasil","Santa Catarina","Lauro Muller","rocinha","-49.396667","-28.392778","49º23'48''W","28º23'34''S","213","213","Habito: Arvoreta","CRI007466","CRI007466",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:43:27-03","E","E","262009","PreservedSpecimen","Plantae","Solanaceae","Aureliana","fasciculata","Aureliana fasciculata",NA,NA,NA,NA,NA,"Davis, P.H., Shepherd, G.J., Makino, H., Silvestre, M.S. & Jung, S.L.",NA,"1976","08","21","BR","Sao Paulo",NA,"Serra do Mar above Ubatuba",NA,NA,NA,NA,"150","200","<a href=http://data.rbge.org.uk/herb/E00262009 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00262009",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:270029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
