"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber"
"1","2021-04-05 14:33:35-03","UNESC","CRI","9584","PreservedSpecimen","Plantae","Lauraceae","Nectandra","oppositifolia","Nectandra oppositifolia","Nees & Mart.","A. Korte","2010","05","21","A. Korte; A. Kniess","3349","2010","05","21","Brasil","Santa Catarina","Indaial","Parque Nacional da Serra do Itajaí.","-49.230833","-27.09","49º13'51''W","27º5'24''S","601","601","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI003575","CRI003575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:35-03","UNESC","CRI","3355","PreservedSpecimen","Plantae","Lauraceae","Nectandra","oppositifolia","Nectandra oppositifolia","Nees & Mart.",NA,NA,NA,NA,"Vanilde Citadini-Zanette; Robson dos Santos","1952","1993","02","18","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI003566","CRI003566",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:35-03","UNESC","CRI","9647","PreservedSpecimen","Plantae","Lauraceae","Nectandra","oppositifolia","Nectandra oppositifolia","Nees & Mart.","M. Verdi","2010","04","14","M. Verdi; N.L. de Souza, G. Klemz & D.H. Klettenberg","4457","2010","04","14","Brasil","Santa Catarina","Grão Pará","Barra do Rio do Meio.","-49.322222","-28.17","49º19'20''W","28º10'12''S","332","332","Floresta Ombrófila Densa Habito: arbórea","CRI003571","CRI003571",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:35-03","UNESC","CRI","9434","PreservedSpecimen","Plantae","Lauraceae","Nectandra","oppositifolia","Nectandra oppositifolia","Nees & Mart.","A. Korte","2009","10","22","A. Korte","657","2009","10","22","Brasil","Santa Catarina","Blumenau","Bairro: Ristow.","-49.154722","-26.939167","49º9'17''W","26º56'21''S","130","130","Floresta Ombrófila Densa","CRI003573","CRI003573",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:35-03","UNESC","CRI","9426","PreservedSpecimen","Plantae","Lauraceae","Nectandra","oppositifolia","Nectandra oppositifolia","Nees & Mart.","A. Stival-Santos","2010","04","19","A. Stival-Santos; E. Legal & S. Silveira","2204","2010","03","30","Brasil","Santa Catarina","Botuverá","Reserva Biológica Canela Preta.","-49.14","-27.27","49º8'24''W","27º16'12''S","639","639","Floresta Ombrófila Densa Habitat: beira de estrada Habito: arbórea","CRI003646","CRI003646",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:35-03","UNESC","CRI","3183","PreservedSpecimen","Plantae","Lauraceae","Nectandra","oppositifolia","Nectandra oppositifolia","Nees & Mart.","Vanilde Citadini- Zanette",NA,NA,NA,"Robson dos Santos; Aurélio José de Aguiar","1832","1992","04","30","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI003473","CRI003473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:35-03","UNESC","CRI","12285","PreservedSpecimen","Plantae","Lauraceae","Nectandra","oppositifolia","Nectandra oppositifolia","Nees & Mart.","Guilherme Alves Elias, Peterson Teodoro Padilha & Altamir Antunes","2017","03","23","Guilherme Alves Elias; Peterson Teodoro Padilha & Altamir Antunes",NA,"2017","03","23","Brasil","Santa Catarina","Timbé do Sul","Paredão da Serra da Rocinha antes da pavimentação.","-49.9275","-28.811667","49º55'39''W","28º48'42''S",NA,NA,NA,"CRI010467",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:35-03","UNESC","CRI","9568","PreservedSpecimen","Plantae","Lauraceae","Nectandra","oppositifolia","Nectandra oppositifolia","Nees & Mart.","M. Verdi","2010","04","09","M. Verdi; N.L. de Souza, G. Klemz & D.H. Klettenberg","4273","2010","04","09","Brasil","Santa Catarina","Armazém","Rio Indaiá.","-49.049722","-28.169444","49º2'59''W","28º10'10''S","229","229","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI003580","CRI003580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:35-03","UNESC","CRI","9435","PreservedSpecimen","Plantae","Lauraceae","Nectandra","oppositifolia","Nectandra oppositifolia","Nees & Mart.","A. Stival-Santos","2010","04","24","A. Stival-Santos; E. Legal, D. Meyer & S. Silveira","2530","2010","04","24","Brasil","Santa Catarina","Angelina","Barra Clara.","-49.082778","-27.507778","49º4'58''W","27º30'28''S","406","406","Floresta Ombrófila Densa Habitat: beira de estrada Habito: arbórea","CRI003644","CRI003644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:35-03","UNESC","CRI","9427","PreservedSpecimen","Plantae","Lauraceae","Nectandra","oppositifolia","Nectandra oppositifolia","Nees & Mart.","M. Verdi","2010","02","24","M. Verdi; N. L. de Souza e G. Klemz","3747","2010","02","24","Brasil","Santa Catarina","Orleans","Taipa.","-49.231944","-28.352778","49º13'55''W","28º21'10''S","345","345","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI003582","CRI003582",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
