"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","country","stateProvince","county","locality","individualCount","occurrenceRemarks","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","recordNumber","continentOcean","preparationType","previousCatalogNumber","barcode","year","month","day","decimalLongitude","decimalLatitude","coordinatePrecision","imagecode","geoFlag","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","fieldNumber"
"1","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2152","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Christensonella","pumila","Christensonella pumila","(Hook.) Szlach. et al.","Rubens Custódio;","Brasil","Minas Gerais","São Roque","Serra da Canastra","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","4041","S","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Maxillaria","cf. plebeja","Maxillaria cf. plebeja",NA,NA,NA,NA,NA,NA,"1","254","Carlos Alberto Ferreira Júnior","2017","03","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:42:10-03","E","E","385266","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Maxillaria","funerea","Maxillaria funerea",NA,"Gardner, George","BR",NA,NA,"[illegible] Rio",NA,"<a href=http://data.rbge.org.uk/herb/E00385266 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"unspecified kind of","123","E. Tropical South America","herbarium specimen of unspecif","BGBASE:439048","E00385266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:42:10-03","E","E","385267","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Maxillaria","funerea","Maxillaria funerea",NA,"Gardner, George","BR",NA,NA,"Rio.",NA,"<a href=http://data.rbge.org.uk/herb/E00385267 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"unspecified kind of","123","E. Tropical South America","herbarium specimen of unspecif","BGBASE:439049","E00385267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:42:10-03","E","E","385265","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Maxillaria","funerea","Maxillaria funerea",NA,"Gardner, George","BR",NA,NA,"[illegible]",NA,"<a href=http://data.rbge.org.uk/herb/E00385265 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"unspecified kind of","123","E. Tropical South America","herbarium specimen of unspecif","BGBASE:439047","E00385265","1905","01","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","688777","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Maxillaria","pumila","Maxillaria pumila","Hook.","F. C. Hoehne","Brazil","São Paulo","Sao Paulo","Parque do Estado, Sao Paulo.",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=869349' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"24504","South America","sheet",NA,"NY00688777","1929","11","21","-46.621883","-23.654505",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 17:44:59-03","EAO","IAN","19401","PreservedSpecimen","Plantae","Monocotiledônea",NA,NA,"Orchidaceae","Maxillaria","funerea","Maxillaria funerea","Lindl.","Gardner, A","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"123","Southern America",NA,NA,"IAN019401",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:26:36-03","PUCPR","HUCP","21220","S","Plantae","Monocotiledonea",NA,NA,"Orchidaceae","Christensonella","pumila","Christensonella pumila","(Hook.) & Szlach.","Lemos, JV","Brasil","Paraná","Pontal do Paraná","Rio Guaraguaçu",NA,NA,"Lemos, JV",NA,NA,NA,NA,"009",NA,NA,NA,"HUCP00003051","2007","10","12","-48.511100769043","-25.6735992431641","19508","HUCP00003051","auto",NA,NA,NA,NA,NA
"9","2021-03-31 13:41:08-03","MN","R","35720","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Maxillaria","pumila","Maxillaria pumila","(Wight) Beer","Brade, A.C.","Brasil","Rio de Janeiro",NA,NA,NA,NA,"Koehler, S.","2007","01",NA,NA,"11326",NA,NA,NA,NA,"1932","01","22",NA,NA,NA,NA,NA,"700","700",NA,NA,NA
"10","2021-03-31 13:41:08-03","MN","R","3112","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Maxillaria","pumila","Maxillaria pumila","(Wight) Beer","Armond, A.F.N.","Brasil","Rio de Janeiro","Carmo",NA,NA,NA,"Pabst, G.F.J.",NA,NA,NA,NA,"38",NA,NA,NA,NA,NA,NA,NA,"-42.6086006164551","-21.9335994720459","21959",NA,"auto",NA,NA,NA,NA,NA
"11","2019-08-27 13:26:35-03","IAP","PACA-AGP","47933","PreservedSpecimen","Plantae","Magnoliophyta","Liliatae","Orchidales","Orchidaceae","Maxillaria","plebeia","Maxillaria plebeia","Rchb. f.","Sehnem, A.","Brasil","RS","Montenegro","Kappesberg",NA,"Habitat: In silva, epiphytica Fenofase: flor","Emrich-Rambo-Pabst","1954","09","03",NA,"2210",NA,NA,NA,"PACA047933","1946","10","08","-51.4611015319824","-29.6886005401611","21601",NA,"auto",NA,NA,NA,NA,NA
"12","2019-08-27 13:26:35-03","IAP","PACA-AGP","84948","PreservedSpecimen","Plantae","Magnoliophyta","Liliatae","Orchidales","Orchidaceae","Maxillaria","plebeia","Maxillaria plebeia","Rchb. f.","Sehnem, A.","Brasil","RS","São Francisco de Paula","Serra do Faxinal",NA,"SEM MATERIAL Habitat: Epiphytum in silva nebulari","A. Sehnem","1950","12","19",NA,NA,NA,NA,NA,"PACA084948","1950","12","19","-50.5835990905762","-29.4480991363525","76715",NA,"auto",NA,NA,NA,NA,NA
"13","2020-12-20 21:18:46-03","UFV","VIC","016133","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Maxillaria","minuta","Maxillaria minuta","Cogn.","de Paula, C.C.","Brasil","Minas Gerais","Fervedouro","PESB, Vale do córrego São bento(1° vale)",NA,"Rupicola de flores marrons.",NA,NA,NA,NA,NA,"986",NA,NA,NA,"VIC016133","1995","04","14","-42.2789001464844","-20.7255992889404","20038","VIC016133","auto",NA,NA,NA,NA,NA
"14","2020-12-20 21:18:46-03","UFV","VIC","004321","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Maxillaria","plebeia","Maxillaria plebeia","Rchb.f.","Pabst","Brasil","Minas Gerais","Viçosa","ESA-Jardim Botânico",NA,"Cultivado em vaso de xaxim, H 10,perianto castanho avermelhado, folhas e peseudobulbo verde claro, perfume leve de cravo da India, flores um poco fechada.",NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,"VIC004321","1962","05","23","-42.8819007873535","-20.7539005279541","13937","VIC004321","auto",NA,NA,NA,NA,NA
"15","2019-11-21 14:40:53-03","UFJF","CESJ","22919","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Orchidaceae","Maxillaria","minuta","Maxillaria minuta","Cogn.","M.C. Brügger; et al.","Brasil","Minas Gerais",NA,"Parque Nacional do Caparaó, Cachoeira Bonita",NA,"à margem do riacho, formando um tufo sobre paredão de pedra. Cálice e corola marrons, sendo o labelo marrom mais forte e brilhante.","L. Menini Neto",NA,NA,NA,NA,"FPNC345","América do Sul",NA,NA,"CESJ022919","1988","10","15",NA,NA,NA,"CESJ022919 CESJ022919_1",NA,NA,NA,NA,NA,NA
"16","2019-11-21 14:40:53-03","UFJF","CESJ","71962","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Orchidaceae","Maxillaria","pumila","Maxillaria pumila","Hook.","D.E.F. Barbosa; G.A. Basílio","Brasil","Minas Gerais","Itamarati de Minas","RPPN Usina Maurício, Floresta semidecidual",NA,"Epífita entre 20cm e 2m. Flores com sépalas e pétalas ocre e labelo vinho. Borda de floresta a margem de leito seco.","D.E.F. Barbosa","2018","03","07",NA,"533","América do Sul",NA,NA,"CESJ071962","2018","03","07","-42.832778","-21.470278",NA,NA,NA,"250","250","-42.832778","-21.470278",NA
