"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","stateProvince","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","locality","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","sex","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:43:19-03","E","E","87155","PreservedSpecimen","Plantae","Sapindaceae","Sapindus","saponaria","Sapindus saponaria","Pennington, R.T., Bridgewater, S. & Daza, A.","1998","03","09","W. Tropical South America","PE","fruit collection/cone collecti","BGBASE:97079","<a href=http://data.rbge.org.uk/herb/E00087155 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00087155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:19-03","E","E","87154","PreservedSpecimen","Plantae","Sapindaceae","Sapindus","saponaria","Sapindus saponaria","Pennington, R.T., Bridgewater, S. & Daza, A.","1998","03","09","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:97078","<a href=http://data.rbge.org.uk/herb/E00087154 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00087154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:19-03","E","E","304507","PreservedSpecimen","Plantae","Sapindaceae","Sapindus","saponaria","Sapindus saponaria","Lewis, G.P.; Hughes, C.E.","1998","01","12","W. Tropical South America","EC","herbarium specimen of unspecif","BGBASE:312956","<a href=http://data.rbge.org.uk/herb/E00304507 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00304507","3757","Loja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01139950","PreservedSpecimen","Plantae","Sapindaceae","Sapindus","saponaria","Sapindus saponaria inaequalis","C. S. Rosário","1987","10","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1493492' target='other'> <mi>dwc_moreinfo</mi></a>","NY01139950","793","Pará","Magnoliophyta","Sapindales","inaequalis","(DC.) Radlk.","C. S. Rosário","Santarém, localidade Taperinha a na margem esquerda do rio Maicá, braço do rio Amazonas.","NY01139950_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00869762","PreservedSpecimen","Plantae","Sapindaceae","Sapindus","saponaria","Sapindus saponaria inaequalis","B. A. Krukoff","1933","07","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=100451' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869762","5215","Acre","Magnoliophyta","Sapindales","inaequalis","(DC.) Radlk.","A. C. Smith","Basin of Rio Juruá, upper Rio Jurupari (tributary of Rio Envira)",NA,"Feijó","-69.87","-8.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01139953","PreservedSpecimen","Plantae","Sapindaceae","Sapindus","saponaria","Sapindus saponaria","R. Spruce","1850","06",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1493494' target='other'> <mi>dwc_moreinfo</mi></a>","NY01139953",NA,"Pará","Magnoliophyta","Sapindales",NA,"L.",NA,"In vicinibus Santarem, Prov.Pará.","NY01139953_01",NA,"-54.740486","-2.449614",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01025689","PreservedSpecimen","Plantae","Sapindaceae","Sapindus","saponaria","Sapindus saponaria inaequalis","B. A. Krukoff","1933","07","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502341' target='other'> <mi>dwc_moreinfo</mi></a>","NY01025689","5215","Acre","Magnoliophyta","Sapindales","inaequalis","(DC.) Radlk.","A. C. Smith","Basin of Rio Juruá, upper Rio Jurupari (tributary of Rio Envira)","NY01025689_01 NY01025689_02","Feijó","-69.87","-8.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01096361","PreservedSpecimen","Plantae","Sapindaceae","Sapindus","saponaria","Sapindus saponaria","A. C. Cervi","1994","01","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1236490' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096361","7354","Alagoas","Magnoliophyta","Sapindales",NA,"L.",NA,"Reserva Biológica de Pedra Talhada. Agreste, Area de transição Florestas Estacional Semidecidual/Decidual Contrafortes de Borborema,.","NY01096361_01","Quebrangulo","-36.42","-9.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","869761","PreservedSpecimen","Plantae","Sapindaceae","Sapindus","saponaria","Sapindus saponaria","D. C. Daly","1993","10","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=503094' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869761","7923","Acre","Magnoliophyta","Sapindales",NA,"L.","H. T. Beck","Basin of Rio Purus, Rio Iaco, right bank, Nova Olinda, between Igarapé Santo Antõnio and Ig. Boa Esperança","NY00869761_01","Sena Madureira","-69.22","-10.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01139958","PreservedSpecimen","Plantae","Sapindaceae","Sapindus","saponaria","Sapindus saponaria","G. A. Black","1947","08","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1493865' target='other'> <mi>dwc_moreinfo</mi></a>","NY01139958","47-1235","Amazonas","Magnoliophyta","Sapindales",NA,"L.",NA,NA,"NY01139958_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
