"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","verbatimLongitude","verbatimLatitude","class","previousCatalogNumber","monthIdentified","dayIdentified","relationshipType","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00076870","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cyphomandra","sciadostylis","trichocarpa","Cyphomandra sciadostylis trichocarpa","Hassl.","isolectotype","E. Hassler","10863","1907","South America","Paraguay","In altaplanitie et declivibus 'Sierra de Amambay'","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=314873' target='other'> <mi>dwc_moreinfo</mi></a>","NY00076870","NY00076870_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00697003","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis","(Sendtn.) Bohs",NA,"A. Krapovickas","35365","1980","South America","Brazil","Poços de Caldas, Represa Bertolán","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=828908' target='other'> <mi>dwc_moreinfo</mi></a>","NY00697003","NY00697003_01","01","19","Minas Gerais","Poços de Caldas","-46.5614","-21.7881",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","669243","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis","(Sendtn.) Bohs",NA,"G. G. Hatschbach","23256","1969","South America","Brazil","Vargem Grande.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=544800' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669243","NY00669243_01","12","16","Paraná","Sao Mateus do Sul","-50.3828","-25.8744","780","780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2017-02-01 14:17:00-02","NY","NYBG","00962080","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis",NA,NA,"G. Bernardello","810","1992","South America","Argentina","Loreto, cerca de las ruinas.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1040872' target='other'> <mi>dwc_moreinfo</mi></a>","NY00962080",NA,"01","31","Misiones","Candelaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 03:09:00-03","NY","NYBG","725747","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis",NA,NA,"J. E. Montes","9605","1950","South America","Argentina","Puerto Wanda km. 9.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=859249' target='other'> <mi>dwc_moreinfo</mi></a>","NY00725747",NA,"10","28","Misiones","Iguazú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","669242","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis","(Sendtn.) Bohs",NA,"P. K. H. Dusén","15890","1914","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=544798' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669242","NY00669242_01","11","29","Paraná","Jaguariaíva","-49.7056","-24.2511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1921594","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis","(Sendtn.) Bohs",NA,"L. L. Giacomin","1242","2011","South America","Brazil","Ibitirama, Parque Nacional do Caparaó, ás margens do corrego do Calçado, acesso pelo Tecnotruta.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2288959' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921594","NY01921594_01","02","09","Espírito Santo",NA,"-41.7403","-20.4656","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","669239","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis","(Sendtn.) Bohs",NA,"F. Segadas-Vianna","2840","1951","South America","Brazil","Serra da Bocaina, Lageado Farm.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=544799' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669239","NY00669239_01","03",NA,"São Paulo","Barreiro","-44.622423","-22.796043","1600","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2017-02-01 14:17:00-02","NY","NYBG","725748","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis",NA,NA,"P. Jorgensen","4374","1931","South America","Paraguay",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=859251' target='other'> <mi>dwc_moreinfo</mi></a>","NY00725748",NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","669241","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis","(Sendtn.) Bohs",NA,"C. Kozera","358","1996","South America","Brazil","Parque Barigui.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=544796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669241","NY00669241_01","11","20","Paraná","Curitiba","-49.22","-25.37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
