"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","identifiedBy","yearIdentified","monthIdentified","class","relatedCatalogItem","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00861393","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","G. Davidse","10790","1976","02","28","South America","Brazil","Minas Gerais","Ca. 8 km NW of Congonhas along Highway 135 to Belo Horizonte","970","970","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933027' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861393","NY00861393_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","39634","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","P. K. H. Dusén","9710","1910","04","16","South America","Brazil","Paraná","Yaguarihyia [orthography?]",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=487508' target='other'> <mi>dwc_moreinfo</mi></a>","NY00039634","NY00039634_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00861369","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","G. A. Black","51-12018","1951","02","05","South America","Brazil","Minas Gerais","Serra do Cipó, entre os Kms 130 e 132",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933032' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861369","NY00861369_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00861368","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","R. Goodland","921","1967",NA,NA,"South America","Brazil","Minas Gerais","Triángulo region.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933024' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861368","NY00861368_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:53:00-03","EAO","IAN","69842","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Aristida","trinii","Aristida trinii","Henr.","Black, GA; Magalhães, MG","12018","1951","04","05","Southern America","Brasil","Minas Gerais","Serra do Cipó, entre os km 130 e 132.",NA,NA,NA,NA,"IAN069842",NA,NA,"Longhi-Wagner, HM","1986","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:16:04-03","NBC","NL-BOTANY","L 0043650","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","Dusén PKH",NA,"1910","04","16","Southern America","Brazil","Paraná","Jaguariahyva, in campo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200043650 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0043650","NL-L0043650","type","Henrard JT",NA,NA,"Magnoliopsidae","923213114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 12:18:35-03","ESALQ","ESA","119144","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poaceae","Aristida","ekmaniana","Aristida ekmaniana",NA,"Merlin, B.L.","102.0","2007","09","23",NA,"Brasil","Minas Gerais","Cerrado pedregoso ao redor da Serra da Canastra.",NA,NA,NA,NA,"ESA119144","ESA119144",NA,"Cristofoletti, N.","2007","12",NA,NA,"01","São Roque de Minas","-46.3657989501953","-20.2453002929688","57119","auto",NA,NA,NA,NA
"8","2019-08-27 13:25:45-03","IAP","PACA-AGP","67081","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Gramineae","Aristida","trinii","Aristida trinii","Henr.","Oder",NA,"1971","06","15",NA,"Brasil","RS","Estrada Passo Fundo km 26",NA,NA,NA,"Herb. Univ. Passo Fundo 0562","PACA067081",NA,NA,"B. Severo",NA,NA,"Liliatae",NA,NA,"Carazinho","-52.7863998413086","-28.283899307251","35233","auto",NA,NA,NA,NA
"9","2020-06-30 18:32:43-03","UFJF","CESJ","54261","PreservedSpecimen","Plantae","Angiosperma",NA,"Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","F.M. Ferreira; M.M. Saavedra; R.C. Forzza; R.A.X. Borges; J.Costa-Silva","1127","2006","09","19","América do Sul","Brasil","Minas Gerais","Parque Estadual do Ibitipoca, Encosta do Pico do Pião. Trilha interditada.",NA,NA,NA,"Campo rupestre. Erva cespitosa ca. 30cm. Folhas basais planas e recurvadas.","CESJ054261",NA,NA,"F.M. Ferreira","2007","09",NA,NA,"19","Lima Duarte","-43.793098449707","-21.8425006866455","30417","auto",NA,NA,NA,NA
"10","2019-11-21 14:42:03-03","UFJF","CESJ","44221","PreservedSpecimen","Plantae","Angiosperma",NA,"Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","F.M. Ferreira","866","2005","04","20","América do Sul","Brasil","Minas Gerais","Toca dos Urubus",NA,NA,NA,"Erva cespitosa ca. 70 cm no campo gramínico arbustivo.","CESJ044221",NA,NA,"F.M. Ferreira","2005","12",NA,NA,"29","Baependi","-44.8899993896484","-21.9589004516602","29865","auto",NA,NA,NA,NA
"11","2021-03-01 16:20:22-03","UNICAMP","UEC","102430","S","Plantae","Liliopsida",NA,"Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","Kinoshita, LS; Crespo, S; Feres, FR","98-136","1998","10","05",NA,"Brazil","Minas Gerais","Toca da Ponte, Campo cerrado a cerca de 3km da cidade.",NA,NA,NA,"Herbácea, campo cerrado","UEC048650","UEC048650",NA,"Viana, PL","2008","11",NA,NA,NA,"Carrancas","-44.6425018310547","-21.4874992370605","21143","auto",NA,NA,NA,NA
