"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","continentOcean","preparationType","barcode","imagecode","fieldNumber","individualCount","previousCatalogNumber"
"1","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2418","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Gomesa","cf. barbaceniae","Gomesa cf. barbaceniae","(Lindl.) M.W.Chase & N.H.Williams","Carlos A. Ferreira Jr.","2012","11","27","Carlos Alberto F. Jr.; Fernando Fernandes; Juliana Ordones; Lívia Echternadt","CAF","2012","11","27","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo da Gerais, brejo no caminho da cachoeira do Bicame","-43.7144012451172","-19.1688995361328","19º 02' 34S","43º 42' 39W","26557","1288","1288","254","auto",NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","505015","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Gomesa","barbaceniae","Gomesa barbaceniae","(Lindl.) M.W.Chase & N.H.Williams",NA,NA,NA,NA,"R. Reitz","7754","1958","12","10","Brazil","Santa Catarina","Bom Jardim da Serra","Curral Falso, Sao Joaquim","-49.6244","-28.3369",NA,NA,NA,"1500","1500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574479' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00505015","NY00505015_01",NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","482459","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Gomesa","fuscans","Gomesa fuscans","(Rchb.f.) M.W.Chase & N.H.Williams",NA,NA,NA,NA,"Y. E. J. Mexia","4275","1930","02","01","Brazil","Minas Gerais","Carangola","Districto Carangola, top of Serra da Gramma; open campo above timberline","-42.478219","-20.753455",NA,NA,NA,"1700","1700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=525076' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00482459","NY00482459_01",NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","482460","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Gomesa","fuscans","Gomesa fuscans","(Rchb.f.) M.W.Chase & N.H.Williams",NA,NA,NA,NA,"Y. E. J. Mexia","4017","1929","11","25","Brazil","Espírito Santo",NA,"Serra do Caparao","-41.80119","-20.445165",NA,NA,NA,"2650","2650","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=525075' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00482460","NY00482460_01",NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","505083","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Oncidium","uliginosum","Oncidium uliginosum","Barb.Rodr.","Hoehne",NA,NA,NA,"F. C. Hoehne","761","1917","12","22","Brazil","São Paulo","Sao Paulo","Butantan","-46.724373","-23.565521",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=311873' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00505083","NY00505083_01",NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","505084","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Oncidium","uliginosum","Oncidium uliginosum","Barb.Rodr.","P. K. H. Dusén",NA,NA,NA,"P. K. H. Dusén","13441","1911","11","26","Brazil","Paraná","Contenda","Serrinha","-49.5344","-25.6758",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=311872' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00505084","NY00505084_01",NA,NA,NA
"7","2020-01-28 13:11:28-03","MCN-PUC-MINAS","HPUC-MG","ANG3392","S","Plantae",NA,NA,NA,"Orchidaceae","Gomesa","barbaceniae","Gomesa barbaceniae",NA,"J.A.N. Batista & R. Belisário",NA,NA,NA,"M.F.Vasconcelos","15-129","2015","04","19","Brasil","Minas Gerais","Santa Bárbara","Pico da Canjerana, Serra do Caraça - Município de Santa Bárbara","-43.5","-20.133333","43°30'W","20°08'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-01-28 13:11:28-03","MCN-PUC-MINAS","HPUC-MG","ANG3398","S","Plantae",NA,NA,NA,"Orchidaceae","Gomesa","barbaceniae","Gomesa barbaceniae",NA,"J.A.N. Batista & R. Belisário",NA,NA,NA,"M.F.Vasconcelos","15-121","2015","04","19","Brasil","Minas Gerais","Santa Bárbara","Serra do Caraça - Município de Santa Bárbara","-43.5","-20.133333","43°30'W","20°08'S",NA,NA,NA,"Pico da Canjerana.",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-01-28 13:11:28-03","MCN-PUC-MINAS","HPUC-MG","ANG3291","S","Plantae",NA,NA,NA,"Orchidaceae","Gomesa","cf. barbaceniae","Gomesa cf. barbaceniae",NA,"J.A.N. Batista & R. Belisário",NA,NA,NA,"M.F.Vasconcelos","15-125","2015","04","19","Brasil","Minas Gerais",NA,"Serra do Caraça - Município de Santa Bárbara","-43.5","-20.133333","43°30'W","20°08'S",NA,NA,NA,"Pico da Canjerana.",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-01-20 14:40:46-03","UPM","MACK","2603","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Gomesa","barbaceniae","Gomesa barbaceniae","(Lindl.) M.W. Chase & N.H. Williams","Gonçalves, G.F.; Barros, F.",NA,NA,NA,"Gonçalves, G.F.","02","2013",NA,NA,"Brasil","SP","Campos do Jordão","Umuarama; APA Mackenzie; Campo de altitude","-45.5900001525879","-22.7299995422363",NA,NA,"21048",NA,NA,"Terrestre; flores amarelas pintadas de marrom","auto",NA,NA,NA,NA,NA,NA,NA
