"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","985265","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Dilodendron","bipinnatum","Dilodendron bipinnatum","Radlk.","J. A. Kallunki","G. T. Prance","58264","1964","07","20","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, 15 km north of Veadeiros; valley of rio Paraná.","-47.5097","-14.1325","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1082754' target='other'> <mi>dwc_moreinfo</mi></a>","NY00985265","NY00985265_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00995204","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Dilodendron","bipinnatum","Dilodendron bipinnatum","Radlk.","P. Acevedo-Rodríguez","S. A. Mori","16964","1984","07","24","South America","Brazil","Minas Gerais","João Pinheiro","BR-040, 137km from Goiás border.","-46.1725","-17.7428","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1089624' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995204","NY00995204_01","740","740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","985267","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Dilodendron","bipinnatum","Dilodendron bipinnatum","Radlk.","B. M. T. Walter","B. M. T. Walter","2472","1995","07","24","South America","Brazil","Goiás","Niquelândia","Estrada de madeireiro entre a Serra Negra e o rio Maranhão/Tocantins; na margem direita do rio. Futuro reservatório da AHE Serra da Mesa.","-48.37","-13.98","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1082756' target='other'> <mi>dwc_moreinfo</mi></a>","NY00985267","NY00985267_01","380","380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","985263","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Dilodendron","bipinnatum","Dilodendron bipinnatum","Radlk.","P. Acevedo-Rodríguez","S. A. Mori","16964","1984","07","24","South America","Brazil","Minas Gerais","João Pinheiro","BR-040, 137km from Goiás border.","-46.1725","-17.7428","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1082752' target='other'> <mi>dwc_moreinfo</mi></a>","NY00985263","NY00985263_01","740","740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","985261","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Dilodendron","bipinnatum","Dilodendron bipinnatum","Radlk.","Kew Herbarium","E. P. Heringer","4530","1980","04","28","South America","Brazil","Distrito Federal","Brasília","Bacia do rio São Bartolomeu.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1082750' target='other'> <mi>dwc_moreinfo</mi></a>","NY00985261","NY00985261_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02431514","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Dilodendron","bipinnatum","Dilodendron bipinnatum","Radlk.",NA,"L. Riedel",NA,"1824",NA,NA,"South America","Brazil","Mato Grosso","Cuiabá",NA,"-56.0966987609863","-15.5960998535156","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978097' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431514","NY02431514_01",NA,NA,"74875","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02431515","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Dilodendron","bipinnatum","Dilodendron bipinnatum","Radlk.",NA,"L. Riedel",NA,"1824",NA,NA,"South America","Brazil","Mato Grosso","Cuiabá",NA,"-56.0966987609863","-15.5960998535156","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978098' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431515","NY02431515_01",NA,NA,"74875","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02431512","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Dilodendron","bipinnatum","Dilodendron bipinnatum","Radlk.",NA,"G. M. Magalhaes","17893","1963","05","29","South America","Brazil","Minas Gerais","Ituiutaba","Serra dos Patos","-49.4650001525879","-18.968900680542","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978083' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431512","NY02431512_01",NA,NA,"50022","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02431511","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Dilodendron","bipinnatum","Dilodendron bipinnatum","Radlk.",NA,"J. A. Ratter","6320V","1988","02","17","South America","Brazil","Roraima",NA,"SEMA Ecological Reserve, Ilha de Maracá. On Trilha de Preguiça, c. 5 km N of the Casa de Maracá","-61.52","3.35","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978081' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431511","NY02431511_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","985262","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Dilodendron","bipinnatum","Dilodendron bipinnatum","Radlk.","E. P. Heringer","E. P. Heringer","5224","1980","07","09","South America","Brazil","Distrito Federal","Brasília","Bacia do rio São Bartolomeu.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1082751' target='other'> <mi>dwc_moreinfo</mi></a>","NY00985262","NY00985262_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
