"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","phylum","order","typeStatus","continentOcean","preparationType","coordinatePrecision","geoFlag","infraspecificEpithet","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","previousCatalogNumber","sex"
"1","2021-04-05 14:33:13-03","UNESC","CRI","8171","PreservedSpecimen","Plantae","Apocynaceae","Tabernaemontana","australlis","Tabernaemontana australlis","Müll.Arg.","A. Stival-Santos","2009","01","20","A. Stival-Santos; S. Silveira","412","2009","01","29","Brasil","Santa Catarina","Palmitos","Linha Snata Catarina.","-53.158889","-27.071667","53º9'32''W","27º4'18''S","410","410","CRI000492","CRI000492",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:50-03","UNESC","CRI","8398","PreservedSpecimen","Plantae","Apocynaceae","Tabernaemontana","catharinensis","Tabernaemontana catharinensis","A.DC.","Vanilde Citadini- Zanette",NA,NA,NA,"Mainara F. Cascaes",NA,"2007","10","26","Brasil","Santa Catarina","Maracajá","Parque Ecológico de Maracajá.","-49.453056","-28.847222","49º27'11''W","28º50'50''S","30","30","CRI000497","CRI000497",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:13-03","UNESC","CRI","3658","PreservedSpecimen","Plantae","Apocynaceae","Tabernaemontana","catharinensis","Tabernaemontana catharinensis","A.DC.","J. Larocca","1993","10","31","R. Záchia","1523","1993","10","31","Brasil","Rio Grande do Sul","Santiago","Estra para Barragem de Itu.","-54.884167","-29.183611","54º53'3''W","29º11'1''S",NA,NA,"CRI000480","CRI000480","Habitat: mata Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:24:50-03","UNESC","CRI","12287","PreservedSpecimen","Plantae","Apocynaceae","Tabernaemontana","catharinensis","Tabernaemontana catharinensis","A.DC.","Alexandre Medeiros","2017","04","22","Alexandre Medeiros","157","2017","04","22","Brasil","Santa Catarina","Balneário Camboriú","Praia do Estaleiro","-48.585","-27.023333","48º35'6''W","27º1'24''S",NA,NA,"CRI010471","CRI010471",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:24:50-03","UNESC","CRI","13258","PreservedSpecimen","Plantae","Apocynaceae","Tabernaemontana","catharinensis","Tabernaemontana catharinensis","A.DC.","Kassner-Filho, A.","2017","09","26","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","1086","2017","09","26","Brasil","Santa Catarina","São Bonifácio",NA,"-48.960833","-28.080556","48º57'39''W","28º4'50''S","332","332","CRI011802",NA,"flor branca Habitat: interior do fragmento Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:24:50-03","UNESC","CRI","15212","PreservedSpecimen","Plantae","Apocynaceae","Tabernaemontana","catharinensis","Tabernaemontana catharinensis","A.DC.","Aline Votri Guislon & Felipe Seron","2018","09","19","Aline V. Guislon; Amanda Matiola; Josue C. Nicolau & Felipe Seron",NA,"2018","09","19","Brasil","Santa Catarina","Criciúma","APA Morro Albino e Esteves Área L5 Bairro Dagostim","-49.35","-28.749444","49º21'0''W","28º44'58''S","170","170","CRI014627","CRI014627","Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:24:50-03","UNESC","CRI","11002","PreservedSpecimen","Plantae","Apocynaceae","Tabernaemontana","catharinensis","Tabernaemontana catharinensis","A.DC.",NA,NA,NA,NA,"Humberto de Bona Martins; Peterson T. Padilha",NA,"2014","10","01","Brasil",NA,"Brasil",NA,"-49.210278","-28.651389","49º12'37''W","28º39'5''S","64","64","CRI000496","CRI000496",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:24:50-03","UNESC","CRI","3878","PreservedSpecimen","Plantae","Apocynaceae","Tabernaemontana","catharinensis","Tabernaemontana catharinensis","A.DC.","J. A. Jarenkow","1988","10","30","J. A. Jarenkow","950","1988","10","10","Brasil","Rio Grande do Sul","Marcelino Ramos",NA,"-51.906667","-27.462222","51º54'24''W","27º27'44''S",NA,NA,"CRI000477","CRI000477","Habitat: borda de mata Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:13-03","UNESC","CRI","11473","PreservedSpecimen","Plantae","Apocynaceae","Tabernaemontana","catharinensis","Tabernaemontana catharinensis","A.DC.","J. L. Schimitt","2010","11","05","J.L. Schmitt; E. Caglioni","3036","2010","10","11","Brasil","Santa Catarina","Vitor Meireles","Pratinha.","-49.859167","-26.729444","49º51'33''W","26º43'46''S","590","590","CRI000495","CRI000495","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:13-03","UNESC","CRI","15302","PreservedSpecimen","Plantae","Apocynaceae","Tabernaemontana","catharinensis","Tabernaemontana catharinensis","A.DC.","João Paulo Gava Just","2020","01","06","João Paulo Gava Just",NA,"2020","01","06","Brasil","Santa Catarina","Nova Veneza","Centro da cidade.","-49.497778","-28.633611","49º29'52''W","28º38'1''S","89","89","CRI014719",NA,"Fruto verde. Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
