"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","yearIdentified","monthIdentified","dayIdentified","typeStatus","imagecode"
"1","2021-03-15 16:37:00-03","NY","NYBG","865388","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Naucleopsis","jamariensis","Naucleopsis jamariensis","C.C.Berg","C. C. Berg","C. A. Sothers","66","1991","11","29","South America","Brazil","Acre","Bujari","Floresta Estadual do Antimary, near Colocaçao Apuí.","-67.9519","-9.8308","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=726754' target='other'> <mi>dwc_moreinfo</mi></a>","NY00865388",NA,NA,NA,NA,NA
"2","2021-02-23 13:22:50-03","MN","R-TIPOS","58455","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Naucleopsis","jamariensis","Naucleopsis jamariensis","C.C. Berg","Berg, C.C","Kuhlmann, J.G.","1959","1919","02",NA,NA,"Brasil","Mato Grosso","Papagaios","Rio Jamari",NA,NA,NA,NA,"R000058455","1973","08","15","Isotypus","R000058455_001"
