"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","individualCount","class","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00861650","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Axonopus","complanatus","Axonopus complanatus","(Nees) Dedecca","J. R. Swallen","G. Eiten","3593","1962","03","13","South America","Brazil","Maranhão","Balsas","Northern edge of city of Balsas","-46.03","-7.53","245","245","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936050' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00861625","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Axonopus","complanatus","Axonopus complanatus","(Nees) Dedecca","J. R. Swallen","G. Eiten","3621","1962","03","15","South America","Brazil","Maranhão","Balsas","Village of Taquara, about 5 km NW of Balsas","-46.05","-7.48","250","250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936041' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00861649","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Axonopus","complanatus","Axonopus complanatus","(Nees) Dedecca","J. R. Swallen","G. Eiten","3578","1962","03","11","South America","Brazil","Maranhão","Carolina","At airport of city of Carolina.","-47.47","-7.3","170","170","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936044' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861649",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00861624","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Axonopus","complanatus","Axonopus complanatus","(Nees) Dedecca",NA,"J. R. Swallen","3912","1934","03","18","South America","Brazil","Maranhão","Carolina",NA,"-47.46734","-7.3329",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936031' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861624","NY00861624_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 09:54:00-03","NY","NYBG","628873","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Axonopus","complanatus","Axonopus complanatus",NA,NA,"J. R. Swallen","4814","1934","06","03","South America","Brazil","Rio Grande do Norte",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=259692' target='other'> <mi>dwc_moreinfo</mi></a>","NY00628873","NY00628873_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 09:54:00-03","NY","NYBG","629834","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Axonopus","complanatus","Axonopus complanatus",NA,NA,"H. H. Smith","2164","1898",NA,NA,"South America","Colombia",NA,NA,"Santa Marta",NA,NA,NA,NA,"sheet","I have only 3 or 4 specimens, without other note <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=259693' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629834",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 09:54:00-03","NY","NYBG","629835","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Axonopus","complanatus","Axonopus complanatus",NA,"G. Davidse","T. C. Plowman","9312","1980","02","29","South America","Brazil","Maranhão","Imperatriz","Bananal, 15 km S of Imperatriz along Belém-Brasília highway (BR 010)","-47.43","-5.67","290","290","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=259691' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:53:03-03","EAO","IAN","116448","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Axonopus","complanatus","Axonopus complanatus","(Nees) Dedecca",NA,"Swallen, JR","4163","1954","04","01","Southern America","Brasil","Piauí",NA,"Floriano to Oeiras. Wet swampy places.",NA,NA,NA,NA,NA,NA,"IAN116448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:53:03-03","EAO","IAN","116450","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Axonopus","complanatus","Axonopus complanatus","(Nees) Dedecca",NA,"Swallen, JR","4505","1934","05","09","Southern America","Brasil","Ceará",NA,"Cratheús. Moist open banks.",NA,NA,NA,NA,NA,NA,"IAN116450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:53:03-03","EAO","IAN","116453","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Axonopus","complanatus","Axonopus complanatus","(Nees) Dedecca",NA,"Swallen, JR","4550","1934","05","12","Southern America","Brasil","Ceará","Campo Grande","Crevices of rocks.",NA,NA,NA,NA,NA,NA,"IAN116453",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
