"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","typeStatus","dayIdentified","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01112548","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins","A. K. A. dos Santos","A. K. A. dos Santos","443","2005","08","16","South America","Brazil","Bahia","Mucugê","Trilha para a mata do medonho.","-41.37","-13.03","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1254942' target='other'> <mi>dwc_moreinfo</mi></a>","NY01112548","NY01112548_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","477791","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins","J. J. Wurdack","G. G. Hatschbach","47927","1984","06","15","South America","Brazil","Bahia","Mucugê","Rio Paraguaçu","-41.3706","-13.0056",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=559829' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477791","NY00477791_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1040501","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins","M. L. S. Guedes","N. Roque","1103",NA,NA,NA,"South America","Brazil","Bahia","Morro do Chapéu","Chapada Diamantina","-41.0014","-11.62",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1506907' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040501","NY01040501_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","477792","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins","K. F. Rodrigues","R. M. Harley","22481","1980","05","24","South America","Brazil","Bahia","Palmeiras","Serras dos Lençois. Middle and upper slopes of Pai Inácio ca. 15 km NW of Lençois, just N of the main Seabra-Itabera road","-41.47","-12.45","900","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=573780' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477792","NY00477792_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","477793","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins","K. F. Rodrigues","R. M. Harley","22663","1980","05","27","South America","Brazil","Bahia",NA,"Serras dos Lençois. About 7-10 km along the main Seabra-Itaberaba road W of the Lençois turning, by the Rio Mucugézinho","-41.43","-12.47","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=573781' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477793","NY00477793_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:20:01-03","UFBA","ALCB","041472","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins","Rodrigues, KF","Hind, DJN; Bautista, HP; Smith, S","PCD&nf;3615","1996","07","14","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Estrada Igatu-Mucugê, a 3km de Igatu","-42.133333","-12.883333","960","960",NA,"1,0 m. Folhas membranáceas, concolores, face adaxial com nervuras impressas e abaxial com nervuras proeminentes avermelhadas, pecíolo vermelho. Flores de cálice verde, pétalas laranjas com base amarela; filetes, anteras, estilete e es","ALCB061293",NA,"2011","01","-42.133333","-12.883333",NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:20:01-03","UFBA","ALCB","036945","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins","Rodrigues, KF","Carvalho, AM de; Amorim, AMA; Sant'Ana, SC de; Jardim, JG; Souza, GR; Cruz, NB","PCD1063","1994","10","27","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina, Serra da Chapadinha","-41.433333","-12.45","910","910",NA,"rupícola, crescendo à sombra nas fendas da formação rochosa. Folhas com manchas vinosas. Flores com pétalas alaranjadas e estames amarelos. Frutos imaturos verdes e maduros vinosos. Raro.; Campo rupeste com predominância de gramíneas.","ALCB061292",NA,"2011","01","-41.433333","-12.45",NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:20:01-03","UFBA","ALCB","109929","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins","Guedes, ML","Guedes, ML; Alunos de Botânica III","20887","2013","07","27","Southern America","Brasil","Bahia","Mucugê","Mucugê caminho para Igatu.","-41.366667","-13",NA,NA,NA,"de ca 80cm de altura. Folhas cartáceas, pilosas, com face adaxial bulada. Inflorescência terminal, com brácteas foliáceas, flores com pétalas vermelhas e base amarela; estames com anteras amarelo-ouro. Fruto cápsula.","ALCB061294",NA,"2013","08","-41.366667","-13",NA,NA,NA,NA,NA,NA,NA
"9","2020-08-11 00:16:16-03","UFBA","ALCB","19092","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins","Guedes, ML","Brito, Y; Souza, Padre JP de","s/n","1975","07","27","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina","-41","-11.666667",NA,NA,NA,NA,NA,NA,NA,NA,"-41","-11.666667",NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:20:01-03","UFBA","ALCB","61440","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins","Guedes, ML","Guedes, ML; Loureiro, DM; et al.","10022","2002","09","06","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Cachoeira do Ferro Doido","-41.15","-11.55",NA,NA,NA,"de ca. 1,30 m. Folhas membranáceas pubescentes. Flores de pétalas liláses. Fruto cápsula.","ALCB062112",NA,"2003","06","-41.15","-11.55",NA,NA,NA,NA,NA,NA,NA
