"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","class","minimumElevationInMeters","maximumElevationInMeters","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","386184","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Tacinga","funalis","Tacinga funalis","Britton & Rose","type","J. N. Rose","19723","1915","06","02","South America","Brazil","Bahia","Vicinity of Joazeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=324284' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386184","NY00386184_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","386185","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Tacinga","funalis","Tacinga funalis","Britton & Rose","isotype","J. N. Rose","19723","1915","06","02","South America","Brazil","Bahia","Vicinity of Joazeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=324285' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386185","NY00386185_01 NY00386185_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","386186","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Tacinga","funalis","Tacinga funalis","Britton & Rose","isotype","J. N. Rose","19723","1915","06","02","South America","Brazil","Bahia","Vicinity of Joazeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=324286' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386186","NY00386186_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","645818","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Tacinga","funalis","Tacinga funalis","Britton & Rose",NA,"J. N. Rose","19792","1915","06",NA,"South America","Brazil","Bahia","Barrinha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=324288' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645818","NY00645818_01 NY00645818_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","645822","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Tacinga","funalis","Tacinga funalis","Britton & Rose",NA,"J. N. Rose","19919","1915","06","19","South America","Brazil","Bahia","Vicinity of Machado Portello, Bahia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=324292' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645822","NY00645822_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1065931","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Tacinga","funalis","Tacinga funalis","Britton & Rose",NA,"J. N. Rose","s.n.","1915",NA,NA,"South America","Brazil","Bahia","Barrhina.","photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1256493' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065931",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","645819","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Tacinga","funalis","Tacinga funalis","Britton & Rose",NA,"L. Zehntner","306",NA,NA,NA,"South America","Brazil","Bahia","Villa Nova","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=324289' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645819","NY00645819_01 NY00645819_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","645820","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Tacinga","funalis","Tacinga funalis","Britton & Rose",NA,"L. Zehntner","306",NA,NA,NA,"South America","Brazil","Bahia","Villa Nova","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=324290' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645820","NY00645820_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","468173","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Tacinga","funalis","Tacinga funalis","Britton & Rose",NA,"J. N. Rose","19792","1915","06",NA,"South America","Brazil","Bahia","Barrhina [=Barrinha]","fluid-preserved","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=324287' target='other'> <mi>dwc_moreinfo</mi></a>","NY00468173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","645821","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Tacinga","funalis","Tacinga funalis","Britton & Rose",NA,"L. Zehntner","s.n.","1917",NA,NA,"South America","Brazil",NA,"Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=324291' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645821","NY00645821_01 NY00645821_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
