"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","559047","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","diaphanoides","Peperomia diaphanoides","Dahlst.","P. K. H. Dusén","3019","1903","12","22","South America","Brazil","Paraná","Paranaguá","Fortaleza","-48.5092","-25.5203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=626661' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559047","NY00559047_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","559046","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","diaphanoides","Peperomia diaphanoides","Dahlst.","P. K. H. Dusén","761","1902","07","18","South America","Brazil","Rio de Janeiro",NA,"Serra do Itatiaia, Mont Serrat",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=626660' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559046","NY00559046_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","559048","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","diaphanoides","Peperomia diaphanoides","Dahlst.","G. G. Hatschbach","8266","1961","08","06","South America","Brazil","Paraná","Campina Grande do Sul","Jaguatirica","-49.0553","-25.3058","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=626662' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559048","NY00559048_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00956913","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","diaphanoides","Peperomia diaphanoides","Dahlst.","A. C. Brade","18932","1949","05","03","South America","Brazil","Minas Gerais","Passa Quatro","Estação Experimental da Mantiqueira - Passa Quatro","-44.9667","-22.3906","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1083000' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956913","NY00956913_01","T. G. Yuncker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00559050","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","diaphanoides","Peperomia diaphanoides","Dahlst.","H. S. Irwin","20863","1968","02","25","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço; at Lapinha, ca. 21 km N of Serro on road (MG 2) to Diamantina",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=626658' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559050","NY00559050_01","R. Callejas Posada","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00956912","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","diaphanoides","Peperomia diaphanoides","Dahlst.","W. R. Anderson","35974","1972","02","14","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 5 km SSE of Pico do Itambé","-43.3919444","-18.43185","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1082995' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956912","NY00956912_01","R. Callejas Posada","1140","1140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","559049","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","diaphanoides","Peperomia diaphanoides","Dahlst.","G. G. Hatschbach","43965","1981","08","26","South America","Brazil","Paraná","Antonina","Rio Lagoa Vermelha","-48.7117","-25.4286","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=626659' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559049","NY00559049_01","R. Callejas Posada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:26:06-03","PUCPR","HUCP","20369","S","Plantae","Magnoliidae",NA,"Piperaceae","Peperomia","diaphanoides","Peperomia diaphanoides","Miq.","Michelon, C; Selusniaki, M; Kersten, RA","1363","2009","07","08",NA,"Brasil","Paraná","Araucária","Parque Estadual José Wachwicz","-49.4103012084961","-25.5930995941162",NA,NA,"HUCP00016473","HUCP00016473","Machado-Silva",NA,NA,"2017","09","05","21346","auto",NA,NA,NA,NA,NA
"9","2019-12-04 15:26:06-03","PUCPR","HUCP","17747","S","Plantae","Magnoliidae",NA,"Piperaceae","Peperomia","diaphanoides","Peperomia diaphanoides","Miq.","Kersten, RA","1160","2006","01","14",NA,"Brasil","Paraná","Contenda",NA,"-49.5346984863281","-25.6756000518799",NA,NA,"HUCP00016384","HUCP00016384","Machado-Silva",NA,NA,"2017","09","05","22732","auto",NA,NA,NA,NA,NA
"10","2019-12-04 15:26:06-03","PUCPR","HUCP","21675","S","Plantae","Magnoliidae",NA,"Piperaceae","Peperomia","diaphanoides","Peperomia diaphanoides","Miq.","Bianchi, J; Kersten, RA","050","2009","03","12",NA,"Brasil","Paraná","Piraquara",NA,"-49.0633010864258","-25.4416999816895",NA,NA,"HUCP00016476","HUCP00016476","Machado-Silva",NA,NA,"2017","09","05","12577","auto",NA,NA,NA,NA,NA
