"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","county","coordinatePrecision","geoFlag","class","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","infraspecificEpithet","typeStatus","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","616205","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","E. F. Guimarães; C. L. F. Ichaso","B. D. Sucre","6000","1969","09","30","South America","Brazil","Rio de Janeiro","Restinga de Jacarepaguá - restinga arbustiva situada no trecho de estrada BR6-Jacarepaguá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511814' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616205","NY00616205_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","616204","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","D. Flores","D. Flores","157","1988","09","08","South America","Brazil","Rio de Janeiro","Alto da Boa Vista, Morro Queimado","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511816' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616204","NY00616204_01","-43.257781","-22.96306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1280637","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.",NA,"R. D. Ribeiro","1312","2009","10","16","South America","Brazil","Rio de Janeiro","Região do belvedere, Pedra Branca.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1615732' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280637","NY01280637_01","-43.1786","-22.505","Petrópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","616206","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","G. M. Barroso","B. D. Sucre","4138","1968","02","23","South America","Brazil","Rio de Janeiro","Petrópolis; Araros","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511815' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616206","NY00616206_01","-43.1783","-22.505","Petrópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02703759","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.",NA,"J. Braga","3781","1996","01","13","South America","Brazil","Rio de Janeiro","Parque Nacional de Itatiaia. Ponte do Maromba, próximo margem do rio Campo Belo.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2987965' target='other'> <mi>dwc_moreinfo</mi></a>","NY02703759","NY02703759_01","-44.566667","-22.25","Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:31:40-03","UFRJ","RFA","5926","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","D. Legrand","E. Pereira","4274","1959","01","29",NA,"Brasil","Rio de Janeiro","Mesa do Imperador",NA,"Arbusto, flor alva","RFA46896",NA,"-43.2075004577637","-22.9027996063232","Rio de Janeiro","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:07:11-03","NBC","NL-BOTANY","L.1134992","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrcia","paniculata","Myrcia paniculata","(Jacq.) Krug & Urb.",NA,"Dusén PKH",NA,NA,NA,NA,"Southern America","Brazil","Paraná",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1134992 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1134992","NL-L1134992",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:14:56-03","ESALQ","ESA","53681","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","Lima, D.F.","Lucas, E.J. et al.","681.0","2006","11","24",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA053681",NA,"-42.0297012329102","-20.8083000183105","Faria Lemos","14353","auto",NA,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:14:56-03","ESALQ","ESA","118662","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","Lima, D.F.","Costa, R.A.","45.0","2007","07","01",NA,"Brasil","São Paulo",NA,NA,NA,"ESA118662",NA,"-45.8400001525879","-23.5300006866455","Salesópolis","18032","auto",NA,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:14:56-03","ESALQ","ESA","118670","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","Lima, D.F.","Toledo, C.B.","61.0",NA,NA,NA,NA,"Brasil","São Paulo","Estação Biológica de Boracéia",NA,"XLS: SPSFAntigo;","ESA118670",NA,NA,NA,"Biritiba Mirim",NA,NA,NA,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
