"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","continentOcean","phylum","order","sex"
"1","2020-06-29 11:29:37-03","UFRJ","RFA","30321","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","werdermannii","Aechmea werdermannii","Harms","T. Wendt","2000","01","18","A. P. G. de Faria; T. Wendt","16","2000","01","18","Brasil","Rio de Janeiro","Rio de Janeiro","Vargem Grande, propriedade particular, planta em cultivo, proveniente do nordeste","-43.2075004577637","-22.9027996063232","57442","Terrestre. Brácteas escapais rosas. Brácteas primárias rosas. Brácteas florais rosas. Sépalas amarelas. Pétalas cor de laranja. Ovário verde","RFA51978","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:25:33-03","MN","R","225081","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","werdermannii","Aechmea werdermannii","Harms","Couto, D.R. & Uribbe, F.P.","2014","07","14","Couto, D.R. 2690; Paixão-Souza, B. & Kessous, I.M.",NA,"2014","04","10","Brasil","Pernambuco","Truinfo",NA,"-38.081389","-7.833944",NA,NA,"R010000758,R010000734",NA,"38°04'53W","07°50'02,2S","1120","1120","R010000734 R010000758",NA,NA,NA,NA,NA
"3","2016-02-02 14:37:51-02","BGBM","B","B 10 0186964","S","Plantae","Bromeliaceae","Aechmea","werdermannii","Aechmea werdermannii","Harms",NA,NA,NA,NA,"E. Werdermann","2911","1932","03",NA,"Brazil",NA,NA,"Pernambuco: Serra Negra östl. Floresta.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100186964 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100186964",NA,NA,NA,NA,NA,"B100186964 B100186964_1","holotype","Middle and South America",NA,NA,NA
"4","2019-02-15 11:35:35-02","IPA","IPA","81605","S","Plantae","Bromeliaceae","Aechmea","werdermannii","Aechmea werdermannii","Harms","Sousa, G.M.","1999","11","11","Martinelli, G.; T.Barbará, SBarreto; Azoury, R.; T.Barbará, SBarreto; Azoury, R.","15043","1998","08","08","Brasil","Pernambuco","Inajá","Reserva Biológica de Serra Negra, 900 - 1100 m.s.m.","-38.013056","-8.716667",NA,"Terrestre, ruícola, epífita, folhas verdes avermelhadas, bainha avermelhada, espinhos nigrescentes, inflorescência passada com escapo róseo avermelhado, brácteas escapais paleáceas, brácteas primárias idem, brácteas florais idem, frut","IPA0081605",NA,"-38.013056","-8.716667",NA,NA,NA,NA,"Southern America","Plantae",NA,NA
"5","2019-08-01 10:19:48-03","IPA","IPA","48606","S","Plantae","Bromeliaceae","Aechmea","werdermannii","Aechmea werdermannii","Harms","Siqueira-Filho, J.A.","2002","11","13","Lima, V.C.; Gallindo, F.; Gallindo, F.","96","1986","02","26","Brasil","Pernambuco","Triunfo","Estrada para Santa Cruz, Fazenda Bom Jesus, Lajedo granitico. Vegetação rupestre. Solo humoso.","-38.1016998291016","-7.83805990219116","14606","Erva com folhas alcançando até 70 cm de altura. Frutos verde com ápice amarelo.","IPA0048606","auto",NA,NA,NA,NA,NA,NA,"Southern America","Plantae",NA,NA
"6","2020-06-03 16:59:18-03","UFRPE","PEUFR","48155","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","werdermannii","Aechmea werdermannii","Harms","G.M. Sousa","1999","11","11","G. Martinelli; T. Barbará; S. Barreto; R. Azoury","15043","1998","08","08","Brasil","Pernambuco","Inajá","Reserva Biológica de Serra Negra","-38.013056","-8.65",NA,"Terrestre; rupícola; epífita; folhas verdes avermelhadas; bainha avermelhada; inflorescência passada com escapo róseo avermelhado; brácteas escapais paleáceas; brácteas primárias idem; frutos imaturos verdes-amarelados; caule persist","PEUFR048155",NA,"38º00'47W","08º38'60S","900","1100",NA,NA,NA,NA,NA,NA
"7","2019-11-19 14:05:21-03","UFRPE","PEUFR","25095","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","werdermannii","Aechmea werdermannii","Harms","G. Martinelli","1998","08",NA,"D.S. Pimentel; L.M. Nascimento; M.J.N. Rodal","113","1996","06","26","Brasil","Pernambuco","Floresta","Reserva Biológica de Serra Negra","-37.154167","-8.625",NA,"Erva com cerca de 1,20 m; pendão floral com 1,31 m; frutos imaturos verde cana e maduro amarelo; haste majenta; brácteas beges","PEUFR025095",NA,"37°09'15''W","08°37'30''S","1100","1100",NA,NA,NA,NA,NA,NA
"8","2019-11-19 14:05:21-03","UFRPE","PEUFR","19398","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","werdermannii","Aechmea werdermannii","Harms","J. Martinelii","1998","08",NA,"G.M. Sousa; A. Laurênio; A.P.S. Gomes; M. Oliveira","69","1995","03","08","Brasil","Pernambuco","Floresta","Inajá; Reserva Ecológica de Serra Negra","-38.5685997009277","-8.60111045837402","87756","Herbácea; escapo floral com cerca de 1,5 m; brácteas avermelhadas; inflorescência com flores alaranjadas; sépalas amarelo-esverdeadas; hipanto esverdeado e brácteas florais bem menor que as sépalas; folhas arroxeadas 1/3 da base","PEUFR019398","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-04-22 16:25:58-03","UFPB","JPB","41533","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","werdermannii","Aechmea werdermannii","Harms","Pontes, RA","2009","08","05","Pontes, RA","430","2007","11","13","Brasil","Paraíba","Natuba","Distrito de Pirauá, Divisa da Paraíba com o município de Macaparana (PE).","-35.549722","-7.641667",NA,"; DESC: Rupícola em pleno sol, juntamento com outras bromélias heliófitas. Espécies na lista de plantas ameçadas de extinção.",NA,NA,"-35.549722","-7.641667","331","331",NA,NA,"Southern America","Angiosperma","Monocotyledon",NA
"10","2020-04-22 16:25:58-03","UFPB","JPB","43936","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","werdermannii","Aechmea werdermannii","Harms","Pontes, RA","2010","10","06","Pontes, RA; Diniz, CES","577","2010","09","30","Brasil","Paraíba","Natuba","Distrito de Pirauá., Sítio Pau D'árco. Lajedo dos Zacarias.","-35.496667","-7.479444",NA,NA,NA,NA,"-35.496667","-7.479444","643","643",NA,NA,"Southern America","Angiosperma","Monocotyledon",NA
