"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","stateProvince","phylum","order","scientificNameAuthorship","imagecode","infraspecificEpithet","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2020-09-23 10:39:03-03","E","E","319770","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","widgrenianus","Syngonanthus widgrenianus","syntype","Gardner, George","2957","E. Tropical South America","BR","District of Rio Preto, Province of Pernambuco","herbarium specimen of unspecif","BGBASE:323336","<a href=http://data.rbge.org.uk/herb/E00319770 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00319770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:03-03","E","E","319768","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","widgrenianus","Syngonanthus widgrenianus","syntype","Gardner, George","2957","E. Tropical South America","BR","Piauhy, Goyaz","herbarium specimen of unspecif","BGBASE:323330","<a href=http://data.rbge.org.uk/herb/E00319768 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00319768","1905","01","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:03-03","E","E","319771","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","widgrenianus","Syngonanthus widgrenianus","syntype","Gardner, George","5274","E. Tropical South America","BR","Minas Geraes","herbarium specimen of unspecif","BGBASE:323337","<a href=http://data.rbge.org.uk/herb/E00319771 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00319771","1905","01","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:39:03-03","E","E","319769","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","widgrenianus","Syngonanthus widgrenianus","syntype","Gardner, George","2957","E. Tropical South America","BR","Piauhy","herbarium specimen of unspecif","BGBASE:323335","<a href=http://data.rbge.org.uk/herb/E00319769 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00319769","1905","01","12","Piauí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00102990","PreservedSpecimen","Plantae","Eriocaulaceae","Paepalanthus","widgrenianus","Paepalanthus widgrenianus","syntype","G. Gardner","5274","South America","Brazil","Brasilia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=507682' target='other'> <mi>dwc_moreinfo</mi></a>","NY00102990","1836",NA,NA,NA,"Magnoliophyta","Poales","Körn.","NY00102990_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00102991","PreservedSpecimen","Plantae","Eriocaulaceae","Paepalanthus","widgrenianus","Paepalanthus widgrenianus","syntype","G. Gardner","2957","South America","Brazil","Brasilia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=507683' target='other'> <mi>dwc_moreinfo</mi></a>","NY00102991","1836",NA,NA,NA,"Magnoliophyta","Poales","Körn.","NY00102991_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00103711","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","widgrenianus","Syngonanthus widgrenianus puberulifolius","syntype","L. Riedel","1477","South America","Brazil","Circa Taubaté","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=580058' target='other'> <mi>dwc_moreinfo</mi></a>","NY00103711","1859",NA,NA,"São Paulo","Magnoliophyta","Poales","Ruhland","NY00103711_01","puberulifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00898468","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","widgrenianus","Syngonanthus widgrenianus",NA,"A. Macedo","2751","South America","Brazil","Lavras Novas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970588' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898468","1950","12","27","Minas Gerais","Magnoliophyta","Poales","(Körn.) Ruhland","NY00898468_01",NA,"H. N. Moldenke","Ouro Preto","-43.5081","-20.2878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01198591","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","widgrenianus","Syngonanthus widgrenianus",NA,"A. M. Amorim","571","South America","Brazil","Estrada para Brasília BR 242. Estrada no km 70 a partir da sede do município, ca. 23 km em direçao a cooperativa de Cotia; cachoeira do Acaba Vida no Rio de Janeiro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1417258' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198591","1992","06","12","Bahia","Magnoliophyta","Poales","(Körn.) Ruhland","NY01198591_01",NA,"N. Hendsold","Barreiras","-44.99","-12.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00898469","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","widgrenianus","Syngonanthus widgrenianus",NA,"L. O. Williams","7248","South America","Brazil","Vargem de Ouro Podre, Serra da Mutuca.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970589' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898469","1945","06","03","Minas Gerais","Magnoliophyta","Poales","(Körn.) Ruhland","NY00898469_01",NA,NA,"Nova Lima","-43.8467","-19.9858","1200","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
