"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","02099181","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis","Mart.","L. Biral","W. W. Thomas","12176","2000","09","28","South America","Brazil","Bahia","Uruçuca","Parque Estadual Serra do Condurú, trail to summit of Serra do Condurú.","-39.1057333","-14.48005","210","210","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=644790' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099181","NY02099181_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2447087","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis","Mart.","L. Biral","L. A. Mattos Silva","3671","1997","12","11","South America","Brazil","Bahia","Una","Fazenda São Rafael (antiga Fazenda Dendhevea). Coletas na mata Os Gonçalves.","-39.2481074","-15.2189248",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=644817' target='other'> <mi>dwc_moreinfo</mi></a>","NY02447087","NY02447087_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1031136","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis","Mart.","L. Biral","J. R. Pirani","2847","1993","05","14","South America","Brazil","Rio de Janeiro","Campos","Serra do Imbe, morros perto do Pico São Mateus; ao lado da Cachoeira do Tombo d'Água acima do corrego Mocotó.",NA,NA,"400","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1143178' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031136","NY01031136_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02282345","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis","Mart.","L. Biral","S. A. Mori","12707","1979","08","14","South America","Brazil","Bahia","Santa Cruz Cabrália","Antiga Rodovia que liga a Estação Ecológica Pau-brasil a Sta. Cruz, 7 km ao NE da estação. Ca. 12 km ao NNW de Porto Seguro","-39.13","-16.38","80","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=644810' target='other'> <mi>dwc_moreinfo</mi></a>","NY02282345","NY02282345_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","470130","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis","Mart.","R. M. de Carvalho-Okano","Martii Herbar. Florae Brasil.","627","1834",NA,NA,"South America","Brazil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075","-22.9031",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=383722' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470130","NY00470130_01","lectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1031112","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis","Mart.","L. Biral","L. A. Mattos Silva","3105","1995","04","07","South America","Brazil","Bahia","Una","Serra do Javí. Ramal com entrada no Km 9 da Rodovia São José do Paraíso/Una. Mata nebulosa a 2-3 mk da entrada.","-39.0753","-15.2933","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1143077' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031112","NY01031112_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1262286","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis","Mart.","L. Biral","J. G. Jardim","4484","2005","02","24","South America","Brazil","Bahia","Jussari","Reserva Particular do Patrimônio Natural Serra do Teimoso, Rod. Jussari/Palmira, entrada ca. 7 km da cidade Faz. Teimoso.","-39.5361","-15.1603","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1532559' target='other'> <mi>dwc_moreinfo</mi></a>","NY01262286","NY01262286_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02636607","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis","Mart.","L. Biral","P. Fiaschi","1805","2003","11","02","South America","Brazil","Bahia","Barro Preto","Serra da Pedra Lascada. 13.7 km de Barro Preto, na estrada que passa pela Fazenda São Miguel e sobe até o acesso à serra. Caminhada ao topo da serra","-39.5361","-14.7703",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2475242' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636607","NY02636607_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02098641","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis","Mart.","L. Biral","W. W. Thomas","11362","1996","11","21","South America","Brazil","Bahia","Santa Luzia","Serra da Onca, 10.8 km. NE of Santa Luzia (30 km. SW of Una) on Una-Santa Luzia Road, then 4.2 km. N on road to Serra da Onca.","-39.5","-15.33",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530708' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098641","NY02098641_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00896136","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis","Mart.","L. Biral","M. M. M. Lopes","557","2006","02","15","South America","Brazil","Bahia","Arataca","Serra do Peito de Moça - Serra das Lontras. Estrada Arataca - Una, ramal 22,4 km de Arataca, assentamento Sto. Antônio RPPN Caminho das Pedras","-39.3417","-15.1736","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969812' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896136","NY00896136_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
