"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","individualCount","class","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","971439","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Asclepias","aequicornu","Asclepias aequicornu","E.Fourn.","J. H. Snuverink","H. S. Irwin","6814","1964","10","12","South America","Brazil","Mato Grosso","Ca. 90 km. N. of Xavantina.","-52.4","-13.83","300","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084290' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971439","NY00971439_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-18 09:28:39-03","UNESP-IBB","BOTU","3908","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Asclepias","aequicornu","Asclepias aequicornu","E.Fourn.","Pereira, F.C.","Filho, F.M.C.","15-D","1974","10","26",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"BOTU003908",NA,"1974","03","31","Botucatu","9999","9999",NA,NA,NA,NA,NA,NA
"3","2020-11-04 10:59:41-03","ESALQ","ESA","46710","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Apocynaceae","Asclepias","aequicornu","Asclepias aequicornu",NA,"V. C. Souza","Souza, V.C. et al.","20733.0","1997","10","11",NA,"Brasil","Mato Grosso",NA,"-56.4275016784668","-14.8360996246338",NA,NA,NA,NA,"ESA046710","ESA046710","1997",NA,NA,"Rosário Oeste",NA,NA,"187324","auto",NA,NA,NA,NA
"4","2020-11-04 10:59:41-03","ESALQ","ESA","20990","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Apocynaceae","Asclepias","aequicornu","Asclepias aequicornu",NA,NA,"Souza, V.C. et al.","7166.0","1994","11","13",NA,"Brasil","São Paulo",NA,"-49.1399993896484","-24.3099994659424",NA,NA,NA,NA,"ESA020990","ESA020990",NA,NA,NA,"Bom Sucesso de Itararé",NA,NA,"14955","auto",NA,NA,NA,NA
"5","2021-01-15 14:41:35-03","MN","R","101687","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Asclepias","aequicornu","Asclepias aequicornu","E. Fourn.","Bollwinkel, C.W.","Vidal, J.","III - 249","1949","12",NA,NA,"Brasil","São Paulo",NA,"-48.4099998474121","-23.4899997711182",NA,NA,NA,NA,NA,NA,"1969","04","01","Angatuba",NA,NA,"29114","auto",NA,NA,NA,NA
"6","2021-01-14 15:20:19-03","MN","R","188660","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Asclepias","aequicornu","Asclepias aequicornu","E. Fourn.","Bollwinkel, C.W.","Löfgren, J.A.C.","247","1887","11","22",NA,"Brasil","São Paulo",NA,"-47.4500007629395","-23.5",NA,NA,NA,NA,NA,NA,"1969","04","01","Sorocaba",NA,NA,"17154","auto",NA,NA,NA,NA
"7","2020-12-21 16:12:19-03","MBM","MBM","16210","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Asclepias","aequicornu","Asclepias aequicornu","Fourn.","Bollwinkel, C.W.","Hatschbach, G.; Guimarães, O.; Guimarães, O.","25507","1970","11","18","Southern America","Brazil","Paraná","Sertão de Cima","-49.7057991027832","-24.2511005401611",NA,NA,NA,NA,"MBM016210","MBM016210",NA,NA,NA,"Jaguariaíva",NA,NA,"44368","auto",NA,NA,NA,NA
"8","2020-12-21 16:12:19-03","MBM","MBM","44554","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Asclepias","aequicornu","Asclepias aequicornu","Fourn.","Fontella, J.","Hatschbach, G.","1038","1948","10","17","Southern America","Brazil","Paraná","Serrinha","-49.7158012390137","-25.7696990966797",NA,NA,NA,NA,"MBM044554","MBM044554",NA,NA,NA,"Lapa",NA,NA,"49965","auto",NA,NA,NA,NA
"9","2009-12-04 16:52:00-02","MO","MOBOT","2457478","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Asclepias","aequicornu","Asclepias aequicornu","E. Fourn.",NA,"Gert G. Hatschbach|O. V. Guimarães","Hatschbach 25507","1970","11","18","South America","Brazil","Paraná","Jaguariaiva. Sertão de Cima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2011-12-08 05:05:00-02","MO","MOBOT","1060802","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Asclepias","aequicornu","Asclepias aequicornu","E. Fourn.","S.P. Lynch","Robert R. Brooks|et al.","Brooks MS382","1996","2","6","South America","Brazil","Rio Grande do Sul","Fazenda Cerro Branco - Cerro Mantiquera, Lavras do Sul. Serpentine with chromite and amphibolite. National Geographic Mercosur Botanical Expedition - Jan./Feb. 1996","-53.96666","-30.75","400.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","2",NA,NA
