"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","class","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","688091","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Svitramia","minor","Svitramia minor","R.Romero & A.B.Martins","isotype","J. N. Nakajima","2130","1996","11","21","South America","Brazil","Minas Gerais","Sao Roque de Minas","Morro após o córrego dos Passageiros, Parque Nacional da Serra da Canastra.","-46.3656","-20.2456","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=845209' target='other'> <mi>dwc_moreinfo</mi></a>","NY00688091","NY00688091_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00941522","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Svitramia","minor","Svitramia minor","R.Romero & A.B.Martins",NA,"J. N. Nakajima","2217","1997","02","22","South America","Brazil","Minas Gerais","São Roque de Minas","Garagem de Pedras, Parque Nacional da Serra da Canastra.","-46.3656","-20.2456","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016228' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941522","NY00941522_01","R. Romero; A. B. Martins",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00941521","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Svitramia","minor","Svitramia minor","R.Romero & A.B.Martins",NA,"J. N. Nakajima","1580","1995","11","23","South America","Brazil","Minas Gerais","São Roque de Minas","Estrada da Serra Brava.","-46.3656","-20.2456","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016224' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941521","NY00941521_01","R. Romero; A. B. Martins",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:35:05-03","UNICAMP","UEC","133681","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Svitramia","minor","Svitramia minor","Romero & A.B.Martins",NA,"Nakajima, JN; Roque, N; Farinaccio, MA; Romero, R","2964","1997","10","17",NA,"Brazil","Minas Gerais","São Roque de Minas","Chapadão do Diamante, Parque Nacional da Serra da Canastra","-46.3657989501953","-20.2453002929688",NA,"Arbusto ca. 1,5m. Corola arroxeada. Estames cremes (material testemunho para estudos citogenéticos); Campo rupestre",NA,NA,"Martins, AB; Romero, R","2003","01","57119","auto",NA,NA,NA,NA
"5","2021-03-01 16:35:05-03","UNICAMP","UEC","133682","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Svitramia","minor","Svitramia minor","Romero & A.B.Martins",NA,"Nakajima, JN; Furlan, A; Farinaccio, MA; Romero, R","2217","1997","02","22",NA,"Brazil","Minas Gerais","São Roque de Minas","Serra da Canastra, Garagem de Pedras, Parque Nacional da Serra da Canastra","-46.3657989501953","-20.2453002929688",NA,"Subarbusto ca 1,6m. Corola arroxeada. Estames amarelados.; Campo rupestre",NA,NA,"Martins, AB; Romero, R","2003","01","57119","auto",NA,NA,NA,NA
"6","2021-03-01 16:35:05-03","UNICAMP","UEC","133685","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Svitramia","minor","Svitramia minor","Romero & A.B.Martins",NA,"Nakajima, JN; Romero, R","2130","1996","11","21",NA,"Brazil","Minas Gerais","São Roque de Minas","Serra da Canastra, Morro após o córrego dos Passageiros, Parque Nacional da Serra da Canastra","-46.3657989501953","-20.2453002929688",NA,"Subarbusto, ca 0,5m. Corola arroxeada. Anteras creme. Filetes arroxeados. Frquente no local.; Campo rupestre",NA,NA,"Martins, AB; Romero, R","2003","01","57119","auto",NA,NA,NA,NA
"7","2015-09-05 07:13:18-03","MNHN","RECOLNAT_MNHN_P","P04801160","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Svitramia","minor","Svitramia minor","R.Romero & A.B.Martins",NA,"Romero, R.",NA,"1995","11","24",NA,"Brasil","Minas Gerais","São Roque de Minas","Garagem de Pedras.","-46.3657989501953","-20.2453002929688","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04801160' target='other'> <mi>dwc_moreinfo</mi></a>","P04801160","P04801160_01",NA,NA,NA,"57119","auto","3234",NA,NA,NA
"8","2020-12-11 11:38:38-03","UFMG","BHCB","91948","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Svitramia","minor","Svitramia minor","R.Romero & A.B.Martins","Paratypus","Romero, R; Nakajima, JN; Farinaccio, MA","4903","1998","01","10","Southern America","Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Garagem das Pedras","-46.3657989501953","-20.2453002929688",NA,"V1,5m. Corola púrpura, anteras cremes, filetes róseos.; Campo rupestre.","BHCB000313","BHCB000313",NA,"2009","10","57119","auto",NA,NA,NA,NA
"9","2020-12-11 11:38:38-03","UFMG","BHCB","91949","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Svitramia","minor","Svitramia minor","R.Romero & A.B.Martins","Paratypus","Romero, R; Nakajima, JN; Oliveira, R; Oliveira, PE; Schiavini, I","2381","1995","07","15","Southern America","Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Morro próximo à sede administrativa","-46.3657989501953","-20.2453002929688",NA,"Arbusto, ca. 0,6m. Corola rósea, estames creme.; Campo rupestre","BHCB000314","BHCB000314",NA,NA,NA,"57119","auto",NA,NA,NA,NA
"10","2020-07-23 11:21:00-03","MO","MOBOT","101208882","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Pleroma","minus","Pleroma minus","(R. Romero & A.B. Martins) P.J.F. Guim. & Michelang.","Holotype","J.N. Nakajima|R. Romero","Nakajima 2130","1996","11","21","South America","Brazil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra Canastra, Morros após o córrego dos Passageiros","-46.3657989501953","-20.2453002929688",NA,NA,NA,NA,"fide Guimarães et al.",NA,NA,"57119","auto",NA,"1",NA,NA
