"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","stateProvince","minimumElevationInMeters","identifiedBy","yearIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","fieldNumber","individualCount","class","sex"
"1","2017-02-01 14:58:00-02","NY","NYBG","02361554","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Notylia","amesii","Notylia amesii","isotype","J. S. de la Cruz","1674","1922","07","15","South America","Guyana","Bewteen the Demerara and Berbice Rivers, Lat. about 5° 50'N.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2647511' target='other'> <mi>dwc_moreinfo</mi></a>","NY02361554","NY02361554_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","04109285","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Notylia","amesii","Notylia amesii",NA,"G. Klug","999","1930","02",NA,"South America","Peru","Mishuyacu, near Iquitos","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4428786' target='other'> <mi>dwc_moreinfo</mi></a>","NY04109285",NA,"L.B.Sm. & S.K.Harris","Loreto","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:28:42-03","UFBA","ALCB","98048","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Notylia","microchila","Notylia microchila",NA,"Alves, M; Guedes, ML; Teixeira, SR; Oliveira, RB","21","2011","02","15","Southern America","Brasil","Litoral Norte, Fazenda Experimental. Escola de Medicina Veterinária. Reserva Florestal do Povoado de Aguazinha",NA,"folhas discolores. Flores amarelas.","ALCB006098","ALCB006098","Cogn.","Bahia",NA,"Carvalho, DN","2015","Entre Rios","-38.084400177002","-11.9419002532959","52418","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-07-05 11:14:19-03","FFCLRP","LBMBP","389","S","Plantae",NA,NA,"Orchidaceae","Notylia","amesii","Notylia amesii",NA,"L.M. Pansarin",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,"L.B. Sm. & S.K. Harris",NA,NA,"E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-03-16 12:49:28-03","UNEMAT","HERBAM","8713","S","Plantae",NA,NA,"Orchidaceae","Notylia","microchila","Notylia microchila",NA,"Soares, C.R.A.; Petini-Benelli, A.","Triag. 2926765","2012","06","09",NA,"Brasil","Afloramento rochoso.",NA,NA,"HERBAM008713",NA,"Cogn.","Mato Grosso","226","Chiron, G","2012","Paranaíta","-56.783611","-9.348611",NA,NA,"07","10","-56.783611","-9.348611","226",NA,NA,NA,NA
"6","2019-03-16 12:49:28-03","UNEMAT","HERBAM","8713","S","Plantae",NA,NA,"Orchidaceae","Notylia","microchila","Notylia microchila",NA,"Soares, C.R.A.; Petini-Benelli, A.","Triag. 2926765","2012","06","09",NA,"Brasil","Afloramento rochoso.",NA,NA,"HERBAM008713",NA,"Cogn.","Mato Grosso","226","Chiron, G","2012","Paranaíta","-56.783611","-9.348611",NA,NA,"07","10","-56.783611","-9.348611","226",NA,NA,NA,NA
"7","2008-05-27 22:02:00-03","MO","MOBOT","636002","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Notylia","microchila","Notylia microchila",NA,"Calaway H. Dodson|T.A. Dodson","Dodson 16481","1986","5","30","South America","Ecuador",NA,NA,NA,NA,NA,"Cogn.","Pastaza","1000.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2008-05-27 22:02:00-03","MO","MOBOT","637005","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Notylia","microchila","Notylia microchila",NA,"Alexander Hirtz","Hirtz 1261",NA,NA,NA,"South America","Ecuador",NA,NA,NA,NA,NA,"Cogn.","Pastaza","1000.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2014-04-04 05:46:00-03","MO","MOBOT","638656","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Notylia","microchila","Notylia microchila",NA,"John James Pipoly, III|Rodolfo Vásquez|Nestor Jaramillo","Pipoly 14790","1991","3","12","South America","Peru","Región de Amazonas. Santa María de Nanay, Caño Cashoro, a la orilla del Río Nanay, ca. 5 km al W del Caserío Mishana, dentro de la Reserva Igapo (inundado con agua negra).",NA,NA,NA,NA,"Cogn.","Loreto","130.00000000","R. Vasquez (MO)",NA,"Maynas","-73.5316667","-3.8822223",NA,NA,NA,NA,NA,NA,NA,"22","1",NA,NA
"10","2011-06-09 17:10:00-03","MO","MOBOT","645231","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Notylia","microchila","Notylia microchila",NA,"Calaway H. Dodson|et al.","Dodson 17844","1988","12","7","South America","Ecuador",NA,NA,NA,NA,NA,"Cogn.","Morona-Santiago","500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
