"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","locality","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00982385","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","bracteosum","Centrosema bracteosum","Benth.","R. C. Barneby","F. H. F. Oldenburger","1760","1975","11","13","South America","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103783' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982385","NY00982385_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","6388","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","bracteosum","Centrosema bracteosum","Benth.",NA,"J. B. E. Pohl","460",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=167361' target='other'> <mi>dwc_moreinfo</mi></a>","NY00006388","NY00006388_01","isotype","Ad Formiga.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00982313","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","bracteosum","Centrosema bracteosum","Benth.",NA,"L. A. Skorupa","190","1987","11","24","South America","Brazil","Goiás","Itapuranga","-50","-15.08","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103763' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982313","NY00982313_01",NA,"Fazenda do Sr. Teodora; a 5 km de Cibeli; antes de Caicara-Go","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00982362","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","bracteosum","Centrosema bracteosum","Benth.","R. C. Barneby","F. H. F. Oldenburger","1830","1975","11","20","South America","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103781' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982362","NY00982362_01",NA,"Along road DF 6 to Planaltina, 1 km E of crossing with DF 15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00982436","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","bracteosum","Centrosema bracteosum","Benth.",NA,"L. A. Skorupa","227","1988","01","20","South America","Brazil","Distrito Federal","Brasília","-48","-16","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103768' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982436","NY00982436_01",NA,"Escola Fazendaria (em frente)","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00982361","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","bracteosum","Centrosema bracteosum","Benth.","R. C. Barneby","F. H. F. Oldenburger","1775","1975","11","13","South America","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103784' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982361","NY00982361_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00982388","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","bracteosum","Centrosema bracteosum","Benth.","R. Williams","G. M. Magalhaes","18878","1962","11",NA,"South America","Brazil","Minas Gerais","Paracatú","-46.8744","-17.2222","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103760' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982388","NY00982388_01",NA,"20 km de Paracatú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","566477","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","bracteosum","Centrosema bracteosum","Benth.","O. A. Guimarães","A. C. Cervi","5971","1995","10","21","South America","Brazil","Paraná","Jaguariaíva","-49.68","-24.23","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=167354' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566477","NY00566477_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00982336","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","bracteosum","Centrosema bracteosum","Benth.","R. Williams","H. S. Irwin","13398","1966","03","03","South America","Brazil","Goiás","Cristalina","-47.6","-16.77711","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103789' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982336","NY00982336_01",NA,"Serra dos Cristais, ca. 3 km S. of Cristalina","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00982311","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","bracteosum","Centrosema bracteosum","Benth.","R. Williams","H. S. Irwin","9075","1965","10","08","South America","Brazil","Distrito Federal","Brasília","-47.38","-15.57","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982311","NY00982311_01",NA,"5 km W. of Formosa, road to Brasília","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
