"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:54-03","UNESC","CRI","11854","PreservedSpecimen","Plantae","Piperaceae","Piper","hispidum","Piper hispidum","Sw.","E. F. Guimarães","S. Dreveck","2179","2010","05","04","Brasil","Santa Catarina","Doutor Pedrinho","Ribeirão Rigo.","-49.499722","-26.73","49º29'59''W","26º43'48''S","600","600","Floresta Ombrófila Densa Habitat: entorno do fragmento Habito: arbustiva","CRI008612","CRI008612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 15:16:32-03","UNESC","CRI","12401","PreservedSpecimen","Plantae","Piperaceae","Piper","hispidum","Piper hispidum","Sw.","Guimarães, EF","Stival-Santos, A; Legal, E & Silveira, S","1631","2010","02","01","Brasil","Santa Catarina","Angelina","Rancho das Tábuas.","-49.049444","-27.630278","49º2'58''W","27º37'49''S","590","590","Doação Herbário FURB (19987) Habito: Arbustiva","CRI010608","CRI010608","2010","12","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:42:25-03","E","E","202809","PreservedSpecimen","Plantae","Piperaceae","Piper","hispidum","Piper hispidum",NA,NA,"Lima, J.C.M.; Simon, M.F.","51","1999","02","04","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00202809 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202809",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:217236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:42:25-03","E","E","83704","PreservedSpecimen","Plantae","Piperaceae","Piper","hispidum","Piper hispidum",NA,NA,"Proenca, C., Ratter, J.A., Fonseca Filho, J.A.ET., Bridgewater, S., Simon, M.F.","1539","1996","09","19","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00083704 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083704",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:92629",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01467549","PreservedSpecimen","Plantae","Piperaceae","Piper","hirsutum","Piper hirsutum","Sw.","C. S. Rosário","S. A. da M. Souza","1056","1987","02","04","Brazil","Pará","Altamira","Rio Xingu, Largo do Passari.","-52.7416277","-4.3220195",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1712280' target='other'> <mi>dwc_moreinfo</mi></a>","NY01467549","NY01467549_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Piperales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01467550","PreservedSpecimen","Plantae","Piperaceae","Piper","hirsutum","Piper hirsutum","Sw.","M. G. da Silva","M. G. da Silva","3944","1978","11","25","Brazil","Pará",NA,"Parque Nacional do Tapajós, km 60 da estrada Itaituba-Jcarecanga; margem esquerda do rio. Vila Pimental.","-55.059354","-3.3969062",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1712281' target='other'> <mi>dwc_moreinfo</mi></a>","NY01467550","NY01467550_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Piperales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4138245","PreservedSpecimen","Plantae","Piperaceae","Piper","hispidum","Piper hispidum","Sw.",NA,"M. H. Nee","46023","1994","12","18","Bolivia","Santa Cruz","Ichilo","north of Río Ichilo, 1-1.5 km SW of highway from Buena Vista to Villa Tunari","-64.1958","-17.2917",NA,NA,"245",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4467591' target='other'> <mi>dwc_moreinfo</mi></a>","NY04138245",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Piperales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01467320","PreservedSpecimen","Plantae","Piperaceae","Piper","hispidum","Piper hispidum","Sw.","R. Callejas Posada","C. R. Sperling","6049","1982","06","10","Brazil","Pará",NA,"Serra dos Carajás. AMZA camp 3-Alfa.","-50.53","-5.8",NA,NA,"200",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1713561' target='other'> <mi>dwc_moreinfo</mi></a>","NY01467320","NY01467320_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Piperales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","556672","PreservedSpecimen","Plantae","Piperaceae","Piper","hispidum","Piper hispidum","Sw.","S. M. Silva","S. B. Mikich","s.n.","1996","03","13","Brazil","Paraná","Fênix","Parque Estadual de Vila Rica do Espírito Santo","-51.9792","-23.9161",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=203397' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556672","NY00556672_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Piperales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4138349","PreservedSpecimen","Plantae","Piperaceae","Piper","hispidum","Piper hispidum","Sw.",NA,"J. Jaramillo","7597","1985","03","24","Ecuador","Pichincha",NA,"Reserva Forestal ENDESA, Río Silanche: Corporación Forestal Juan Manuel Durini, km 113 de la carretera Quito-Pto. Quito, faldas occidentales, a 10 km al Norte de la carretera principal","-79.03","0.08",NA,NA,"650","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4467696' target='other'> <mi>dwc_moreinfo</mi></a>","NY04138349","NY04138349_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Piperales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","4138260","PreservedSpecimen","Plantae","Piperaceae","Piper","hispidum","Piper hispidum","Sw.",NA,"M. H. Nee","30327","1984","11","01","Bolivia","La Paz","Nor Yungas","hills 2 km NW of Caranavi","-67.55","-15.8",NA,NA,"1000",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4467606' target='other'> <mi>dwc_moreinfo</mi></a>","NY04138260",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Piperales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","4138233","PreservedSpecimen","Plantae","Piperaceae","Piper","hispidum","Piper hispidum","Sw.",NA,"M. H. Nee","40105","1990","11","30","Bolivia","Santa Cruz","Ñuflo de Chávez","14 km (by air) NW of San Javier, gap through range and slope on west side, Las Lajas, El Chupadero","-62.6","-16.17",NA,NA,"550",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4467579' target='other'> <mi>dwc_moreinfo</mi></a>","NY04138233",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Piperales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","4138555","PreservedSpecimen","Plantae","Piperaceae","Piper","hispidum","Piper hispidum","Sw.",NA,"R. L. Liesner","10604","1981","03","15","Venezuela","Mérida",NA,"0.5 - 2 km above dam site on Río Guaimaral","-71.48","7.75",NA,NA,"200","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4467939' target='other'> <mi>dwc_moreinfo</mi></a>","NY04138555",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Piperales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","556667","PreservedSpecimen","Plantae","Piperaceae","Piper","hispidum","Piper hispidum","Sw.","R. Callejas Posada","R. Callejas Posada","1639","1983","11","04","Brazil","Bahia","Porto Seguro","Km 14 da estrada porto Seguro-Eunápolis (BR367)","-39.08","-16.5",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=203396' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556667","NY00556667_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Piperales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","4138228","PreservedSpecimen","Plantae","Piperaceae","Piper","hispidum","Piper hispidum","Sw.",NA,"M. H. Nee","35402","1987","07","28","Bolivia","Santa Cruz","Ichilo","Estancia San Rafael de Amboro, 15 km (by air) SSE of Buena Vista","-63.62","-17.58",NA,NA,"375",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4467574' target='other'> <mi>dwc_moreinfo</mi></a>","NY04138228",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Piperales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","4138583","PreservedSpecimen","Plantae","Piperaceae","Piper","hispidum","Piper hispidum lanceolatum","Trel. & Yun",NA,"Y. E. J. Mexia","8413","1936","12","07","Ecuador","Esmeraldas",NA,"Parroquia de Concepcion; Playa R Rica",NA,NA,NA,NA,"105",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4467967' target='other'> <mi>dwc_moreinfo</mi></a>","NY04138583","NY04138583_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Piperales","lanceolatum",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","4138339","PreservedSpecimen","Plantae","Piperaceae","Piper","hispidum","Piper hispidum","Sw.",NA,"W. H. Camp","E994","1944","11","14","Ecuador",NA,NA,"Santiago-Zamora: Oriente: Near Mendez. Uplands along río Upano just north of junction with r. Chupiantza",NA,NA,NA,NA,"533","762","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4467685' target='other'> <mi>dwc_moreinfo</mi></a>","NY04138339","NY04138339_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Piperales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","4138588","PreservedSpecimen","Plantae","Piperaceae","Piper","hispidum","Piper hispidum lanceolatum","Trel. & Yun",NA,"J. M. Schunke-Vigo","10361","1978","07","18","Peru","Huánuco","Leoncio Prado","Jacintillo, margen izquierda del Río Monzón",NA,NA,NA,NA,"680","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4467972' target='other'> <mi>dwc_moreinfo</mi></a>","NY04138588",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Piperales","lanceolatum",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","251563","PreservedSpecimen","Plantae","Piperaceae","Piper","hispidum","Piper hispidum","Sw.",NA,"H. F. Pittier","6071","1913","04","17","Venezuela","Aragua",NA,"Valley of Rio Limon, along the new road to Ocumare de la Costa",NA,NA,NA,NA,"440","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=203442' target='other'> <mi>dwc_moreinfo</mi></a>","NY00251563","NY00251563_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Piperales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","4138335","PreservedSpecimen","Plantae","Piperaceae","Piper","hispidum","Piper hispidum","Sw.",NA,"G. W. Harling","4318","1959","02","26","Ecuador","Imbabura",NA,"Lita (at the boundary to Esmeraldas and Carchi)",NA,NA,NA,NA,"600",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4467681' target='other'> <mi>dwc_moreinfo</mi></a>","NY04138335",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Piperales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","4138328","PreservedSpecimen","Plantae","Piperaceae","Piper","hispidum","Piper hispidum","Sw.",NA,"G. W. Harling","5005","1958","05","06","Ecuador","Guayas",NA,"Manglaralto",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4467674' target='other'> <mi>dwc_moreinfo</mi></a>","NY04138328",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Piperales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","4138427","PreservedSpecimen","Plantae","Piperaceae","Piper","hispidum","Piper hispidum","Sw.",NA,"J. M. Schunke-Vigo","5109","1971","11","02","Peru","Huánuco","Leoncio Prado","Camino a Jacintillo (Al oeste de Tingo María)",NA,NA,NA,NA,"672",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4467811' target='other'> <mi>dwc_moreinfo</mi></a>","NY04138427",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Piperales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","4148230","PreservedSpecimen","Plantae","Piperaceae","Piper","hispidum","Piper hispidum trachydermum","(Trel.) Yunck.",NA,"L. Aristeguieta","3219","1958","07",NA,"Venezuela","Federal",NA,"Hacienda de Chichiriviche",NA,NA,NA,NA,"400",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4468027' target='other'> <mi>dwc_moreinfo</mi></a>","NY04148230",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Piperales","trachydermum",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","801819","PreservedSpecimen","Plantae","Piperaceae","Piper","hispidum","Piper hispidum","Sw.","M. H. Nee","M. H. Nee","49590","1998","06","02","Bolivia","Santa Cruz","Ichilo","Parque Nacional Amboró, Campamento Mataracú.","-63.87","-17.55",NA,NA,"375","375","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=734421' target='other'> <mi>dwc_moreinfo</mi></a>","NY00801819","NY00801819_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Piperales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","556662","PreservedSpecimen","Plantae","Piperaceae","Piper","hispidum","Piper hispidum","Sw.","T. G. Yuncker","R. E. Braga",NA,"1954","08","18","Brazil","Paraná","Piraquara","Serra do Mar - Piraquara","-48.94764","-25.484947",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=203402' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556662","NY00556662_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Piperales",NA,NA,NA,NA,NA,NA,NA,NA,NA
