"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2020-09-23 10:43:11-03","E","E","104117","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","pilocarpoides","Esenbeckia pilocarpoides","Ratter, J.A., Bridgewater, S. & dos Santos, J. Batista","1998","08","05","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:113423","<a href=http://data.rbge.org.uk/herb/E00104117 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","929108","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","pilocarpoides","Esenbeckia pilocarpoides maurioides","R. de Lemos Fróes","1932","04","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995473' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929108","Magnoliophyta","Sapindales","maurioides","(Mart.) Kaastra","J. A. Kallunki","1710","Maranhão","Cândido Mendes","Maracassumé River Region. Near the river.","-45.7278872","-1.456347","NY00929108_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","929106","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","pilocarpoides","Esenbeckia pilocarpoides maurioides","R. de Lemos Fróes","1940","01",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995471' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929106","Magnoliophyta","Sapindales","maurioides","(Mart.) Kaastra","J. A. Kallunki","11797","Maranhão",NA,"Arutahy.",NA,NA,"NY00929106_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","885833","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","pilocarpoides","Esenbeckia pilocarpoides maurioides","A. M. Amorim","2004","10","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008657' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885833","Magnoliophyta","Sapindales","maurioides","(Mart.) Kaastra","J. A. Kallunki","4330","Bahia","Itapé","Estrada Itapé a Itajú do Colônia em ramal a 19.7 km da saída de Itajú. Fazenda Coração de Jesus.","-39.6097","-14.9603","NY00885833_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01141694","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","pilocarpoides","Esenbeckia pilocarpoides pilocarpoides","A. S. L. da Silva","1977","11","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1503808' target='other'> <mi>dwc_moreinfo</mi></a>","NY01141694","Magnoliophyta","Sapindales","pilocarpoides","Kunth","J. A. Kallunki","250","Pará",NA,"Cuiabá-Santarém, km 1203","-55.6210381","-6.1362559","NY01141694_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01141996","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","pilocarpoides","Esenbeckia pilocarpoides pilocarpoides","J. J. Strudwick","1981","07","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1508720' target='other'> <mi>dwc_moreinfo</mi></a>","NY01141996","Magnoliophyta","Sapindales","pilocarpoides","Kunth","J. A. Kallunki","3651","Pará",NA,"Ca. 23 km upstream from Lageira airstrip on Rio Maicuru, west bank, north side of Mutum stream","-54.43","-0.92","NY01141996_01 NY01141996_02","244","244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","929101","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","pilocarpoides","Esenbeckia pilocarpoides pilocarpoides","M. G. da Silva","1977","06","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995466' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929101","Magnoliophyta","Sapindales","pilocarpoides","Kunth","J. A. Kallunki","3225","Mato Grosso","Aripuanã","Fontanilha, estrada para Aripuanã. Arredores do acampamento da prefeitura.","-58.8143849","-10.6948097","NY00929101_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01141690","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","pilocarpoides","Esenbeckia pilocarpoides","C. C. Berg","1977","10","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1503804' target='other'> <mi>dwc_moreinfo</mi></a>","NY01141690","Magnoliophyta","Sapindales",NA,"Kunth","J. A. Kallunki","749","Pará",NA,"Near EMBRAPA station, at km 23 on road Altamira-Itaituba. Forest on terra firme.","-52.3978758","-3.271835","NY01141690_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01141697","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","pilocarpoides","Esenbeckia pilocarpoides pilocarpoides","L. R. Marinho","1982","05","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1503811' target='other'> <mi>dwc_moreinfo</mi></a>","NY01141697","Magnoliophyta","Sapindales","pilocarpoides","Kunth","J. A. Kallunki","278","Pará",NA,NA,NA,NA,"NY01141697_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","929105","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","pilocarpoides","Esenbeckia pilocarpoides maurioides","M. dos R. Cordeiro","1976","11","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995470' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929105","Magnoliophyta","Sapindales","maurioides","(Mart.) Kaastra","J. A. Kallunki","1207","Mato Grosso","Matupá","Fazenda Cachimbo, Sub-base Projeto RADAM.","-54.9328","-10.0575","NY00929105_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
