"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","typeStatus","fieldNumber","preparationType","phylum"
"1","2020-02-08 09:29:13-03","NBC","NL-BOTANY","L.2835580","PreservedSpecimen","Plantae","Magnoliopsidae","Lamiales","Acanthaceae","Ebermaiera","brachiata","Ebermaiera brachiata","Hiern","Vincent","1919","12","01","Southern America","Brazil","Env. & Rio de Janeiro *.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2835580 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2835580","NL-L2835580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 09:28:59-03","UFRRJ","RBR","36022","S","Plantae",NA,NA,"Acanthaceae","Staurogyne","brachiata","Staurogyne brachiata","(Hiern) Leonard","G.V. Somner; et al.","2007","04","18",NA,"Brasil","REBIO do Tinguá, Mata acima da represa Colomi, subindo. Reserva Biológica do Tinguá",NA,"RBR00036022","RBR00036022","D.M. Braz","2016","06","06","1163","Rio de Janeiro","Nova Iguaçu","-43.451099395752","-22.7591991424561","25743","auto",NA,NA,NA,NA
"3","2015-09-26 03:05:47-03","MNHN","RECOLNAT_MNHN_P","P00650265","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Staurogyne","brachiata","Staurogyne brachiata","(Hiern) Leonard","Glaziou, A.","1869","3","25",NA,"Brésil","Petropolis, Rio Jan.","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00650265' target='other'> <mi>dwc_moreinfo</mi></a>","P00650265","P00650265_01","Braz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype","3070","hb",NA
"4","2015-09-03 17:00:19-03","MNHN","RECOLNAT_MNHN_P","P00650266","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Staurogyne","brachiata","Staurogyne brachiata","(Hiern) Leonard","Glaziou, A.","1869","3","25",NA,"Brésil","Petropolis, Rio Jan.","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00650266' target='other'> <mi>dwc_moreinfo</mi></a>","P00650266","P00650266_01","Braz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"holotype","3070","hb",NA
"5","2015-09-04 07:50:09-03","MNHN","RECOLNAT_MNHN_P","P03605264","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Staurogyne","brachiata","Staurogyne brachiata","(Hiern) Leonard","Glaziou, A.",NA,NA,NA,NA,"Brasil","Brésil.","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03605264' target='other'> <mi>dwc_moreinfo</mi></a>","P03605264","P03605264_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15291","hb",NA
"6","2015-09-04 07:50:09-03","MNHN","RECOLNAT_MNHN_P","P03605266","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Staurogyne","brachiata","Staurogyne brachiata","(Hiern) Leonard","Glaziou, A.","1883","6","9",NA,"Brasil","Brésil: Province Rio de Janeiro=Petropolis, vans la forêt.","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03605266' target='other'> <mi>dwc_moreinfo</mi></a>","P03605266","P03605266_01",NA,NA,NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,"15291","hb",NA
"7","2015-09-04 07:50:09-03","MNHN","RECOLNAT_MNHN_P","P03605265","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Staurogyne","brachiata","Staurogyne brachiata","(Hiern) Leonard","Glaziou, A.","1883","6","9",NA,"Brasil",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03605265' target='other'> <mi>dwc_moreinfo</mi></a>","P03605265","P03605265_01",NA,NA,NA,NA,NA,"Rio de Janeiro","Petrópolis","-43.1786003112793","-22.5049991607666","36524","auto",NA,"15291","hb",NA
"8","2020-06-15 15:28:10-03","UNESP-RC","HRCB","34595","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Staurogyne","brachiata","Staurogyne brachiata","(Hiern) Leonard","Duarte, A.P.","1964",NA,NA,NA,"Brasil",NA,NA,NA,NA,"Braz, D.M.","2004","12","18","9940","Rio de Janeiro","Petrópolis","-43.1786003112793","-22.5049991607666","36524","auto",NA,NA,NA,NA
"9","2019-09-04 19:02:02-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Acanthaceae","Staurogyne","brachiata","Staurogyne brachiata",NA,"A. Glaziou",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"3070",NA,NA,"-52.8731","-10.8339",NA,NA,"Type [status unknown]",NA,NA,"Spermatophyta"
"10","2021-02-23 13:21:48-03","MN","R-TIPOS","11352","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ebermaiera","brachiata","Ebermaiera brachiata","Hieron.","Glaziou, A.F.M.","1869","03","25",NA,"Brasil",NA,NA,"R000011352","R000011352_001",NA,NA,NA,NA,"3070","Rio de Janeiro","Petrópólis","-43.1786003112793","-22.5049991607666","36524","auto","Isotypus",NA,NA,NA
