"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","eventTime","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","796792","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","leucodendron","Eremanthus leucodendron","Mattf.","A. M. V. de Carvalho","6638","1998","08","29","South America","Brazil","Bahia","Rio de Contas","Pico do Itubira. Cerca de 31 km SW da cidade, caminho para Mato Grosso","-41.8969","-13.3889","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478990' target='other'> <mi>dwc_moreinfo</mi></a>","NY00796792","NY00796792_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:10:47-03","UFBA","ALCB","033789","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophorella","leucodendron","Lychnophorella leucodendron","(Mattf.) Loeuille, Semir & Pirani","Harley, RM; Hind, DJN; Bautista, HP","PCD&nf;4277","1996","11","15","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, Sopé do Pico do Itobira","-41.888333","-13.3675",NA,"até 1,0 m. Caule totalmente revestido por lanosidade. Folhas cinzas, concolores, revestidas totalmente por indumento. Filários cinza com identico indumento; flores com corola, ramos do estilete e anteras roxas; estilete lilás. Frequente.",NA,NA,"Cândido, JB","2018","11","05","-41.888333","-13.3675",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:10:47-03","UFBA","ALCB","033825","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophorella","leucodendron","Lychnophorella leucodendron","(Mattf.) Loeuille, Semir & Pirani","Harley, RM; Bautista, HP; Hind, DJN; Roque, N","PCD&nf;4469","1996","11","18","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, Serra Marsalina (Serra da antena de TV)","-41.831944","-13.592778",NA,"1,0 m, caule revestido totalmente por lanosidade. Folhas cinzas, concolores, revestidas totalmente por indumento. Filários cinza com identico indumento; flores com corola, ramos do estilete e anteras roxas, esyilete lilás. Frequente.; Solo arenoso e",NA,NA,"Cândido, JB","2018","11","05","-41.831944","-13.592778","1020","1020",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:10:47-03","UFBA","ALCB","128031","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophorella","leucodendron","Lychnophorella leucodendron","(Mattf.) Loeuille, Semir & Pirani","Bautista, HP","2834","1998","09","26","Southern America","Brasil","Bahia","Rio de Contas","Distrito de Arapiranga, no topo do morro do Porco Gordo.","-41.8114013671875","-13.5789003372192",NA,"1 m de alt., glauco, flores lilás, papus de amarelo a creme. Ocasional.; Campo Rupestre.","ALCB045151","ALCB045151","Cândido, JB","2018","11","05",NA,NA,"1200","1200","49773","auto",NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:10:47-03","UFBA","ALCB","62716","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophorella","leucodendron","Lychnophorella leucodendron","(Mattf.) Loeuille, Semir & Pirani","Ganev, W","2449","1993","09","07","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, Mato Grosso, próximo à lavra avelha final da estrada","-41.833333","-13.461389",NA,"Ca. 1,5 m. Folhas membranáceas creme-esverdeado. Pecíolo com pilosidade do caule creme. PEdúnculo e pedicelo creme esverdeado. Sépalas creme esverdeada e pétalas roxas. Floração final. Pouco comum.; Solo arenoso.",NA,NA,"Cândido, JB","2018","11","05","-41.833333","-13.461389","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:10:47-03","UFBA","ALCB","89121","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophorella","leucodendron","Lychnophorella leucodendron","(Mattf.) Loeuille, Semir & Pirani","Abreu, IS","10","2009","07","29","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, arredores do distrito de Arapiranga","-41.8114013671875","-13.5789003372192",NA,"ca. 70cm alt, folhas cinéreas. Brácteas involucrais cinéreas, flores com corola lilás.",NA,NA,"Cândido, JB","2018","11","05",NA,NA,NA,NA,"49773","auto",NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:52:12-03","NBC","NL-BOTANY","U.1150464","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Vernonia","leucodendron","Vernonia leucodendron","(Mattf.) MacLeish","Harley RM; Giulietti AM; Stannard BL; Hind DJN",NA,"1988","11","10","Southern America","Brazil","Bahia",NA,NA,"-41.966667","-13.533333",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1150464 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1150464","NL-U1150464","Hind DJN","1989","05","01","-41.966667","-13.533333",NA,NA,NA,NA,"Magnoliopsidae","U 0098859",NA,NA,NA,NA
"8","2020-11-04 11:01:55-03","ESALQ","ESA","22760","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Lychnophorella","leucodendron","Lychnophorella leucodendron","(Mattf.) Loeuille, Semir & Pirani","Atkins, S. et al.",NA,"1994","03","01",NA,"Brasil","Bahia","Rio de Contas",NA,"-41.8114013671875","-13.5789003372192",NA,NA,"ESA022760","ESA022760","Loeuille, B.","2011",NA,NA,NA,NA,NA,NA,"49773","auto",NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:01:55-03","ESALQ","ESA","22770","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Lychnophorella","leucodendron","Lychnophorella leucodendron","(Mattf.) Loeuille, Semir & Pirani","Sano, P.T. et al.",NA,"1994","03","01",NA,"Brasil","Bahia","Rio de Contas",NA,"-41.8114013671875","-13.5789003372192",NA,NA,"ESA022770","ESA022770","Loeuille, B.","2011",NA,NA,NA,NA,NA,NA,"49773","auto",NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:25:57-03","UNICAMP","UEC","111366","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","leucodendron","Vernonia leucodendron","(Mattf.) MacLeish","Moraes, MD; Aona, LYS","503","2000","03","26",NA,"Brazil","Bahia","Rio de Contas","trilha para Pico Itobira.","-41.8114013671875","-13.5789003372192",NA,"Arbusto em forma de candelabro, 0,5 - 1,0m, flores róseas.; Campo rupestre.","UEC138044","UEC138044","Semir, J",NA,NA,NA,NA,NA,"1330","1330","49773","auto",NA,NA,NA,NA,NA,NA
