"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","typeStatus"
"1","2021-03-01 16:27:34-03","UNICAMP","UEC","201694","S","Plantae","Magnoliopsida","Calophyllaceae","Kielmeyera","sigillata","Kielmeyera sigillata","Saddi","Trad, RJ","2018","02","Trad, RJ; Oliveira, LA","644","2018","01","20","Brazil","Espírito Santo","Pancas","Pedra do Camelo","-40.798639","-19.229944","-40.798639","-19.229944","339","339","Árvore 2,5 m, exudato esbranquiçado, flores com cálice verde e corola branca. Odor adocicado.; Ilha de vegetação onde há mais matriz sobre o afloramento rochoso.","UEC191140","UEC191140",NA,NA,NA
"2","2021-03-01 16:27:34-03","UNICAMP","UEC","201720","S","Plantae","Magnoliopsida","Calophyllaceae","Kielmeyera","sigillata","Kielmeyera sigillata","Saddi","Trad, RJ","2018","02","Trad, RJ; Oliveira, LA","645","2018","01","20","Brazil","Espírito Santo","Pancas","Pedra do Camelo","-40.798639","-19.229944","-40.798639","-19.229944","339","339","Árvore 2,5 m, exudato esbranquiçado, flores com cálice verde e corola branca. Odor adocicado.; Ilha de vegetação onde há mais matriz sobre o afloramento rochoso.","UEC191136","UEC191136",NA,NA,NA
"3","2021-03-01 16:27:34-03","UNICAMP","UEC","205829","S","Plantae","Magnoliopsida","Calophyllaceae","Kielmeyera","sigillata","Kielmeyera sigillata","Saddi","Trad, RJ","2018","02","Trad, RJ; Mancuso, GM; Santos, ACAS; Oliveira, LA; Nascimento, JE","646","2018","01","20","Brazil","Espírito Santo","Pancas","Pedra Panetone do Leôncio","-40.8513984680176","-19.2250003814697",NA,NA,NA,NA,"Árvore 3-4 m, exudato esbranquiçado, flores com cálice verde e corola branca. Odor adocicado.; Ilha de vegetação onde há mais matriz sobre o afloramento rochoso.","UEC191138","UEC191138","32475","auto",NA
"4","2020-07-10 09:46:24-03","MBML","MBML-HERBARIO","26271",NA,"Plantae",NA,"Guttiferae","Kielmeyera","cf. sigillata","Kielmeyera cf. sigillata","Saddi","A.P.B. Santos/11-06-2018",NA,NA,"V. Demuner; T. Cruz, M. Belizário, Elias Bausen, Jaqueline","2127","2006","03","30","Brasil","Espírito Santo","Santa Leopoldina","Bragança, Rancho Chapadão, Prop.: João Emilio","-40.546389","-20.123056","40W32'47","20S7'23","280","280","Árvore 7m, fuste 2m, DAP 20cm, botões, florais flores brancas, latescente. Ambiente aberto ensolarado","MBML026271","MBML026271",NA,NA,NA
"5","2021-02-23 13:22:01-03","MN","R-TIPOS","181752","PreservedSpecimen","Plantae",NA,"Calophyllaceae","Kielmeyera","sigillata","Kielmeyera sigillata","Saddi",NA,NA,NA,"Mello Filho, L.E. 2540; Andrade, A.G. 2435; Emmerich, M. 3095; Lessa, E. & Tavares, T.",NA,"1966","12","20","Brasil","Espírito Santo",NA,"Estrada Pancas-Colatina",NA,NA,NA,NA,NA,NA,NA,"R000181752","R000181752_001",NA,NA,"Isotypus"
