"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","individualCount","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","02431304","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Swartzia","oriximinaensis","Swartzia oriximinaensis","R.S.Cowan","J. F. Ramos","1276","1980","07","04","South America","Brazil","Pará","Oriximiná","Rio Trombetas, ilha em frente ao Acampamento da Gutierrez.","-55.8661","-1.76556","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2967567' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431304","NY02431304_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","32074","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Swartzia","oriximinaensis","Swartzia oriximinaensis","R.S.Cowan","C. A. Cid Ferreira","1484","1980","07","13","South America","Brazil","Pará","Oriximiná","Rio Trombetas, margem esquerda em frente a Mineraça Santa Patricia.","-56.4489985","-1.6942627","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=678349' target='other'> <mi>dwc_moreinfo</mi></a>","NY00032074","NY00032074_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-10-20 14:17:31-03","UFOPA","HSTM","6260","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Swartzia","oriximinaensis","Swartzia oriximinaensis","Cowan","Faria, S.M.; s.c.","1102","1996","03","09",NA,"Brasil","Pará","Oriximiná","Porto Trombetas. Igarapé das Pedras, 500m antes.","-56.45","-1.7",NA,NA,"HSTM006260","HSTM006260",NA,"Torke, B.","1905","07","07","56º27'0''W","1º42'0''S",NA,NA,NA,NA
"4","2020-08-31 09:16:31-03","INPA","INPA","94651","S","Plantae","Dicotyledon Rosids","Fabales","Leguminosae-Pap","Swartzia","oriximinaensis","Swartzia oriximinaensis","R.S.Cowan","Ferreira, CAC","1276","1980","07","04","Southern America","Brasil","Pará","Oriximiná","Rio Trombetas, Rio Trombetas, margem esquerda, a 5 km abaixo da Cachoeira Porteira.","-57.051936","-1.205539",NA,NA,"INPA0094651","INPA0094651 INPA0094651_e INPA0094651_e1",NA,"Pinto, RB","2010","09","09","-57.051936","-1.205539",NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","2940527","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Swartzia","oriximinaensis","Swartzia oriximinaensis","R.S. Cowan","C. A. Cid Ferreira, J. F. Ramos & C. D. A. Mota","1276","1980","7","4","South America - Neotropics","Brazil","Pará","Oriximiná","Rio trombetas; a 5 km abaixo da cachoeira porteira","-55.8661003112793","-1.76556003093719",NA,NA,"US00422411","US00422411_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","479450","1","auto"
"6","2020-09-12 05:00:02-03","US","US","2940528","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Swartzia","oriximinaensis","Swartzia oriximinaensis","R.S. Cowan","C. A. Cid Ferreira","1484","1980","7","13","South America - Neotropics","Brazil","Pará","Oriximiná","Rio Trombetas, margem Esquerda emfrente a Mineracao Santa Patric.","-55.8661003112793","-1.76556003093719",NA,NA,"US00090963","US00090963_01","Isotype",NA,NA,NA,NA,NA,NA,"Dicotyledonae","479450","1","auto"
