"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","continentOcean","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","order","typeStatus","verbatimLongitude","verbatimLatitude"
"1","2020-11-04 12:17:39-03","ESALQ","ESA","97895","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Pseudolaelia","cipoensis","Pseudolaelia cipoensis","Guimarães, L.R.S.","2009","06","19","Souza, V.C.; Zappi, D.C.; Hind, D.J.N.; Paula-Souza, J.; Jennings, L.; Romão, G.O.; Rando, J.G.; Ferreira, M.A.P.; Miranda, E.","32793.0","2007","02","19","Brasil","Minas Gerais","Santana do Pirapama.","BLOQUEADO","1300","1300","Epífita sobre Vellozia, flores róseas","ESA097895","ESA097895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-11 11:44:51-03","UFMG","BHCB","51487","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Pseudolaelia","cipoensis","Pseudolaelia cipoensis",NA,NA,NA,NA,"Lombardi, JA; et al.","3860","2000","04","08","Brasil","Minas Gerais","São Gonçalo do Rio Preto","P.E. do Rio Preto",NA,NA,"Epífita sobre Velloziaceae, folhas cartáceas, frutos imaturos verdes.; vegetação ribeirinha, sobre pedras","BHCB001498","BHCB001498","Pabst","Southern America","-43.3908004760742","-18.0041999816895","26697","auto",NA,NA,NA,NA,NA
"3","2019-10-07 09:20:09-03","UEFS","HUEFS","89689","PreservedSpecimen","Plantae","Angiospermae","Orchidaceae","Pseudolaelia","cipoensis","Pseudolaelia cipoensis",NA,NA,NA,NA,"Ghillany, B.A.de","209","1970","05","15","Brasil","Minas Gerais","Serra do Cipó","Serra do cipó, no alto",NA,NA,NA,"HUEFS0089689",NA,"Pabst",NA,NA,NA,NA,NA,"Lilianae","Asparagales","Holótipo",NA,NA
"4","2019-11-21 10:13:47-03","IBt","SP","402382","S","Plantae",NA,"Orchidaceae","Pseudolaelia","cipoensis","Pseudolaelia cipoensis","Guimarães, LRS","2009","06","19","Souza, VC; et al.","32793","2007","02","19","Brasil","Minas Gerais","Santana de Pirapama","Serra do Cipó, (Serra da Lapa). Distrito de São José da Cachoeira. Trilha da Senhorinha","1300","1300",NA,NA,NA,"Pabst",NA,"-43.7498","-18.9422",NA,NA,NA,NA,NA,"-43.7498","-18.9422"
"5","2019-11-21 10:13:47-03","IBt","SP","179013","S","Plantae",NA,"Orchidaceae","Pseudolaelia","cipoensis","Pseudolaelia cipoensis","Barros, F","1982","09","22","Cordeiro, I; Pirani, JR","CFSC6541","1980","09","06","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km 110",NA,NA,NA,NA,NA,"Pabst",NA,"-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA,NA
"6","2019-11-21 10:13:47-03","IBt","SP","182921","S","Plantae",NA,"Orchidaceae","Pseudolaelia","cipoensis","Pseudolaelia cipoensis","Barros, F","1980","10","30","Barros, F","542",NA,NA,NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Cult. em São Paulo, fl. 30/X/1980",NA,NA,NA,NA,NA,"Pabst",NA,"-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA,NA
