"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","typeStatus","stateProvince","locality","imagecode","infraspecificEpithet","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","individualCount","fieldNumber","class","relatedCatalogItem","sex"
"1","2020-09-23 10:40:47-03","E","E","202685","PreservedSpecimen","Plantae","Leguminosae","Mimosa","skinneri","Mimosa skinneri","Simon, M.F.; Lima, J.C.M.; Eiten, G.; de Carvalho, A.M.","127","1999","02","06","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:216393","<a href=http://data.rbge.org.uk/herb/E00202685 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202685",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01347116","PreservedSpecimen","Plantae","Fabaceae","Mimosa","minima","Mimosa minima","D. Smith","205","1927","05",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1672654' target='other'> <mi>dwc_moreinfo</mi></a>","NY01347116","Magnoliophyta","Fabales","Burkart","isotype","Mato Grosso","[From protologue: Ad nascentes fluminis Paraguay, Rio Anolar [Rio de Anolar near Diamantino], in campis]","NY01347116_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00957556","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri desmodioides","M. M. Arbo","3047","1990","01","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016481' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957556","Magnoliophyta","Fabales","(Benth.) Barneby",NA,"Minas Gerais","BR 050, 5 km al S del Rio Paranahyba, limite estadual Minas Gerais- Goias","NY00957556_01","desmodioides","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00957576","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri desmodioides","H. S. Irwin","18869","1968","01","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016462' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957576","Magnoliophyta","Fabales","(Benth.) Barneby",NA,"Goiás","70 km N. of Corumbá de Goiás on road to Niquelândia, valley of Rio Maranhão. Serra dos Pirineus.",NA,"desmodioides","R. C. Barneby","Cocalzinho de Goiás","-48.63","-15.35","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00957578","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri desmodioides","H. S. Irwin","21728","1968","03","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016470' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957578","Magnoliophyta","Fabales","(Benth.) Barneby",NA,"Goiás","Ca. 24 km S. of Paraíso.","NY00957578_01","desmodioides","R. C. Barneby","Alto Paraíso de Goiás","-47.48","-14.37","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00957582","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri desmodioides","E. L. Taylor","E1287","1983","04","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016496' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957582","Magnoliophyta","Fabales","(Benth.) Barneby",NA,"Maranhão","Transamazonian Highway, BR230 and BR010; Pedra Caida, 35 km. N of Carolina. Area across road from ponto turistico",NA,"desmodioides","R. C. Barneby","Carolina","-47.42","-7.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00957555","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri desmodioides","A. M. V. de Carvalho","2214","1986","02","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016475' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957555","Magnoliophyta","Fabales","(Benth.) Barneby",NA,"Mato Grosso","30 km na estrada Diamantino para Cuiabá","NY00957555_01","desmodioides","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00933285","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri desmodioides","G. Eiten","10053","1969","12","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008974' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933285","Magnoliophyta","Fabales","(Benth.) Barneby",NA,"Tocantins","28.6 km south of city of Paraíso do Norte de Goiás on Belém-Brasília highway. (1.4 km N of center of village of Monte Alegre (formerly Cacete Armado).) West flank of Serra do Serrote","NY00933285_01","desmodioides","R. C. Barneby","Paraíso do Tocantins","-49","-10.4","280","280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00933284","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri desmodioides","G. Eiten","3570","1962","03","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008971' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933284","Magnoliophyta","Fabales","(Benth.) Barneby",NA,"Tocantins","At airport of city of Porto Nacional on the Rio Tocantins","NY00933284_01","desmodioides","R. C. Barneby","Porto Nacional","-48.4169","-10.7083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00957579","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri desmodioides","H. S. Irwin","21728","1968","03","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016472' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957579","Magnoliophyta","Fabales","(Benth.) Barneby",NA,"Goiás","Ca. 24 km S. of Paraíso.",NA,"desmodioides","R. C. Barneby","Alto Paraíso de Goiás","-47.48","-14.37","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
