"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","identifiedBy","maximumElevationInMeters","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1477401","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Aganisia","cyanea","Aganisia cyanea","(Lindl.) Rchb.f.","B. Maguire","27393","1948","11","25","South America","Venezuela","Amazonas","Río Cuao, Río Orinoci. Above Cuao Creek","125","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1807361' target='other'> <mi>dwc_moreinfo</mi></a>","NY01477401","NY01477401_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","482356","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Aganisia","cyanea","Aganisia cyanea","(Lindl.) Rchb.f.","J. M. Poole","1901","1979","07","06","South America","Brazil","Amazonas","Along Rio Marié at Manauná; near waterfall in side stream",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500254' target='other'> <mi>dwc_moreinfo</mi></a>","NY00482356","NY00482356_01","Manaus","-66.75","-0.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1477406","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Aganisia","cyanea","Aganisia cyanea","(Lindl.) Rchb.f.","J. J. Wurdack","43142","1959","06","23","South America","Venezuela","Amazonas","Along Cano Tama-Tama (a blackwater cano on right bank of Río Orinoco just above Tama-Tama)","150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1807449' target='other'> <mi>dwc_moreinfo</mi></a>","NY01477406","NY01477406_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 05:45:00-03","NY","NYBG","1477403","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Aganisia","cyanea","Aganisia cyanea",NA,"L. C. M. Croizat","232","1951","07","20","South America","Venezuela",NA,"Alto Orinoco: Cerro de la Bandera. La Esmeralda",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1807401' target='other'> <mi>dwc_moreinfo</mi></a>","NY01477403","NY01477403_01",NA,NA,NA,"M. W. Chase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1477402","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Aganisia","cyanea","Aganisia cyanea","(Lindl.) Rchb.f.","B. Maguire","37448","1954","01","30","South America","Venezuela","Amazonas","Ríos Pacimoni-Yatua, Casuquiare: Along uppermost Río Yatua above mouth of Río Yacibo.","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1807398' target='other'> <mi>dwc_moreinfo</mi></a>","NY01477402","NY01477402_01",NA,NA,NA,"C. Schweinfurth","140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1477404","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Aganisia","cyanea","Aganisia cyanea","(Lindl.) Rchb.f.","J. J. Wurdack","42938","1959","06","11","South America","Venezuela","Amazonas","Along Cano Temi just above Yavita","130","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1807439' target='other'> <mi>dwc_moreinfo</mi></a>","NY01477404","NY01477404_01",NA,NA,NA,"R. E. Schultes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","482354","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Aganisia","cyanea","Aganisia cyanea","(Lindl.) Rchb.f.","G. T. Prance","15743","1971","10","20","South America","Brazil","Amazonas","Tapuruquara. Island in river",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500259' target='other'> <mi>dwc_moreinfo</mi></a>","NY00482354","NY00482354_01",NA,"-65.0192","-0.4142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","482353","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Aganisia","cyanea","Aganisia cyanea","(Lindl.) Rchb.f.","G. T. Prance","5931","1968","07","13","South America","Brazil","Rondônia","Km. 214-215 Madeira-Mamoré railroad near Abuna.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500258' target='other'> <mi>dwc_moreinfo</mi></a>","NY00482353","NY00482353_01",NA,"-65.2983034","-9.7731893","G. F. J. Pabst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1477407","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Aganisia","cyanea","Aganisia cyanea","(Lindl.) Rchb.f.","B. Maguire","36762","1953","12","12","South America","Venezuela","Amazonas","Río Pacimoni-Yatua, Casiquiare. Along upper-most Río Yatua","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1807366' target='other'> <mi>dwc_moreinfo</mi></a>","NY01477407","NY01477407_01",NA,NA,NA,"C. Schweinfurth","140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","482357","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Aganisia","cyanea","Aganisia cyanea","(Lindl.) Rchb.f.","H. C. de Lima","3363","1987","11","30","South America","Brazil","Amazonas","Alto Rio Negro, acima de Camanaus. Igapo.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500253' target='other'> <mi>dwc_moreinfo</mi></a>","NY00482357","NY00482357_01","São Gabriel da Cachoeira","-66.95","-0.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","482351","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Aganisia","cyanea","Aganisia cyanea","(Lindl.) Rchb.f.","G. T. Prance","20687","1974","03","18","South America","Brazil","Amazonas","Km. 255, south of Igapo Acu.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500255' target='other'> <mi>dwc_moreinfo</mi></a>","NY00482351","NY00482351_01 NY00482351_02","Manaus","-60.025","-3.1019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1477400","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Aganisia","cyanea","Aganisia cyanea","(Lindl.) Rchb.f.","B. Maguire","28028","1948","12","30","South America","Venezuela","Amazonas","Cerro Sipapo (Paráque): at stream side near Base Camp","125","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1807352' target='other'> <mi>dwc_moreinfo</mi></a>","NY01477400","NY01477400_01",NA,NA,NA,"C. Schweinfurth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","482355","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Aganisia","cyanea","Aganisia cyanea","(Lindl.) Rchb.f.","D. G. Campbell","p22392","1974","05","29","South America","Brazil","Pará","Rio Mapueira, 1-2 km. upstream from Rio Trombetas.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500256' target='other'> <mi>dwc_moreinfo</mi></a>","NY00482355","NY00482355_01",NA,"-57.0303","-1.0858",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1477405","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Aganisia","cyanea","Aganisia cyanea","(Lindl.) Rchb.f.","B. Maguire","41651","1957","10","02","South America","Venezuela","Amazonas","Ríos Pacimoni-Yatua, Casiquire: Sabanita on right bank of Río Pacimoni, 12 km. below mouth of Río Yatua.","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1807446' target='other'> <mi>dwc_moreinfo</mi></a>","NY01477405","NY01477405_01",NA,NA,NA,"C. Schweinfurth","140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","482352","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Aganisia","cyanea","Aganisia cyanea","(Lindl.) Rchb.f.","G. T. Prance","4905","1968","05","30","South America","Brazil","Amazonas","Manaus-Itacoatiara Road, Km. 211",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500257' target='other'> <mi>dwc_moreinfo</mi></a>","NY00482352","NY00482352_01","Manaus","-58.7302494","-3.0615389","G. F. J. Pabst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1477495","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Warrea","tricolor","Warrea tricolor unijugata","(Regel) Rchb.f.","Collector unspecified","s.n.",NA,NA,NA,"South America",NA,NA,NA,NA,"photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1810201' target='other'> <mi>dwc_moreinfo</mi></a>","NY01477495","NY01477495_02",NA,NA,NA,"E. A. Christenson",NA,"unijugata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","1477495","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Warrea","tricolor","Warrea tricolor unijugata","(Regel) Rchb.f.","Collector unspecified","s.n.",NA,NA,NA,"South America",NA,NA,NA,NA,"photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1810201' target='other'> <mi>dwc_moreinfo</mi></a>","NY01477495","NY01477495_02",NA,NA,NA,"E. A. Christenson",NA,"unijugata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1477497","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Warrea","warreana","Warrea warreana","(Lodd. ex Lindl.) C.Schweinf.","E. Jara P.","D. E. Bennett No.4061","1987","11","27","South America","Peru","Huánuco","Above Tingo María","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1810208' target='other'> <mi>dwc_moreinfo</mi></a>","NY01477497","NY01477497_02","Leoncio Prado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
