"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","imagecode","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","coordinatePrecision","geoFlag","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","04034763","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","P. Acevedo-Rodríguez","16723","2017","09","05","South America","Brazil","Mato Grosso do Sul","Corumbá","along Paraguay River north of Corumbá","-57.6775","-18.9622","96","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4337944' target='other'> <mi>dwc_moreinfo</mi></a>","NY04034763",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","04034783","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","P. Acevedo-Rodríguez","16738","2017","09","06","South America","Brazil","Mato Grosso do Sul","Corumbá","along Paraguay River north of Corumbá.","-57.6739","-18.8892","90","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4337964' target='other'> <mi>dwc_moreinfo</mi></a>","NY04034783",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","04034784","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","P. Acevedo-Rodríguez","16738","2017","09","06","South America","Brazil","Mato Grosso do Sul","Corumbá","along Paraguay River north of Corumbá.","-57.6739","-18.8892","90","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4337965' target='other'> <mi>dwc_moreinfo</mi></a>","NY04034784",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00984673","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","G. T. Prance","26070","1979","06","07","South America","Brazil","Mato Grosso",NA,"Fazenda Acurizal, Rio Paraguai","-57.53","-17.87",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131050' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984673","R. H. Maxwell","NY00984673_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00984672","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","G. G. Hatschbach","40610","1977","12","14","South America","Brazil","Mato Grosso do Sul","Iguatemi","Porto Frangeli. Margens rio Paraná","-54.5608","-23.6806",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131036' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984672","G. G. Hatschbach","NY00984672_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-12 16:06:15-03","CPAN-UFMS","COR","9397","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","Damasceno-Júnior, G. A.; Bortolotto, I. M.; Ishii, I. H.; Nakajima, J. N.; Sciamareli, A.; Assis, E. L. M.; Velasques, J. S.; Gonçalves, P.V.; Cruz, H. D.; Porfirio, G. E. O.; Rodriguez, D. P.; Nascimento, V. L.; Alves, F. M. & Sales, J. L.","2688","2002","10","23",NA,"Brasil","Mato Grosso do Sul","Corumbá","Porto Mangueira; entrada do corixo Bonfim","-57.435833","-18.263611","100",NA,"Trepadeira; flor lilás Habito: Trepadeira",NA,"Damasceno-Júnior, G. A.",NA,"57º26'9''W","18º15'49''S","100",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-26 18:08:13-03","CPAN-UFMS","COR","5799","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","V.J.Pott et al.","3599","1998","08","26",NA,"Brasil","Mato Grosso do Sul","Rio Negro","Rio Negro saída p/ bandeirantes, antes da cascata do Kubota. Cerrado, rebrota; Arenoso; Plano.","-55.017778","-19.439444",NA,NA,"Com Flor: roxa Habito: Arbusto escandente 1.5-1.7 alt.",NA,"V.J.Pott",NA,"55º1'4''W","19º26'22''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-12 16:06:15-03","CPAN-UFMS","COR","7621","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","Santos, M.","10","2001","04","20",NA,"Brasil","Mato Grosso do Sul","Corumbá","Morro do bairro Popular Nova; rua Minas Gerais","-57.648611","-19.025278","210",NA,"Liana; flor roxa Habito: Liana",NA,"Santos, M.",NA,"57º38'55''W","19º1'31''S","210",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-12 16:06:15-03","CPAN-UFMS","COR","4554","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","Ana Caroline; Maria Eletícia","13","1997","06","16",NA,"Brasil","Mato Grosso do Sul","Corumbá","Bairro Vitória Régia","-57.634167","-19.019722","180",NA,"Liana; flor roxa; anual Habito: Liana",NA,"Damasceno-Júnior, G. A.",NA,"57º38'3''W","19º1'11''S","180",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-12 16:06:15-03","CPAN-UFMS","COR","17786","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","P. Acevedo Rodriguez; J. M. Antunes and M. V. S. Urquiza","16738","2017","09","06",NA,"Brasil","Mato Grosso do Sul","Corumbá","Along Paraguay River north of Corumbá.","-57.673889","-18.889167","90",NA,"ca. 8 m long; stem cylindrical, ca. 1 cm diam.; legumes plagiotropic. Habito: Twining vine",NA,"M.T. Strong",NA,"57º40'26''W","18º53'21''S","90","2018",NA,NA,NA,NA,NA,NA,NA,NA
