"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01192887","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Ecclinusa","ramiflora","Ecclinusa ramiflora","Mart.","A. Alves-Araújo","A. M. Amorim","6457","2006","10","13","South America","Brazil","Bahia","Porto Seguro","Estrada que liga Eunápolis a Porto Seguro. RPPN Estação Veracruz. Coletas efetuadas na parcela 2 e na estrada de acesso","-39.2022","-16.4192","50","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396310' target='other'> <mi>dwc_moreinfo</mi></a>","NY01192887","NY01192887_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01176619","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Ecclinusa","ramiflora","Ecclinusa ramiflora","Mart.",NA,"Adams","47b","1940","11","20","South America","Brazil","Amazonas",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409242' target='other'> <mi>dwc_moreinfo</mi></a>","NY01176619","NY01176619_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","821524","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Ecclinusa","ramiflora","Ecclinusa ramiflora","Mart.","A. Alves-Araújo","A. M. Amorim","465","1991","11","20","South America","Brazil","Bahia",NA,"Ramal a esquerda na estrada Ubaitaba/Itacaré a 4 km do loteamento da Marambaia.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=898104' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821524","NY00821524_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","375021","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Ecclinusa","ramiflora","Ecclinusa ramiflora","Mart.","T. D. Pennington","R. P. Belém","1481","1965","08","09","South America","Brazil","Espírito Santo",NA,"Rodovia BR-5, 5 km S de Morro D'Anta. Beira da estrada","-39.95","-18.32",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=303658' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375021","NY00375021_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","471931","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Ecclinusa","ramiflora","Ecclinusa ramiflora","Mart.","T. D. Pennington","M. Silveira","1411","1996","11","15","South America","Brazil","Acre","Manoel Urbano","Rio Purus, colocaçao Lago Novo, próximo ao roçado.","-69.2594","-8.8392",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=464480' target='other'> <mi>dwc_moreinfo</mi></a>","NY00471931","NY00471931_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","867588","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Ecclinusa","ramiflora","Ecclinusa ramiflora","Mart.","T. D. Pennington","B. A. Krukoff","5449","1933","08","11","South America","Brazil","Acre",NA,"Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","-69","-9.33",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=303687' target='other'> <mi>dwc_moreinfo</mi></a>","NY00867588","NY00867588_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","375022","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Ecclinusa","ramiflora","Ecclinusa ramiflora","Mart.","A. Alves-Araújo","B. Braga","5554","1969","01","23","South America","Brazil","São Paulo","Sao Paulo","Serra da Cantareira, Pinheirinho","-46.63","-23.5403",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=303681' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375022","NY00375022_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01176623","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Ecclinusa","ramiflora","Ecclinusa ramiflora","Mart.","T. D. Pennington","N. T. da Silva","2502","1969","07","28","South America","Brazil","Pará",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409250' target='other'> <mi>dwc_moreinfo</mi></a>","NY01176623","NY01176623_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","375008","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Ecclinusa","ramiflora","Ecclinusa ramiflora","Mart.","T. D. Pennington","R. de Lemos Fróes","20048","1942","11",NA,"South America","Brazil","Bahia","Itabuna","Itabuna, abeceira do Rio Una","-39.2803","-14.7858",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=303655' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375008","NY00375008_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01176629","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Ecclinusa","ramiflora","Ecclinusa ramiflora","Mart.","T. D. Pennington","R. de Lemos Fróes","35","1941","04","30","South America","Brazil","Amazonas",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409357' target='other'> <mi>dwc_moreinfo</mi></a>","NY01176629","NY01176629_01 NY01176629_02 NY01176629_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
