"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","recordNumber","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","geoFlag","continentOcean","preparationType","barcode","imagecode","fieldNumber","infraspecificEpithet","previousCatalogNumber","typeStatus"
"1","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2923","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Gomesa","hydrophila","Gomesa hydrophila","(Barb.Rodr.) M.W.Chase & N.H.Williams","Carlos A. Ferreira Jr.","2009","11","13","Carlos Alberto F. Jr.;","2009","11","13","Brasil","Minas Gerais","Santana do Pirapama","Caminho da Cachoeira do Inhamé","43°47.379'","18°54.500'","1222","1222","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2366","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Gomesa","hydrophila","Gomesa hydrophila","(Barb.Rodr.) M.W.Chase & N.H.Williams","Carlos A. Ferreira Jr.","2012","04","18","Carlos Alberto F. Jr.; Maria Guadalupe, Fernando Fernandes, Juliana Ordones","2012","04","18","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo da Gerais","19º 02' 25S","43º 42' 28W","1365","1365","254","CAF511","-43.7144012451172","-19.1688995361328","26557","2","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","482483","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Gomesa","hydrophila","Gomesa hydrophila","(Barb.Rodr.) M.W.Chase & N.H.Williams",NA,NA,NA,NA,"P. K. H. Dusén","1908","12","08","Brazil","Paraná","Contenda","Serrinha",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=413575' target='other'> <mi>dwc_moreinfo</mi></a>","7317","-49.5344","-25.6758",NA,NA,NA,"South America","sheet","NY00482483","NY00482483_01",NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","482475","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Gomesa","hydrophila","Gomesa hydrophila","(Barb.Rodr.) M.W.Chase & N.H.Williams",NA,NA,NA,NA,"P. K. H. Dusén","1914","11","21","Brazil","Paraná","Jaguariaíva",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=413570' target='other'> <mi>dwc_moreinfo</mi></a>","15957","-49.7056","-24.2511",NA,NA,NA,"South America","sheet","NY00482475","NY00482475_01",NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","482476","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Gomesa","hydrophila","Gomesa hydrophila","(Barb.Rodr.) M.W.Chase & N.H.Williams",NA,NA,NA,NA,"G. Jönsson","1914","10","22","Brazil","Paraná","Ponta Grossa","Capao Grande",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=413571' target='other'> <mi>dwc_moreinfo</mi></a>","1322a","-50.1617","-25.095",NA,NA,NA,"South America","sheet","NY00482476","NY00482476_01",NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","482477","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Gomesa","hydrophila","Gomesa hydrophila","(Barb.Rodr.) M.W.Chase & N.H.Williams",NA,NA,NA,NA,"P. K. H. Dusén","1908","12","08","Brazil","Paraná","Contenda","Serrinha",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=413574' target='other'> <mi>dwc_moreinfo</mi></a>","7317","-49.5344","-25.6758",NA,NA,NA,"South America","sheet","NY00482477","NY00482477_01",NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","482474","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Gomesa","hydrophila","Gomesa hydrophila","(Barb.Rodr.) M.W.Chase & N.H.Williams",NA,NA,NA,NA,"P. K. H. Dusén","1910","11","01","Brazil","Paraná","Jaguariaíva",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=413569' target='other'> <mi>dwc_moreinfo</mi></a>","10554","-49.7056","-24.2511",NA,NA,NA,"South America","sheet","NY00482474","NY00482474_01",NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","482473","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Gomesa","hydrophila","Gomesa hydrophila","(Barb.Rodr.) M.W.Chase & N.H.Williams",NA,NA,NA,NA,"P. K. H. Dusén","1911","02","17","Brazil","Paraná","Ponta Grossa","Desvio Ribas",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=413568' target='other'> <mi>dwc_moreinfo</mi></a>","11544","-50.1617","-25.095",NA,NA,NA,"South America","sheet","NY00482473","NY00482473_01",NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","482481","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Gomesa","hydrophila","Gomesa hydrophila","(Barb.Rodr.) M.W.Chase & N.H.Williams",NA,NA,NA,NA,"G. G. Hatschbach","1970","11","17","Brazil","Paraná","Jaguariaíva",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=413577' target='other'> <mi>dwc_moreinfo</mi></a>","25440","-49.7056","-24.2511",NA,NA,NA,"South America","sheet","NY00482481","NY00482481_01",NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","822512","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Gomesa","hydrophila","Gomesa hydrophila","(Barb.Rodr.) M.W.Chase & N.H.Williams",NA,NA,NA,NA,"W. Ganev","1994","06","08","Brazil","Bahia","Abaíra","Serra dos Cristais",NA,NA,"1960","1960","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=912437' target='other'> <mi>dwc_moreinfo</mi></a>","3334","-41.87","-13.33",NA,NA,NA,"South America","sheet","NY00822512","NY00822512_01",NA,NA,NA,NA
