"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","recordNumber","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","individualCount","fieldNumber","typeStatus","sex"
"1","2021-04-05 14:34:00-03","UNESC","CRI","7752","PreservedSpecimen","Plantae","Poaceae","Paspalum","vaginatum","Paspalum vaginatum","Sw.","Tais B. Guimarães","2005","02","16","Daniel B. Falkenberg; Tais B. Guimarães","2005","02","19","Brasil","Santa Catarina","Florianópolis","Parque Municipal das Dunas da Lagoa da Conceição.","-48.48","-27.592222","48º28'48''W","27º35'32''S","5","5","Habito: herbácea","CRI007166","CRI007166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:40-03","E","E","514347","PreservedSpecimen","Plantae","Gramineae","Paspalum","vaginatum","Paspalum vaginatum",NA,NA,NA,NA,NA,"Buchtien, Otto",NA,NA,NA,"CL","Región X [Los Lagos]","Provincia de Valdivia","Valdivia; ? ?",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00514347 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514347",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:541735",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:40-03","E","E","514346","PreservedSpecimen","Plantae","Gramineae","Paspalum","vaginatum","Paspalum vaginatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00514346 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514346",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:541734",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:39:40-03","E","E","514345","PreservedSpecimen","Plantae","Gramineae","Paspalum","vaginatum","Paspalum vaginatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00514345 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514345",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:541733",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:39:40-03","E","E","514344","PreservedSpecimen","Plantae","Gramineae","Paspalum","vaginatum","Paspalum vaginatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00514344 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514344",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:541732",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:39:40-03","E","E","514348","PreservedSpecimen","Plantae","Gramineae","Paspalum","vaginatum","Paspalum vaginatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AR","Provincia de Buenos Aires",NA,"Buenos Ayres",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00514348 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514348",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:541736",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00896031","PreservedSpecimen","Plantae","Poaceae","Paspalum","vaginatum","Paspalum vaginatum","Sw.",NA,NA,NA,NA,"W. J. Burchell","1826","01","18","Brazil","Rio de Janeiro",NA,"In a walk to the village of Sao Cristovao (section of Rio where the Museu Nacional is located) and Engenho Velho","-43.22","-22.9",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969193' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896031","NY00896031_01","South America","sheet",NA,"Magnoliophyta","Poales","1565",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01066949","PreservedSpecimen","Plantae","Poaceae","Paspalum","vaginatum","Paspalum vaginatum","Sw.","M. A. Chase",NA,NA,NA,"G. Gardner","1838",NA,NA,"Brazil","Pernambuco",NA,"In Brasilia prope Pernambuco",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1205134' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066949","NY01066949_01","South America","sheet",NA,"Magnoliophyta","Poales","1187",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","762635","PreservedSpecimen","Plantae","Poaceae","Paspalum","vaginatum","Paspalum vaginatum","Sw.","J. R. Swallen",NA,NA,NA,"R. Reitz","1952","12","23","Brazil","Santa Catarina","Florianópolis","Rio Tavares, Ilha S. Catarina","-48.4776878","-27.6525515",NA,NA,"1","1","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=206000' target='other'> <mi>dwc_moreinfo</mi></a>","NY00762635","NY00762635_01","South America","sheet",NA,"Magnoliophyta","Poales","5113",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","762628","PreservedSpecimen","Plantae","Poaceae","Paspalum","vaginatum","Paspalum vaginatum","Sw.","M. A. Chase",NA,NA,NA,"P. von Luetzelburg","1910",NA,NA,"Brazil","Rio de Janeiro",NA,"Praia S. Joao",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=205995' target='other'> <mi>dwc_moreinfo</mi></a>","NY00762628","NY00762628_01","South America","sheet",NA,"Magnoliophyta","Poales","26",NA,NA,NA,NA,NA,NA,NA,NA,NA
