"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","971661","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","A. Rapini","A. M. Giulietti","CFCR9854","1986","07","23","South America","Brazil","Minas Gerais","Grão Mogol","Córrego Escurinha.","-42.8894","-16.5594","740","740","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1090754' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971661","NY00971661_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00982237","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","T. U. P. Konno","H. S. Irwin","23515","1969","02","18","South America","Brazil","Minas Gerais","Cristália","Serra do Espinhaço, Rio Itacambiruçu, ca. 15 km north of Grão Mogol","-42.9786","-16.6349","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102398' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982237","NY00982237_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","971663","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","T. U. P. Konno","H. S. Irwin","23566","1969","02","19","South America","Brazil","Minas Gerais","Cristália","Serra do Espinhaço, Rio Itacambiruçu, ca. 10 km west of Grão Mogol, road to Cristália","-42.94755","-16.62225","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1090767' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971663","NY00971663_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00982238","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","T. U. P. Konno","H. S. Irwin","23566","1969","02","19","South America","Brazil","Minas Gerais","Cristália","Serra do Espinhaço, Rio Itacambiruçu, ca. 10 km west of Grão Mogol, road to Cristália","-42.94755","-16.62225","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1018312' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982238","NY00982238_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","971662","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","A. Rapini","M. L. Kawasaki","1022","1997","09","28","South America","Brazil","Minas Gerais","Botumirim","A sudeste da cidade, ca. de 5 km na estrada para a Fazenda Cachoeira bordejando o Ribeirão Noruega.","-43.0106","-16.8722","650","650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1090760' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971662","NY00971662_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2422786","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella",NA,"M. M. Pignal","3323","2008","07","04","South America","Brazil","Bahia","Tanhaçu","District of Suçuarana. Serra Escura","-41.1031","-14.2225","646",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2673759' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422786","NY02422786_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:34:22-03","EAO","IAN","131104","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asclepiadaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","Konno, T","Irwin, HS; Santos, RR dos","23515","1969","02","18","Southern America","Brasil","Minas Gerais","Serra do Espinhaço","Slender climber in cerrado.Sandy slopes with sandstone outcrops and adjacent rocky river margin, Rio Itacambiruçu ca. 15km north of Crão Mogol.",NA,NA,"950","950",NA,"Shrubs, the stems to ca. 3m long, exuding white latex. Corolla cream.","IAN131104",NA,"2001","07","10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:34:22-03","EAO","IAN","131111","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asclepiadaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","Konno, T","Irwin, HS; Santos, RR dos","23566","1969","02","19","Southern America","Brasil","Minas Gerais","Serra do Espinhaço","Dense thickets in cerrado. Rocky river bank, rio Itacambiruçu, and adjacent rocky cerrado, ca. 10km west of Grão Mogol, road to Cristália.",NA,NA,"900","900",NA,"Twining to ca. 3m high, exuding copious white latex. Corolla cream. Fruit green, nitid.","IAN131111",NA,"2001","07","10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 10:59:43-03","ESALQ","ESA","97445","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","Farinaccio, M.A.","Farinaccio, M.A. ; et. al.","680.0","2004","03","30",NA,"Brasil","Minas Gerais","Grão-Mogol",NA,NA,NA,NA,NA,NA,NA,"ESA097445","ESA097445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 10:59:43-03","ESALQ","ESA","73964","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","Konno, T.","Souza, V.C.; Souza, J.P.; Romão, G.O.; Araújo, A.O.; Elias, S.I.","25713.0","2001","07","11",NA,"Brasil","Minas Gerais","Grão Mogol","Estrada Grão Mogol - Montes Claros, ca. 6 km de Grão Mogol. 16o35'33,0S, 42o54'50,4W. Campo rupestre com elementos de caatinga.","-42.8897018432617","-16.5594005584717",NA,NA,NA,"Escandente; flores creme.","ESA073964","ESA073964",NA,NA,NA,"67219","auto",NA,NA,NA,NA,NA,NA,NA
"11","2020-11-04 10:59:43-03","ESALQ","ESA","87044","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","Konno, T.","Souza, V.C. et al.","25713.0","2001","07","11",NA,"Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"ESA087044","ESA087044","2003","10","15","67219","auto",NA,NA,NA,NA,NA,NA,NA
"12","2021-01-14 15:20:55-03","MN","R","198660","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","Rapini, A.","Fiaschi, P. 166; Pirani, J.R.; Lima, L.R. & Cometti, J.P.",NA,"2000","03","21",NA,"Brasil","Minas Gerais","Grão Mogol",NA,"-42.933333","-16.566667",NA,NA,NA,NA,NA,NA,"2000","05",NA,NA,NA,"42°56'W","16°34' S",NA,NA,NA,NA,NA
"13","2021-01-14 15:20:55-03","MN","R","198702","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","Rapini, A.","Rapini, A.; Kawasaki, M.L. & Mello-Silva, R. 347",NA,"1997","09","28",NA,"Brasil","Minas Gerais","Cristália",NA,"-42.8622016906738","-16.8003005981445","700","700",NA,NA,NA,NA,"1999",NA,NA,"30029","auto",NA,NA,NA,NA,NA,NA,NA
