"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","year","month","day","stateProvince","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","279084","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart. & Zucc.","not a type","F. Sellow","s.n.","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=645208' target='other'> <mi>dwc_moreinfo</mi></a>","NY00279084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:20:56-03","MN","R","11760","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Glaziou, A.F.M.","16258",NA,"Brasil",NA,NA,"Plantas do Brasil Central","R000011760","1886","01","22","Minas Gerais","R000011760_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:20:56-03","MN","R","95257","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Ule, E.H.G.","2636",NA,"Brasil",NA,NA,NA,NA,"1892","02",NA,"Minas Gerais",NA,"Rapini, A.","1998","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-20 21:15:34-03","UFV","VIC","19509","PreservedSpecimen","Plantae",NA,NA,"Asclepiadaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Araújo, R.S. de; Coser, T.S. dos","s.n.",NA,"Brasil","Parque Estadual do Itacolomi (PEI), Estrada do Pico do Itacolomi. Campo rupestre.",NA,"Erva vistosa, latescente (látex branco), flores brancas, crescendo em solo arenoso.","VIC019509","2007","03","13","Minas Gerais","VIC019509","Konno, T.","2020","04","21","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA
"5","2019-11-21 14:30:21-03","UFJF","CESJ","9149","PreservedSpecimen","Plantae","Angiosperma",NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"L. Krieger; Marilene","CESJ9149","América do Sul","Brasil","Serra de Ibitipoca",NA,NA,"CESJ009149","1970","05","15","Minas Gerais","CESJ009149","J.Fontella","1994","04","26","Lima Duarte","-43.793098449707","-21.8425006866455","30417","auto",NA,NA,NA,NA,NA,NA
"6","2020-03-12 10:28:54-03","UFOP","OUPR","35089","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Pira, J.C.; Echternacht, L. & Rosa, R.M.S.","45",NA,"Brasil","Parque Estadual do Itacolomi, Inicio da estrada do Morro do Cachorro, proximo a porteira de acesso.",NA,"Arbusto ca de 50 - 80 cm, flores apresentando a corola creme pubescente, corona creme/translúcidas com interior esverdeado e cálice verde pusbescente",NA,"2019","03","07","Minas Gerais",NA,"Pira, J.C.","2019","03","07","Ouro Preto","-43.505278","-20.430278",NA,NA,"-43.505278","-20.430278","1717","1717",NA,NA
"7","2020-03-12 10:28:54-03","UFOP","OUPR","35098","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Pira, J.C.; Rosa, R.M.S.","54",NA,"Brasil","Parque Estadual do Itacolomi, Em afloramento rochoso.",NA,"Arbusto ca de 50 - 80 cm, flores apresentando a corola creme pubescente, corona creme/translúcidas com interior esverdeado e cálice verde pusbescente",NA,"2019","04","12","Minas Gerais",NA,"Pira, J.C.","2019","04","12","Ouro Preto","-43.488611","-20.438333",NA,NA,"-43.488611","-20.438333","1639","1639",NA,NA
"8","2020-03-12 10:28:54-03","UFOP","OUPR","35101","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Pira, J.C.; Rosa, R.M.S.","57",NA,"Brasil","Parque Estadual do Itacolomi, Beira da estrada para Fazenda do Manso.",NA,"Liana ca 40 cm, com folhas diminutas revolutas, apresentando lactescência",NA,"2019","04","26","Minas Gerais",NA,"Pira, J.C.","2019","04","26","Ouro Preto","-43.506667","-20.416944",NA,NA,"-43.506667","-20.416944","1315","1315",NA,NA
"9","2020-03-12 10:28:54-03","UFOP","OUPR","35111","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Pira, J.C.; Rosa, R.M.S.","67",NA,"Brasil","Parque Estadual do Itacolomi, Trilha do Pico Itacolomi. Saindo a direita da trilha proximo a Pedra do Porco, a ca de 900 m.",NA,"Arbusto ca de 50 - 80 cm, flores apresentando a corola creme pubescente, corona creme/translúcidas com interior esverdeado e cálice verde pusbescente",NA,"2019","05","29","Minas Gerais",NA,"Pira, J.C.","2019","05","29","Ouro Preto","-43.49","-20.438333",NA,NA,"-43.49","-20.438333","1650","1650",NA,NA
"10","2019-11-05 16:43:01-03","UFOP","OUPR","21388","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Messias, M.C.T.B.; Silva, J.L. & Tonaco, A.C.","2002",NA,"Brasil","Bento Rodrigues, Estrada para Santa Rita Durão",NA,"Liana. Flores amarelo claras. Área com afloramento quartzítico, campo rupestre",NA,"2008","03","28","Minas Gerais",NA,"Rapini, A.","2009",NA,NA,"Mariana","-43.4160995483398","-20.377799987793","33524","auto",NA,NA,NA,NA,NA,NA
"11","2019-11-05 16:43:01-03","UFOP","OUPR","836","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Damazio, L.B.","s.n.",NA,"Brasil","Alto do Itaculumi.",NA,"Ex Herb. Escola de Minas n. 955.",NA,NA,NA,NA,"Minas Gerais",NA,NA,NA,NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA
"12","2019-11-05 16:43:01-03","UFOP","OUPR","19424","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Ataíde, E.S.","38",NA,"Brasil","Antônio Pereira, Samarco - Alegria 7",NA,"Erva-rasteira. Latescente, flor amarela. Campo ferruginoso.",NA,"2007","04","20","Minas Gerais",NA,"Messias, M.C.T.B.",NA,NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA
"13","2019-11-05 16:43:01-03","UFOP","OUPR","832","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Badini, J.","s.n.",NA,"Brasil","Campos ácidos do Itacolomy.",NA,"Prostrada, flores branco-amareladas. Entre gramíneas.",NA,"1983","05","05","Minas Gerais",NA,"Peron, M.V.","1987","02","19","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA
"14","2019-11-05 16:43:01-03","UFOP","OUPR","32009","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Pedrosa, L.G.","875",NA,"Brasil","Parque Estadual do Itacolomi",NA,"Erva prostrada. Flores alvas. Campo rupestre.",NA,"2018","09","30","Minas Gerais",NA,"Pedrosa, L.G.","2018","09","30","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA
"15","2019-11-05 16:43:01-03","UFOP","OUPR","32594","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Pedrosa, L.G.","1208",NA,"Brasil","Parque Estadual do Itacolomi",NA,"Erva rasteira. Flores brancas.",NA,"2018","12","13","Minas Gerais",NA,"Pedrosa, L.G.","2018","12","13","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA
"16","2019-12-18 15:50:33-03","UFOP","OUPR","8013","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Sousa, H.C. de","231",NA,"Brasil","Parque Estadual do Itacolomi",NA,"Erva ca. 20cm, coletado em lugar sujeito a encharcamento temporário, flores brancas. Campo gramináceo.",NA,"1999","03","10","Minas Gerais",NA,"Sousa, H.C. de","1999","03","10","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA
"17","2019-11-05 16:43:01-03","UFOP","OUPR","833","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Badini, J.","s.n.",NA,"Brasil","Parque Estadual do Itacolomi, Serra do Itacolomi.",NA,"Erva prostrada, flores brancas. Campo rupestre, entre rochedos.",NA,"1984","11","14","Minas Gerais",NA,"Peron, M.V.","1987","02","19","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA
"18","2019-11-05 16:43:01-03","UFOP","OUPR","834","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Badini, J.","s.n.",NA,"Brasil","Pico do Itacolomy.",NA,"Trepadeira, flores brancas.",NA,"1983","05","15","Minas Gerais",NA,"Peron, M.V.","1987","02","19","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA
