"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","minimumElevationInMeters","maximumElevationInMeters","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","relationshipType","eventTime","fieldNumber","individualCount"
"1","2021-04-05 14:25:40-03","UNESC","CRI","13888","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","Fabio Longen","2018","06","02","Alexandre Medeiros","994","2018","06","02","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras APA Costa Brava","-48.585","-26.999167","48º35'6''W","26º59'57''S","Frutos verdes Habitat: Terrestre Habito: Arbórea","CRI012499",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:40-03","UNESC","CRI","9718","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","A. Korte","2009","10","19","A. Korte; A. Kniess","546","2009","10","19","Brasil","Santa Catarina","Ituporanga","Rio do Norte.","-49.503056","-27.360833","49º30'11''W","27º21'39''S","Floresta Ombrófila Densa","CRI005379","708","708","CRI005379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:47-03","UNESC","CRI","9027","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","Fábio C. S. Vieira","2020","04","20","M. Verdi; D.h. klettenberg e G. Klemz","4065","2010","02","19","Brasil","Santa Catarina","Lauro Muller","Rio Oratório/ Cabo Aereo.","-49.499722","-28.35","49º29'59''W","28º21'0''S","Floresta Ombrófila Densa Habitat: entorno do fragmento Habito: arvoreta","CRI005446","449","449","CRI005446",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:40-03","UNESC","CRI","14495","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","Sobral, M","2010","10","25","Korte, A.; Kniess, A.","4702","2010","10","20","Brasil","Santa Catarina","Santo Amaro da Imperatriz","Rio da Nova Descoberta. Rio da Nova Descoberta.","-48.780833","-27.81","48º46'51''W","27º48'36''S","Florística IFFSC 255 (Arbórea) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arbórea;","CRI013621","558","558","CRI013621",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:47-03","UNESC","CRI","8455","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","Vanilde C. Zanette",NA,NA,NA,"Régis Cardoso da Silva",NA,"2009","01","01","Brasil","Rio Grande do Sul","Torres","Parque Estadual Itapeva.","-49.727222","-29.335833","49º43'38''W","29º20'9''S",NA,"CRI005376","36","36","CRI005376",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:40-03","UNESC","CRI","9720","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","A. A. de Oliveira","2010","01","25","T. J. Cadorin; C.P.L. Oliveira & E. Boing","354","2009","10","28","Brasil","Santa Catarina","Angelina","Rio Fortuna.","-49.05","-27.45","49º3'0''W","27º27'0''S","Floresta Ombrófila Densa","CRI005381","822","822","CRI005381",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:47-03","UNESC","CRI","1585","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","M. S. Silva",NA,NA,NA,"R. Negrelle; C. Londero","745","1993","02","17","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","Habito: árvore","CRI005378","9","9","CRI005378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:40-03","UNESC","CRI","8937","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","Ronaldo dos Santos Junior","2011","07","22","Ronaldo dos Santos Junior","49","2011","07","22","Brasil",NA,"Brasil","Interior da Mata, Norte da Lagoa dos Quadros.","-50.071111","-29.585833","50º4'16''W","29º35'9''S","Floresta Paludosa","CRI005388","4","4","CRI005388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:47-03","UNESC","CRI","1693","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","Marcos Sobral","1993","08","12","Vanilde Citadini-Zanette; J. L. Waechter e R. dos Santos",NA,"1993","08","06","Brasil","Santa Catarina","Orleans",NA,"-49.291667","-28.359444","49º17'30''W","28º21'34''S",NA,"CRI005389",NA,NA,"CRI005389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:47-03","UNESC","CRI","12053","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","Guilherme Lodetti",NA,NA,NA,"Guilherme Alves Elias; Guilherme Lodetti; Robson dos Santos & Peterson Teodoro Padilha",NA,"2016","07","28","Brasil","Santa Catarina","Grão Pará",NA,"-49.392222","-28.156389","49º23'32''W","28º9'23''S","Habito: Arbóreo","CRI010231","450","450","CRI010231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:33:47-03","UNESC","CRI","1744","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","Marcos Sobral",NA,NA,NA,"V. Citadini-Zanette; R. dos Santos & A. J. de Aguiar","1722","1993","01","15","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","Habito: árvore","CRI005380","110","110","CRI005380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:33:47-03","UNESC","CRI","1720","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","Marcos Sobral",NA,NA,NA,"R. dos Santos; A. J. de Aguiar",NA,"1993","05","28","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","Habito: árvore","CRI005419","110","110","CRI005419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:33:47-03","UNESC","CRI","1746","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","Marcos Sobral",NA,NA,NA,"V. Citadini-Zanette; R. dos Santos & A. J. de Aguiar","1724","1993","03","21","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","Habito: árvore","CRI005377","110","110","CRI005377",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:25:40-03","UNESC","CRI","9701","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","M. Verdi","2010","01","25","M. Verdi; D. H. Klettenberg & G. Klemz","3292","2009","11","30","Brasil","Santa Catarina","Nova Veneza","São Bento Baixo.","-49.499444","-28.710833","49º29'58''W","28º42'39''S","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI005382","48","48","CRI005382",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:33:47-03","UNESC","CRI","7673","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","Vanilde Citadini-Zanette","2008","04","20","Jean Gabriel Cemin",NA,"2007","09","28","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S",NA,"CRI005387",NA,NA,"CRI005387",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-05 14:33:47-03","UNESC","CRI","1743","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","Marcos Sobral",NA,NA,NA,"V. Citadini-Zanette; C. M. Martinello & R. dos Santos","1721","1993","03","12","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S",NA,"CRI005420","110","110","CRI005420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
