"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","identifiedBy","stateProvince","county","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","individualCount","fieldNumber","order","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","1666391","PreservedSpecimen","Plantae","Marchantiophyta","Cephaloziaceae","Fuscocephaloziopsis","crassifolia","Fuscocephaloziopsis crassifolia","(Lindenb. & Gottsche) Váňa & L.Söderstr.","J.-P. Frahm","1448","1982","09","16","South America","Peru","Dep. San Martin, Prov. Lamas, StraBe Yurimaguas-Tarapoto km 95, s-ex-ponierter, baumfarnreicher Bergregenwald 500 msm.","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1431476' target='other'> <mi>dwc_moreinfo</mi></a>","NY01666391","NY01666391_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1666392","PreservedSpecimen","Plantae","Marchantiophyta","Cephaloziaceae","Fuscocephaloziopsis","crassifolia","Fuscocephaloziopsis crassifolia","(Lindenb. & Gottsche) Váňa & L.Söderstr.","S. R. Gradstein","4242","1982","09","23","South America","Colombia","Dept. CUNDINAMARCA Paramo de Chirgaza, around lagunita along trail to St. Juanito. In Weinmannia relict woodland. Alt. 3400 m","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1431477' target='other'> <mi>dwc_moreinfo</mi></a>","NY01666392","NY01666392_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1666389","PreservedSpecimen","Plantae","Marchantiophyta","Cephaloziaceae","Fuscocephaloziopsis","crassifolia","Fuscocephaloziopsis crassifolia","(Lindenb. & Gottsche) Váňa & L.Söderstr.","J. Weir","s.n.",NA,NA,NA,"South America","Colombia","Andes of Bogota","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1431474' target='other'> <mi>dwc_moreinfo</mi></a>","NY01666389","NY01666389_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1666390","PreservedSpecimen","Plantae","Marchantiophyta","Cephaloziaceae","Fuscocephaloziopsis","crassifolia","Fuscocephaloziopsis crassifolia","(Lindenb. & Gottsche) Váňa & L.Söderstr.","J.-P. Frahm","1630","1982","09","16","South America","Peru","Dep. San Martin, Prov. Lamas, StraBe Yurimaguas-Tarapoto km 95, s-ex-ponierter, baumfarnreicher Bergregenwald 500 msm.","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1431475' target='other'> <mi>dwc_moreinfo</mi></a>","NY01666390","NY01666390_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1666393","PreservedSpecimen","Plantae","Marchantiophyta","Cephaloziaceae","Fuscocephaloziopsis","crassifolia","Fuscocephaloziopsis crassifolia","(Lindenb. & Gottsche) Váňa & L.Söderstr.","S. P. Churchill","21621","2002","04","23","South America","Bolivia","Cochabamba: Carrasco Municipio Pojo. Estacion Experimental Sacta. Sandero que va a la parcela permanente de Fomabo. Bosqse amazonico. Hepatica sobre raiz de arbol. 250 m.","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1431478' target='other'> <mi>dwc_moreinfo</mi></a>","NY01666393","NY01666393_01","-64.766667","-17.083333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1666388","PreservedSpecimen","Plantae","Marchantiophyta","Cephaloziaceae","Fuscocephaloziopsis","crassifolia","Fuscocephaloziopsis crassifolia","(Lindenb. & Gottsche) Váňa & L.Söderstr.","J. Weir","s.n.",NA,NA,NA,"South America","Colombia","Andes Bogotensis","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1431473' target='other'> <mi>dwc_moreinfo</mi></a>","NY01666388","NY01666388_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1666383","PreservedSpecimen","Plantae","Marchantiophyta","Cephaloziaceae","Fuscocephaloziopsis","crassifolia","Fuscocephaloziopsis crassifolia","(Lindenb. & Gottsche) Váňa & L.Söderstr.","J. Weir","s.n.",NA,NA,NA,"South America","Colombia","Andes of Bogota","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1431467' target='other'> <mi>dwc_moreinfo</mi></a>","NY01666383","NY01666383_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1666379","PreservedSpecimen","Plantae","Marchantiophyta","Cephaloziaceae","Fuscocephaloziopsis","crassifolia","Fuscocephaloziopsis crassifolia","(Lindenb. & Gottsche) Váňa & L.Söderstr.","A. Fendler","s.n.",NA,NA,NA,"South America","Trinidad and Tobago",NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1431451' target='other'> <mi>dwc_moreinfo</mi></a>","NY01666379","NY01666379_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1666387","PreservedSpecimen","Plantae","Marchantiophyta","Cephaloziaceae","Fuscocephaloziopsis","crassifolia","Fuscocephaloziopsis crassifolia","(Lindenb. & Gottsche) Váňa & L.Söderstr.","W. Jameson","s.n.",NA,NA,NA,"South America","Ecuador","Pichincha","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1431472' target='other'> <mi>dwc_moreinfo</mi></a>","NY01666387","NY01666387_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1666382","PreservedSpecimen","Plantae","Marchantiophyta","Cephaloziaceae","Fuscocephaloziopsis","crassifolia","Fuscocephaloziopsis crassifolia","(Lindenb. & Gottsche) Váňa & L.Söderstr.","J. Weir","s.n.",NA,NA,NA,"South America","Colombia","Andes of Bogota","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1431466' target='other'> <mi>dwc_moreinfo</mi></a>","NY01666382","NY01666382_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-08-27 12:06:23-03","IAP","PACA-BRYOPHYTES","117202","PreservedSpecimen","Plantae",NA,"Cephaloziaceae","Cephalozia","crassifolia","Cephalozia crassifolia","(Lindb. & Gottesche) Fulford","Vital, D.M.","7624","1977","08","01",NA,"Brasil","ca 7km N.NW of the town",NA,"sp132829&nf;associado a Kurzia trichoclados, Telaranea nematodes Habitat: In partial shade, on banks along a stream","PACA117202",NA,"-43.321111","-19.414444","Grolle, R.","MG","Itambé do Mato Dentro","43°19'16.0W","19°24'52.0S","1020","1020",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-11-21 14:49:51-03","UFJF","CESJ","70601","PreservedSpecimen","Plantae","Hepática","Cephaloziaceae","Cephalozia","crassifolia","Cephalozia crassifolia","(Lindenb. & Gottsche) Fulford","D.M. Vital","7624","1977","08","01","América do Sul","Brasil","Ca. 7 km N.NW of the town",NA,"Associado a Kurzia trichoclados (K. Müller) Grolle, Telaranea nematodes (Gott. Ex Aust.) Howe. In a partial shade, on banks along a stream, duplicata SP132829","CESJ070601",NA,"-43.191667","-19.245278","R. Grolle","Minas Gerais","Itambé do Mato Dentro","-43.191667","-19.245278","1020","1020",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-06-30 18:33:01-03","UFJF","CESJ","54443-B","PreservedSpecimen","Plantae","Hepática","Cephaloziaceae","Cephalozia","crassifolia","Cephalozia crassifolia","(Lindenb. & Gottsche) Fulford","T.S. Siviero; H.C.S. Gomes; K.B.L. Baldini","174","2009","09","02","América do Sul","Brasil","Parque Estadual do Ibitipoca, Entrada da Gruta dos Moreiras",NA,"Sobre rocha. Em mistura com Fissidens elegans (A). Planta em A","CESJ54443B",NA,"-43.793098449707","-21.8425006866455","H.C.S. Gomes; A.P. Luizi-Ponzo","Minas Gerais","Lima Duarte",NA,NA,NA,NA,"2009","12","09","30417","auto",NA,NA,NA,NA
"14","2019-05-02 10:52:43-03","IBt","SP-BRYOPHYTA","132829","S","Plantae",NA,"Cephaloziaceae","Cephalozia","crassifolia","Cephalozia crassifolia","(Lindb. & Gottsche) Fulford","Vital, D.M.","7624","1977","08","01","Southern America","BRASIL",NA,NA,"associado a Kurzia trichoclados (K. Müller) Grolle, Telaranea Nematodes (Gott. ex Aust.) Howe. In partial shade, on banks along a stream, ca. 7 Km N.NW of the town","SP069465",NA,"-43.321111","-19.414444","Grolle, R.","Minas Gerais","Itambé do Mato Dentro","-43.321111","-19.414444","1020","1020",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-05-02 10:52:43-03","IBt","SP-BRYOPHYTA","133911","S","Plantae",NA,"Cephaloziaceae","Cephalozia","crassifolia","Cephalozia crassifolia","(Lindb. & Gottsche) Fulford","Vital, D.M.","9652","1980","11","22","Southern America","BRASIL",NA,NA,"em um barranco bem ensombreado, ao longo de um riacho, próximo da Represa Nova","SP070699",NA,"-45.516667","-22.696667",NA,"São Paulo","Campos do Jordão","-45.516667","-22.696667","1600","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-05-02 10:52:43-03","IBt","SP-BRYOPHYTA","190514","S","Plantae",NA,"Cephaloziaceae","Cephalozia","crassifolia","Cephalozia crassifolia","(Lindb. & Gottsche) Fulford","Vital, D.M.","11345","1984","03","14","Southern America","BRASIL","Ilha do Cardoso",NA,"On base of thin tree trunk, in a low and sparse forest with a terrestrial substratum of bromeliads, at the Morro do Cardoso.","SP085501",NA,"-47.939722","-25.016389","Peralta, D.F.","São Paulo","Cananéia","-47.939722","-25.016389","20","20","2008","05",NA,NA,NA,NA,NA,NA,NA
"17","2019-05-02 10:52:43-03","IBt","SP-BRYOPHYTA","191094","S","Plantae",NA,"Cephaloziaceae","Cephalozia","crassifolia","Cephalozia crassifolia","(Lindb. & Gottsche) Fulford","Yano, O.; Wanderley, M.G.L.","8969","1984","06","12","Southern America","BRASIL","Ilha do Cardoso",NA,"Sobre pau podre, mata úmida.","SP086080",NA,"-47.939722","-25.016389","Peralta, D.F.","São Paulo","Cananéia","-47.939722","-25.016389","20","20","2008","05",NA,NA,NA,NA,NA,NA,NA
"18","2019-05-02 10:52:43-03","IBt","SP-BRYOPHYTA","220549","S","Plantae",NA,"Cephaloziaceae","Cephalozia","crassifolia","Cephalozia crassifolia","(Lindb. & Gottsche) Fulford","Yano, O.; Wanderley, M.G.L.","10856","1987","09","09","Southern America","BRASIL","Serra da Bandeirinha, posto do IBDF",NA,"mata ciliarsolo arenosoassociado a Leptoscyphus amphibolius Grolle","SP091239",NA,"-43.714444","-19.168889","Peralta, D.F.","Minas Gerais","Santana do Riacho","-43.714444","-19.168889","700","700","2006","08",NA,NA,NA,NA,NA,NA,NA
"19","2018-02-11 10:53:00-02","MO","MOBOT","101029263","PreservedSpecimen","Plantae",NA,"Cephaloziaceae","Fuscocephaloziopsis","crassifolia","Fuscocephaloziopsis crassifolia","(Lindenb. & Gottsche) Vána & L. Söderstr.","Thomas van der Hammen|Roberto Jaramillo M.","van der Hammen 1719","1967","7","21","South America","Colombia","Arriba de la Ceiba, en el camino se Sácama a Los Llanos Orientales.",NA,NA,NA,NA,"-72.1833333","6.0666667","S.R. Gradstein","Boyacá",NA,NA,NA,"1000.00000000",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"20","2018-02-11 11:41:00-02","MO","MOBOT","101029270","PreservedSpecimen","Plantae",NA,"Cephaloziaceae","Fuscocephaloziopsis","crassifolia","Fuscocephaloziopsis crassifolia","(Lindenb. & Gottsche) Vána & L. Söderstr.","Jaime Aguirre|S.R. Gradstein|B.O. van Zanten","Aguirre Ceballos 6360","1984","9","29","South America","Colombia","Vereda Candelaria. Finca Merenberg.",NA,NA,NA,NA,"-76.15","2.4166667","E. Linares","Huila","La Plata",NA,NA,"2400.00000000",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
