"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","recordNumber","continentOcean","verbatimLongitude","verbatimLatitude","preparationType","previousCatalogNumber","phylum","order","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","class","relatedCatalogItem","typeStatus","relationshipType","fieldNumber","individualCount"
"1","2021-04-05 14:26:11-03","UNESC","CRI","12675","PreservedSpecimen","Plantae","Urticaceae","Urera","caracasana","Urera caracasana","(Jacq.) Griseb.","Aline Votri Guislon & Renato colares","2017","09","18","Alexandre Medeiros","2017","07","07","Brasil","Santa Catarina","Balneário Camboriú","Taquaras.","-48.6347007751465","-26.9906005859375","8793","Flor laranja. Coleta 548.","CRI010889","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:44:13-03","E","E","50396","PreservedSpecimen","Plantae","Urticaceae","Urera","caracasana","Urera caracasana",NA,NA,NA,NA,NA,"Dubs, Balthasar","1995","10","19","BR","Mato Grosso",NA,"Serra das Araras, Vale do Currupira, mun., Alto Paraguai.","-56.85","-15.166667",NA,"<a href=http://data.rbge.org.uk/herb/E00050396 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00050396",NA,"1848","E. Tropical South America","-56.850000","-15.166667","herbarium specimen of unspecif","BGBASE:57275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:44:13-03","E","E","293824","PreservedSpecimen","Plantae","Urticaceae","Urera","caracasana","Urera caracasana",NA,NA,NA,NA,NA,"Lewis, G.P.; Lozano, P.","1996","11","09","EC","Zamora-Chinchipe",NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00293824 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00293824",NA,"2768","W. Tropical South America",NA,NA,"herbarium specimen of unspecif","BGBASE:308663",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:44:13-03","E","E","50378","PreservedSpecimen","Plantae","Urticaceae","Urera","caracasana","Urera caracasana",NA,NA,NA,NA,NA,"Dubs, B.","1995","01","24","BR",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00050378 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00050378",NA,"1770","E. Tropical South America",NA,NA,"herbarium specimen of unspecif","BGBASE:57339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:44:13-03","E","E","293825","PreservedSpecimen","Plantae","Urticaceae","Urera","caracasana","Urera caracasana",NA,NA,NA,NA,NA,"Lewis, G.P.; Lozano, P.","1996","11","09","EC","Zamora-Chinchipe",NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00293825 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00293825",NA,"2768","W. Tropical South America",NA,NA,"herbarium specimen of unspecif","BGBASE:308664",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:44:13-03","E","E","198803","PreservedSpecimen","Plantae","Urticaceae","Urera","caracasana","Urera caracasana",NA,NA,NA,NA,NA,"Pennington, T.D.; Daza, A.","1998","11","19","PE",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00198803 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00198803",NA,"16442","W. Tropical South America",NA,NA,"herbarium specimen of unspecif","BGBASE:208409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2282861","PreservedSpecimen","Plantae","Urticaceae","Urera","caracasana","Urera caracasana","(Jacq.) Gaudich. ex Griseb.",NA,NA,NA,NA,"A. S. L. da Silva","1977","10","30","Brazil","Pará",NA,"Altamira, EMBRAPA, experimental Station; Transamazonica, km 23, Altamira-Itaituba","-52.3978758","-3.271835",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2457730' target='other'> <mi>dwc_moreinfo</mi></a>","NY02282861",NA,"188","South America",NA,NA,"sheet",NA,"Magnoliophyta","Rosales","NY02282861_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01021855","PreservedSpecimen","Plantae","Urticaceae","Urera","caracasana","Urera caracasana","(Jacq.) Gaudich. ex Griseb.","M. H. Nee",NA,NA,NA,"J. A. Ratter","1976","12","30","Brazil","Goiás","Padre Bernardo","Fazenda Pau Ferro","-48.58","-15.5",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1119646' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021855",NA,"R4344","South America",NA,NA,"sheet",NA,"Magnoliophyta","Rosales","NY01021855_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2282856","PreservedSpecimen","Plantae","Urticaceae","Urera","caracasana","Urera caracasana","(Jacq.) Gaudich. ex Griseb.",NA,NA,NA,NA,"B. A. Krukoff","1936","09","11","Brazil","Amazonas","São Paulo de Olivença","Basin of Rio Solimoes, near Palmares.","-69.5048332","-4.696879",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2457725' target='other'> <mi>dwc_moreinfo</mi></a>","NY02282856",NA,"8052","South America",NA,NA,"sheet",NA,"Magnoliophyta","Rosales","NY02282856_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","573531","PreservedSpecimen","Plantae","Urticaceae","Urera","caracasana","Urera caracasana","(Jacq.) Gaudich. ex Griseb.","C. C. Berg",NA,NA,NA,"D. C. Daly","1999","03","24","Brazil","Acre","Santa Rosa do Purus","Rio Purus, left bank, Seringal Santa Helena.","-70.1769","-9.1303",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492674' target='other'> <mi>dwc_moreinfo</mi></a>","NY00573531",NA,"10022","South America",NA,NA,"sheet",NA,"Magnoliophyta","Rosales","NY00573531_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
