"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","verbatimLongitude","verbatimLatitude","dayIdentified","fieldNumber"
"1","2020-09-23 10:40:11-03","E","E","276307","PreservedSpecimen","Plantae","Lacistemataceae","Lacistema","serrulatum","Lacistema serrulatum","Luschnath","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:286842","<a href=http://data.rbge.org.uk/herb/E00276307 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00276307",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","390495","PreservedSpecimen","Plantae","Lacistemataceae","Lacistema","serrulatum","Lacistema serrulatum","H. C. de Lima","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=223006' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390495","Magnoliophyta","Malpighiales","Mart.","H. C. de Lima","2167","1984","10","14","Rio de Janeiro","Magé","Paraiso, Area do Centro de Primatologia do RJ","-43.0406","-22.6531","190","190","NY00390495_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","390496","PreservedSpecimen","Plantae","Lacistemataceae","Lacistema","serrulatum","Lacistema serrulatum","W. Mantovani","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=223005' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390496","Magnoliophyta","Malpighiales","Mart.","W. Mantovani","932","1980","08","07","São Paulo","Moji-Guaçu","Mogi-Guaçú, Martinho Prado, Reserva Biológica da Fazenda Campininha","-47.164784","-22.242395",NA,NA,"NY00390496_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","390497","PreservedSpecimen","Plantae","Lacistemataceae","Lacistema","serrulatum","Lacistema serrulatum","H. M. de Souza","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=223007' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390497","Magnoliophyta","Malpighiales","Mart.",NA,"s.n.","1970","10","06","São Paulo","Campinas","Campinas; nativo em mata úmida próximo ao aereo porto Vira Copos","-47.06","-22.9",NA,NA,"NY00390497_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:17:47-03","UFBA","ALCB","5905","PreservedSpecimen","Plantae","Lacistemataceae","Lacistema","serrulatum","Lacistema serrulatum","Krug, HP","Southern America","Brasil",NA,NA,NA,"ALCB044428","Dicotyledon",NA,"Mart.","Lima, AS","4816","1939","09","24","São Paulo","Campinas","Fazenda Sant' Ana","-47.060001373291","-22.8999996185303",NA,NA,"ALCB044428","1939","11","23900","auto",NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:54:29-03","NBC","NL-BOTANY","L 0793866","PreservedSpecimen","Plantae","Lacistemataceae","Lacistema","serrulatum","Lacistema serrulatum","Martius CFP von","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200793866 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0793866",NA,"Malpighiales","Mart.",NA,NA,"1817","01","01","Rio de Janeiro",NA,"near Mandiocca at the foot of the Organ Mts.",NA,NA,NA,NA,"NL-L0793866",NA,NA,NA,NA,"Magnoliopsidae","holotype",NA,NA,NA,NA,NA
"7","2020-02-08 09:54:29-03","NBC","NL-BOTANY","L.1538871","PreservedSpecimen","Plantae","Lacistemataceae","Lacistema","serrulatum","Lacistema serrulatum","Carauta JPP","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1538871 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1538871",NA,"Malpighiales","Mart.","Sleumer HO",NA,"1978","06","28","Rio de Janeiro",NA,"Rj, Ilha Grande, na estrada entre a Praia de Abraac e a Cclonia Penal, lado Nordesta da Ilha.",NA,NA,NA,NA,"NL-L1538871",NA,NA,NA,NA,"Magnoliopsidae",NA,"L 0793865",NA,NA,NA,NA
"8","2021-03-01 16:32:00-03","UNICAMP","UEC","22701","S","Plantae","Lacistemataceae","Lacistema","serrulatum","Lacistema serrulatum","Leitão Filho, HF; Shepherd, GJ; Martins, FR; et al.",NA,"Brazil",NA,NA,"Arbusto c. 2mts, frutos vinosos com sementes de arilo branco, em mata próxima de campo rupestre.","UEC018199","Magnoliopsida",NA,"Mart.",NA,"12085","1980","12","11","Minas Gerais","Lavras","Reser. Biolog. de Poço Bonito.","-44.999698638916","-21.2453002929688",NA,NA,"UEC018199",NA,NA,"20044","auto",NA,NA,NA,NA,NA,NA,NA
"9","2019-11-06 09:55:53-03","UFOP","OUPR","22199","PreservedSpecimen","Plantae","Lacistemataceae","Lacistema","serrulatum","Lacistema serrulatum","Silva, J.L.",NA,"Brasil",NA,NA,"Arbusto",NA,NA,NA,"Mart.",NA,"s.n.",NA,NA,NA,"Minas Gerais","Mariana","Águas Claras","-43.4160995483398","-20.377799987793",NA,NA,NA,NA,NA,"33524","auto",NA,NA,NA,NA,NA,NA,NA
"10","2021-02-12 18:12:10-03","UFES","VIES","36957","S","Plantae","Lacistemataceae","Lacistema","serrulatum","Lacistema serrulatum","Gurtler, J.; Dutra, S.C.",NA,"Brasil",NA,NA,NA,"VIES036957",NA,NA,"Mart.",NA,"JAC 475","2018","02","21","Espírito Santo","Nova Venécia","Fazenda Santa Rita. Ao pé da pedra da torre (P7).","-40.439444","-18.782222",NA,NA,"VIES036957",NA,NA,NA,NA,NA,NA,NA,"40º26'22''W","18º46'56''S",NA,NA
