"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","1843307","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","mello-barretoi","Lychnophora mello-barretoi","G.M.Barroso","J. Semir","H. S. Irwin","20643","1968","02","22","South America","Brazil","Minas Gerais","Vacaria, summit of Serra do Cipó, km. 145 (ca. 170km N. of Belo Horizonte).","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2049926' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843307","NY01843307_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1843278","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","mello-barretoi","Lychnophora mello-barretoi","G.M.Barroso","J. Semir","G. G. Hatschbach","35359","1974","10","26","South America","Brazil","Minas Gerais","Serra do Cipó.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2049883' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843278","NY01843278_01","Santana do Riacho","-43.539757","-19.388386",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:01:55-03","ESALQ","ESA","9940","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Lychnocephalus","mellobarretoi","Lychnocephalus mellobarretoi","(G.M.Barroso) Loeuille, Semir & Pirani","Gomes, F.M.B.","Souza, V.C. ; Sakuragui, C.M.","3365.0","1993","05","01",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"ESA009940","ESA009940","Santana do Riacho","-43.7144012451172","-19.1688995361328","2019","10","04","26557","auto",NA,NA,NA
"4","2020-08-10 12:05:31-03","UFPI","TEPB","3926","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","mello-barretoi","Lychnophora mello-barretoi","G.M.Barroso",NA,"M.S.F.Silvestre","173","1978","11","02",NA,"Brasil","Minas Gerais","Km 131",NA,NA,NA,"flor lilás <ll>dwc_commonname:</ll> Pau-de-brinco",NA,NA,"Serra do Cipó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-20 10:05:57-03","UNICAMP","UEC","109085","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","mello-barretoi","Lychnophora mello-barretoi","G.M.Barroso","Mansanares, ME","Mansanares, ME; Vitta, FA; Belinello, R","15","1998","10","07",NA,"Brazil","Minas Gerais","Serra do Cipó, próximo à casa do IBAMA.",NA,NA,NA,NA,"UEC121026","UEC121026","Cardeal Mota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:24:33-03","UNICAMP","UEC","127271","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","mello-barretoi","Lychnophora mello-barretoi","G.M.Barroso","Semir, J; Monge, M","Pirani, JR; Groppo Jr, M; Calió, MFA","5074","2002","06","08",NA,"Brazil","Minas Gerais","Rodovia Belo Horizonte - Conceição do Mato Dentro, MG-010, Serra do Cipó, sede do IBAMA do Alto do Palácio, a NE da sede.","1300","1300",NA,"Arbusto de copa globosa, 80 cm alt., flores lilases.; Campo rupestre, ao sol.","UEC121018","UEC121018","Santana do Riacho","-43.7144012451172","-19.1688995361328","2012",NA,NA,"26557","auto",NA,NA,NA
"7","2020-12-21 16:16:30-03","MBM","MBM","56794","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","mello-barretoi","Lychnophora mello-barretoi","G.M. Barroso","Semir, J.","Joly, A.B.; Semir, J.; Semir, J.","3169","1982","08","22","Southern America","Brazil","Minas Gerais","Ao longo da rodovia Lagoa Santa Conceição do Mato Dentro",NA,NA,NA,NA,"MBM056794","MBM056794","Jaboticatubas","-43.7449989318848","-19.513599395752",NA,NA,NA,"31264","auto",NA,NA,NA
"8","2020-12-21 16:16:30-03","MBM","MBM","32171","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","mello-barretoi","Lychnophora mello-barretoi","G.M. Barroso","Semir, J.","Hatschbach, G.","35359","1974","10","26","Southern America","Brazil","Minas Gerais","Serra do Cipó",NA,NA,NA,NA,"MBM032171","MBM032171","Santana do Riacho","-43.7144012451172","-19.1688995361328",NA,NA,NA,"26557","auto",NA,NA,NA
"9","2020-12-11 11:33:10-03","UFMG","BHCB","335","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","mello-barretoi","Lychnophora mello-barretoi","G.M.Barroso",NA,"Barroso, GM","s.n.","1938","02","02","Southern America","Brasil","Minas Gerais","Serra do Cipó, km 138",NA,NA,NA,"Arbusto 1m.; Campo úmido","BHCB000058","BHCB000058",NA,NA,NA,"1995","09",NA,NA,NA,"Syntypus",NA,NA
"10","2020-12-11 11:33:10-03","UFMG","BHCB","54508","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","mello-barretoi","Lychnophora mello-barretoi","G.M.Barroso",NA,"Sampaio, AJ","6735","1934","02","03","Southern America","Brasil","Minas Gerais","Serra do Cipó, km 130, estrada do Pilar",NA,NA,NA,"Arbusto de 2m, muito frequente, flor violácea.; Campo na pedra","BHCB000059","BHCB000059","Santa Luzia","-43.8513984680176","-19.7696990966797",NA,NA,NA,"19939","auto","Syntypus",NA,NA
"11","2020-12-11 11:33:10-03","UFMG","BHCB","54509","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","mello-barretoi","Lychnophora mello-barretoi","G.M.Barroso",NA,"Barreto, HLM","8971","1938","11","02","Southern America","Brasil","Minas Gerais","Serra do Cipó, km 138, estrada do Pilar",NA,NA,NA,"Arbusto de 1m, muito frequente, flor violácea.; Campo úmido","BHCB000060","BHCB000060","Santa Luzia","-43.8513984680176","-19.7696990966797","1956",NA,NA,"19939","auto","Syntypus",NA,NA
"12","2021-01-27 15:22:00-03","MO","MOBOT","101245703","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnocephalus","mellobarretoi","Lychnocephalus mellobarretoi","(G.M. Barroso) Loeuille, Semir & Pirani","fide Loeuille et al.","H.L. Mello Barreto","Barreto 8971","1938","11","2","South America","Brazil","Minas Gerais","Serra do Cipó, km 138, estrada do Pilar",NA,NA,NA,NA,NA,NA,"Santa Luzia","-43.8513984680176","-19.7696990966797",NA,NA,NA,"19939","auto","Holotype","1",NA
"13","2010-10-13 09:12:00-03","MO","MOBOT","100308223","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","mellobarretoi","Lychnophora mellobarretoi","G.M. Barroso","J. Semir","Gert G. Hatschbach","Hatschbach 35359","1974","10","26","South America","Brazil","Minas Gerais","Serra do Cipó.",NA,NA,NA,NA,NA,NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328",NA,NA,NA,"26557","auto",NA,"1",NA
"14","2011-02-17 10:58:00-02","MO","MOBOT","100308203","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","mellobarretoi","Lychnophora mellobarretoi","G.M. Barroso","J. Semir","Howard S. Irwin|H. Maxwell|Dieter C. Wasshausen","Irwin 20643","1968","2","22","South America","Brazil",NA,"Sandstone, outcrops, Vacaria, summit of Serra do Cipó, Minas Gerais, km 145 (ca. 170 km N of Belo Horizonte).","1500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
