"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","phylum","order","continentOcean","preparationType","class","coordinatePrecision","geoFlag","individualCount","typeStatus"
"1","2021-04-05 14:33:22-03","UNESC","CRI","3158","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","trigona","Rhipsalis trigona","Pfeiff.","Jorge Luiz Waechter","Vanilde Citadini-Zanette; Clair Maria Martinello","1774","1993","09","13","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","300","300","Habitat: interior de mata atlântica secundária de encosta Habito: epífita","CRI006319","CRI006319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:22-03","UNESC","CRI","1623","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","trigona","Rhipsalis trigona","Pfeiff.","J. L. Waechter","V. Citadini-Zanette; et al.","1668","1992","11","19","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","Habito: epífita","CRI006320","CRI006320","1993","07","26",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:06-03","UNESC","CRI","3268","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","trigona","Rhipsalis trigona","Pfeiff.","Jorge Luiz Waechter","Robson dos Santos; Aurélio José de Aguiar & Clair Maria Martinello","118","1993","05","28","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI001661","CRI001661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","645790","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","trigona","Rhipsalis trigona","Pfeiff.","N. P. Taylor; D. C. Zappi","O. Handro","348","1953","05",NA,"Brazil","São Paulo","Sao Paulo","Nativa no Jardim Botânico","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=561285' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645790","NY00645790_01",NA,NA,NA,"Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","645789","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","trigona","Rhipsalis trigona","Pfeiff.","A. Castellanos","R. Reitz","8919","1959","12","11","Brazil","Santa Catarina","Sombrio","Pirao Frio, Sombrio","-49.6167","-29.1142",NA,NA,"10","10","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=561283' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645789","NY00645789_01",NA,NA,NA,"Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","645795","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","trigona","Rhipsalis trigona","Pfeiff.",NA,"J. N. Rose","20851","1915","08","14","Brazil","São Paulo",NA,"Garden of Museo Paulista",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=561289' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645795","NY00645795_01",NA,NA,NA,"Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","645793","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","trigona","Rhipsalis trigona","Pfeiff.",NA,"A. Löfgren","45400","1917",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=561287' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645793","NY00645793_01",NA,NA,NA,"Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","645792","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","trigona","Rhipsalis trigona","Pfeiff.",NA,"R. Wettstein","s.n.","1907",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=561286' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645792","NY00645792_01",NA,NA,NA,"Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","645791","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","trigona","Rhipsalis trigona","Pfeiff.","A. Castellanos","R. Reitz","8778","1959","04","24","Brazil","Santa Catarina","Lauro Muller","Rio do Meio, Lauro Muller","-49.3967","-28.3931",NA,NA,"350","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=561284' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645791","NY00645791_01",NA,NA,NA,"Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","645794","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","trigona","Rhipsalis trigona","Pfeiff.",NA,"J. N. Rose","43174","1915",NA,NA,"Brazil","Rio de Janeiro",NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,"Cultivated from original collection, Rose 20851. Flowered Dec 1920 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=561288' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645794","NY00645794_01",NA,NA,NA,"Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA
