"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","identifiedBy","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","recordNumber","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","class","relatedCatalogItem","typeStatus","previousCatalogNumber","individualCount","fieldNumber","minimumDepthInMeters","maximumDepthInMeters"
"614","2020-12-21 16:35:50-03","MBM","MBM","146404","PreservedSpecimen","Plantae","Moraceae","Coussapoa","microcarpa","Coussapoa microcarpa","(Schott) Rizz.","Queiróz, L.P. de","1989","07","19","Brazil","Bahia","Atibaia","Parque Municipal da Grota Funda",NA,NA,NA,NA,NA,NA,"MBM146404","MBM146404","Queiróz, L.P. de",NA,NA,NA,NA,"2205",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"615","2020-12-21 16:46:44-03","MBM","MBM","179399","PreservedSpecimen","Plantae","Urticaceae","Coussapoa","microcarpa","Coussapoa microcarpa","(Schott) Rizzini","Oliveira, A.A.","2016","12","09","Brazil","Paraná","Guaraqueçaba","Conglomerado: 380; subunidade: 1; subparcela: 6; indivíduo: 26","-48.42","-25.2","-48.42","-25.2",NA,NA,"MBM179399","MBM179399","Marinero, F.","Árvore 22 m; flores verdes.","2017","03","27","4244",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"616","2020-12-21 16:46:44-03","MBM","MBM","387891","PreservedSpecimen","Plantae","Urticaceae","Coussapoa","microcarpa","Coussapoa microcarpa","(Schott) Rizzini","Brotto, M.L.; Motta, J.T.; Silva, J.M.; Vaz, J.; Motta, J.T.; Silva, J.M.; Vaz, J.","2013","12","11","Brazil","Paraná","Cerro Azul","Ribeirão do Rocha","-49.131306","-24.715389","-49.131306","-24.715389","261","261","MBM387891","MBM387891","Brotto, M.L.","Árvore de 5m; flores esverdeadas.; Floresta Ombrófila Densa.","2014",NA,NA,"1525",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"617","2020-12-21 16:35:50-03","MBM","MBM","400831","PreservedSpecimen","Plantae","Moraceae","Coussapoa","microcarpa","Coussapoa microcarpa","(Schott) Rizz.","Augusto-Silva, M.","2012","08","29","Brazil","Santa Catarina","Joinville","Linha de transmissão elétrica","-48.898056","-26.182222","-48.898056","-26.182222","53","53","MBM400831","MBM400831","Barboza, E.","Arborea com 5 m de altura, CAP 16 cm.; Floresta Ombrófila Densa Aluvial.","2015",NA,NA,"82",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"618","2020-12-21 16:46:44-03","MBM","MBM","402343","PreservedSpecimen","Plantae","Urticaceae","Coussapoa","microcarpa","Coussapoa microcarpa","(Schott) Rizzini","Coelho, L.F.M.; Farache, F.H.A.; Farache, F.H.A.","2009","07","01","Brazil","Santa Catarina","Indaial","Rua Rinoldt Shoeder, na margem do rio Encano","-49.18375","-26.986028","-49.18375","-26.986028","170","170","MBM402343","MBM402343","Coelho, L.F.M.","Hemiepífita de vida livre com ~30+30+100cm de DAP e m de altura, frutos imaturos verdes a verdes amarelados.",NA,NA,NA,"48",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"619","2020-12-21 16:46:44-03","MBM","MBM","407338","PreservedSpecimen","Plantae","Urticaceae","Coussapoa","microcarpa","Coussapoa microcarpa","(Schott) Rizzini","Caxambu, M.G.; Siqueira, E.L.; Siqueira, E.L.","2012","11","03","Brazil","Paraná","Pontal do Paraná","Balneário de Canoas","-48.466611","-25.678833","-48.466611","-25.678833","11","11","MBM407338","MBM407338","Caxambu, M.G.","Árvore heliófita, ca.5m, com frutos imaturos verdes.; Relevo: plano; Vegetação: Floresta Ombrófila Densa das Terras Baixas.","2012","11","26","4360",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"620","2020-12-21 16:46:44-03","MBM","MBM","407351","PreservedSpecimen","Plantae","Urticaceae","Coussapoa","microcarpa","Coussapoa microcarpa","(Schott) Rizzini","Caxambu, M.G.","2014","10","31","Brazil","Paraná","Guaraqueçaba","Rio Serra Negra, Proximidades da Propriedade do Sr. Werner.","-48.422583","-25.193556","-48.422583","-25.193556","12","12","MBM407351","MBM407351","Caxambu, M.G.","Árvore ca. 10m. Frutos imaturos verdes e maduros alaranjados.; Relevo: Suave-ondulado; Vegetação: Floresta Ombrófila Densa das Terras Baixas.","2014","12","01","5721",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"621","2020-12-21 16:46:44-03","MBM","MBM","409066","PreservedSpecimen","Plantae","Urticaceae","Coussapoa","microcarpa","Coussapoa microcarpa","(Schott) Rizzini","Völtz, R.R.; Brotto, M.L.; Silva, J.M.; Brotto, M.L.; Silva, J.M.","2017","02","22","Brasil","Paraná","Adrianópolis","João Surá","-48.58","-24.682222","-48.58","-24.682222","125","125","MBM409066","MBM409066","Völtz, R.R.","Árvore 10 m alt.; frutos verdes.; Floresta Ombrófila Densa Submontana secundária, as margens do rio Pardo.","2017","02","22","1189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"622","2020-12-21 16:35:50-03","MBM","MBM","418007","PreservedSpecimen","Plantae","Moraceae","Coussapoa","microcarpa","Coussapoa microcarpa","(Schott) Rizz.","Gonzatti, F.","2015","01","20","Brazil","Rio Grande do Sul","Osório","Lagoa das Traíras","-50.189722","-29.848333","-50.189722","-29.848333","1","1","MBM418007",NA,"Gonzatti, F.","Árvore.; Interior de mata de Restinga.","2015","01","20","1538",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"623","2020-12-21 16:46:44-03","MBM","MBM","419058","PreservedSpecimen","Plantae","Urticaceae","Coussapoa","microcarpa","Coussapoa microcarpa","(Schott) Rizzini","Antoniuk-Bonato, R.G.; Brotto, M.L.; Brotto, M.L.","2018","11","26","Brazil","Paraná","Paranaguá","Ilha das Cobras","-48.430833","-25.481389","-48.430833","-25.481389",NA,NA,"MBM419058",NA,"Brotto, M.L.","Árvore, 10m de altura. Estípula apical presente. Flores verdes.; Interior da floresta. Floresta Ombrófila Densa Sub-montana.","2018","12","06","44",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
