"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","recordNumber","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag"
"1","2021-03-04 11:04:47-03","UFRB","HURB","5352","PreservedSpecimen","Plantae","Cactaceae","Uebelmannia","buiningii","Uebelmannia buiningii","Donald","Teixeira, V.D.","2013","04","15","Brasil","Minas Gerais","Itamarandiba","Ribeirão de Areia, Parque Estadual da Serra Negra;","-43.922778","-18.008611","43°55'22,00 W","18°0'31,00 S","HURB000005352",NA,NA,NA,NA,NA,NA
"2","2020-06-15 15:29:46-03","UNESP-RC","HRCB","13031","PreservedSpecimen","Plantae","Cactaceae","Uebelmannia","buiningii","Uebelmannia buiningii","Donald","Eggli, U.","1988","08","04","Brasil","Minas Gerais","Itamarandiba",NA,"-42.8588981628418","-17.8572006225586",NA,NA,NA,"1074","39586","1000","1000","only few plants na very few seedlings. Epidermis brownish to brownish purple, dull or somewhat glossy, stem tissue withous gum ducts","auto"
