"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","dayIdentified","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1146292","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","glanduloso-marginata","Symplocos glanduloso-marginata","Hoehne","P. W. Fritsch","1808","2005","10","15","South America","Brazil","Paraná","Piraquara","Along trail on W slope of Morro Canal. Entrance to the trail is along a road ca. 12 km from BR-277 (the turnoff from BR-277 is ca. 500 m before the Olicia Rodoviaria Federal). Serra do Mar.","-48.98728","-25.51461","1147","1147","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1336715' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146292","NY01146292_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2063502","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","glanduloso-marginata","Symplocos glanduloso-marginata","Hoehne","A. M. Charnei","504","2011","11","04","South America","Brazil","Paraná","Piraquara","Morro do Bruninho.","-48.989552","-25.530782",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2499696' target='other'> <mi>dwc_moreinfo</mi></a>","NY02063502","NY02063502_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","486776","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","glanduloso-marginata","Symplocos glanduloso-marginata","Hoehne","G. G. Hatschbach","13053","1965","10","22","South America","Brazil","Paraná","Palmeira","Rod. do Cafe, Rio Tibagi","-49.891776","-25.299294",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355593' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486776","NY00486776_01","L. B. Smith; S. F. Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","486775","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","glanduloso-marginata","Symplocos glanduloso-marginata","Hoehne","J. T. W. Motta","3017","1996","01","30","South America","Brazil","Paraná","Bocaiúva do Sul","Serra de Santana","-49.115","-25.2061","1110","1110","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355599' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486775","NY00486775_01","G. G. Hatschbach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1146303","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","glanduloso-marginata","Symplocos glanduloso-marginata","Hoehne","P. W. Fritsch","1826","2005","10","17","South America","Brazil","Paraná","Piraquara","Road to and vicinity of SANEPAR Water Company. 500 m from Represa do Carvalhinho, ca. 23 km from BR-277.","-48.98386","-25.49714","1017","1017","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1336728' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146303","NY01146303_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1802181","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","glanduloso-marginata","Symplocos glanduloso-marginata","Hoehne","O. Handro","s.n. [=herb SP 29945]","1932","11","10","South America","Brazil","São Paulo","Sao Paulo","Sao Paulo (Capital), nativa no Jardim Bôtanico","-46.618358","-23.646109",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2047229' target='other'> <mi>dwc_moreinfo</mi></a>","NY01802181","NY01802181_01",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","486772","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","glanduloso-marginata","Symplocos glanduloso-marginata","Hoehne","G. G. Hatschbach","39767","1977","02","17","South America","Brazil","Paraná","Sao José dos Pinhais","Guaricana","-49.2064","-25.5347",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355596' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486772","NY00486772_01","G. G. Hatschbach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","486774","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","glanduloso-marginata","Symplocos glanduloso-marginata","Hoehne","M. V. Capranica","s.n.","1992","02","11","South America","Brazil","Paraná","Quatro Barras","Pico do Anhangava, Borda do Campo","-49.07","-25.35","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355601' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486774","NY00486774_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","486770","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","glanduloso-marginata","Symplocos glanduloso-marginata","Hoehne","R. Kummrow","2507","1984","11","08","South America","Brazil","Paraná","Piraquara","Represa de Piraquara","-49.0631","-25.4419",NA,NA,"sheet","Pollem sample removed, Paulo E. De Olivenca, Ohio State University 12 Ap. 92 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355598' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486770","NY00486770_01","G. G. Hatschbach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","486771","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","glanduloso-marginata","Symplocos glanduloso-marginata","Hoehne","G. G. Hatschbach","39177","1976","11","08","South America","Brazil","Paraná","Balsa Nova","Campina da Cascavel","-49.6356","-25.5842",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355597' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486771","NY00486771_01","G. G. Hatschbach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
