"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","typeStatus","infraspecificEpithet"
"1","2021-04-05 14:24:50-03","UNESC","CRI","952","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","ranunculoides","Hydrocotyle ranunculoides","L.f.","Vanilde Citadini- Zanette","Vanilde Citadini Zanette; A. J. de Aguiar","1988","09","15","Brasil","Santa Catarina","Sombrio","Lagoa do Caverá.","-49.616944","-29.114444","49º37'1''W","29º6'52''S","2","2","CRI000624","CRI000624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:44:05-03","E","E","334860","PreservedSpecimen","Plantae","Umbelliferae","Hydrocotyle","ranunculoides","Hydrocotyle ranunculoides",NA,NA,"Bridges, Thomas Charles","1905","01","05","CL","Región V [Valparaíso]","Provincia de Valparaíso","Valparaíso",NA,NA,NA,NA,NA,NA,"E00334860",NA,"237","Temperate South America","herbarium specimen of unspecif","BGBASE:361859","<a href=http://data.rbge.org.uk/herb/E00334860 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:44:05-03","E","E","334859","PreservedSpecimen","Plantae","Umbelliferae","Hydrocotyle","ranunculoides","Hydrocotyle ranunculoides",NA,NA,"Buchtien, Otto",NA,NA,NA,"CL","Región V [Valparaíso]","Provincia de Valparaíso","Valparaíso",NA,NA,NA,NA,NA,NA,"E00334859",NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:361858","<a href=http://data.rbge.org.uk/herb/E00334859 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:44:05-03","E","E","25451","PreservedSpecimen","Plantae","Umbelliferae","Hydrocotyle","ranunculoides","Hydrocotyle ranunculoides",NA,NA,"Gardner, M.F.; Knees, S.G. & de Vore, M.L.","1990","01","27","CL","Región VII [Maule]","Provincia de Talca","Laguna del Maule. 5 kM west of Cipreses","-70.85","-35.866667","-70.850000","-35.866667","900","900","E00025451",NA,"4614","Temperate South America","herbarium specimen of unspecif","BGBASE:30421","<a href=http://data.rbge.org.uk/herb/E00025451 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:44:05-03","E","E","182545","PreservedSpecimen","Plantae","Umbelliferae","Hydrocotyle","ranunculoides","Hydrocotyle ranunculoides",NA,NA,"Gardner, Martin F. & Knees, Sabina G.","2004","01","05","CL","Región X [Los Lagos]","Provincia de Valdivia","Main road through town.","-71.416667","-39.883333","-71.416667","-39.883333","2","2","E00182545",NA,"6965","Temperate South America","herbarium specimen of unspecif","BGBASE:194064","<a href=http://data.rbge.org.uk/herb/E00182545 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","617776","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","ranunculoides","Hydrocotyle ranunculoides","L.f.","L. Constance","G. G. Hatschbach","1971","12","06","Brazil","Paraná","Palmas","Sao Agostinho","-51.9906","-26.4844",NA,NA,NA,NA,"NY00617776","NY00617776_01","28293","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651719' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Apiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-27 07:36:00-03","NY","NYBG","617784","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","ranunculoides","Hydrocotyle ranunculoides",NA,NA,"T. M. Pedersen","1983","12","20","Argentina","Corrientes","Concepción","Carambola",NA,NA,NA,NA,NA,NA,"NY00617784",NA,"13633","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651727' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Apiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01081415","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","ranunculoides","Hydrocotyle ranunculoides","L.f.","J. Mendoza F.","J. M. Pires","1978","08","04","Brazil","Mato Grosso",NA,"Sararé, Radambrasil, folha SD 21-YA; ponto 30.","-59.75","-14.83",NA,NA,NA,NA,"NY01081415","NY01081415_01","16455","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1226234' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Apiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","617783","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","ranunculoides","Hydrocotyle ranunculoides","L.f.","R. Callejas Posada","A. Zapata","1984","04","04","Colombia","Antioquia","La Unión","San Miguel, la Cruz, finca la Eperanza",NA,NA,NA,NA,"2718","2718","NY00617783",NA,"11","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651722' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Apiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","617780","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","ranunculoides","Hydrocotyle ranunculoides","L.f.","M. E. Mathias","W. G. F. Herter","1927","09","18","Uruguay","Montevideo",NA,"Santiago Vasquez",NA,NA,NA,NA,"5","10","NY00617780",NA,"956","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651724' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Apiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
