"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","infraspecificEpithet","relatedCatalogItem","typeStatus","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:14-03","UNESC","CRI","1966","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","hirtus","Croton hirtus","L'Hér.","L. B. Smith","R. Reitz; R. M. Klein","1963","12","29","Brasil","Santa Catarina","Abelardo Luz","-52.328611","-26.565278","52º19'43''W","26º33'55''S","CRI002335","CRI002335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-27 14:56:00-03","NY","NYBG","504163","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","hirtus","Croton hirtus",NA,"M. Toledo","M. Toledo","1994","01","31","Bolivia","Santa Cruz","Ñuflo de Chávez","-61.8567","-16.9831",NA,NA,"NY00504163",NA,"Magnoliophyta","Malpighiales","370","South America","Region de Lomerio. Comunidad salinas","300","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=313930' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","504167","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","hirtus","Croton hirtus","L'Hér.","G. L. Webster","G. G. Hatschbach","1991","02","14","Brazil","Bahia","Guanambi","-42.78","-14.22",NA,NA,"NY00504167","NY00504167_01","Magnoliophyta","Malpighiales","55118","South America","Guanambi, arredores",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=313931' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1026965","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","hirtus","Croton hirtus","L'Hér.","S. L. Ginzbarg","G. Eiten","1970","02","11","Brazil","Maranhão","Loreto","-45.08","-7.2847",NA,NA,"NY01026965","NY01026965_01","Magnoliophyta","Malpighiales","10582","South America","Ilha de Balsas region between the Balsas & Parnaíba Rivers. 26 km south of Loreto. Varjão do Mariana (or Varjão do Gonçal-Alves), just south of Riacho do Mariana","200","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131379' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01301855","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","hirtus","Croton hirtus","L'Hér.","J. A. Kallunki","P. B. Cavalcante","1970","03","09","Brazil","Pará",NA,"-55.75","2.33",NA,NA,"NY01301855","NY01301855_01","Magnoliophyta","Malpighiales","2605","South America","Parque Indigena do Tumucumaque; Rio Parú de Oeste, Missão Tiriyo. Estrada para Uanda.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1579484' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1026964","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","hirtus","Croton hirtus","L'Hér.","S. L. Ginzbarg","H. S. Irwin","1966","07","09","Brazil","Distrito Federal","Brasília","-47.892","-15.575",NA,NA,"NY01026964","NY01026964_01","Magnoliophyta","Malpighiales","18103","South America","Córrego Landim, ca. 25 km. N. of Brasília, D. F.","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131378' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00504475","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","hirtus","Croton hirtus","L'Hér.","M. F. de Sales","M. F. de Sales","1995","04","12","Brazil","Pernambuco","Bezerros","-35.7969","-8.23333",NA,NA,"NY00504475","NY00504475_01","Magnoliophyta","Malpighiales","583","South America","Bezerros, Parque Municipal de Serra Negra",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591373' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-27 04:23:00-03","NY","NYBG","504161","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","hirtus","Croton hirtus",NA,"S. L. Ginzbarg","R. A. Toro","1927",NA,NA,"Colombia","Antioquia",NA,NA,NA,NA,NA,"NY00504161",NA,"Magnoliophyta","Malpighiales","247","South America","Vicinity of Medellin",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=313928' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02431383","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","hirtus","Croton hirtus","L'Hér.",NA,"W. A. Archer","1943","01","21","Brazil","Pará","Belém","-48.4447503","-1.4380977",NA,NA,"NY02431383","NY02431383_01","Magnoliophyta","Malpighiales","8149","South America","South woods of I. A. N.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2968383' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","504127","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","hirtus","Croton hirtus","L'Hér.","S. L. Ginzbarg","S. L. Ginzbarg","1988","03","23","Brazil","Bahia","Iramaia","-40.67","-13.58",NA,NA,"NY00504127","NY00504127_01","Magnoliophyta","Malpighiales","852","South America","Rodovia Maracás/Contendas de Sincorá, 33 km ao SO de Maracás (4 km após o povodao de Pé de Serra)","390","390","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=313926' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
