"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","yearIdentified","monthIdentified","dayIdentified","year","month","day","individualCount","occurrenceRemarks","identifiedBy","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","barcode","imagecode","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","minimumElevationInMeters","maximumElevationInMeters","typeStatus","infraspecificEpithet","relatedCatalogItem"
"1","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","3996","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","schofieldiana","Cattleya schofieldiana","2017","03","13","2017","03","13","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","4143","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","schofieldiana","Cattleya schofieldiana","2017","08","21",NA,NA,NA,"1","254","Carlos Alberto Ferreira Júnior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","4031","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","schofieldiana","Cattleya schofieldiana","2017","03","27",NA,NA,NA,"1","254","Carlos Alberto Ferreira Júnior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","414813","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","granulosa","Cattleya granulosa",NA,NA,NA,"1997","12","15",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421118' target='other'> <mi>dwc_moreinfo</mi></a>","G. A. Romero","Lindl.","J. G. Jardim","1169","South America","Brazil","Bahia","Ilhéus","Regiao Cacaueria. CEPLAC/CEPEC. Ao NW do Centro de Pesquisas do Cacau-CEPEC. Fazenda","-39.0492","-14.7892","sheet","NY00414813","NY00414813_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","414814","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","granulosa","Cattleya granulosa",NA,NA,NA,"1931","04","10",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421119' target='other'> <mi>dwc_moreinfo</mi></a>","F. C. Hoehne","Lindl.","F. C. Hoehne","27453","South America","Brazil","Bahia","Bom Jesus da Lapa","Pernambuco","-43.41","-13.25","sheet","NY00414814","NY00414814_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-31 13:40:48-03","MN","R","219514","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cattleya","granulosa","Cattleya granulosa","1982","08","04","1980","10","18",NA,"Projeto Parques das Dunas","Toscano","Lindl.","Mello Filho, L.E.","4747",NA,"Brasil","Rio Grande do Norte","Natal",NA,"-35.216667","-59.75",NA,NA,NA,"35°13'00W","59°45'00S",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-31 13:40:48-03","MN","R","35658","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cattleya","granulosa","Cattleya granulosa",NA,NA,NA,"1913","01",NA,NA,NA,"Hoehne, F.C.","Lindl.",NA,NA,NA,"Brasil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-02-15 11:46:52-02","IPA","IPA","3621","S","Plantae","Plantae",NA,"Orchidaceae","Cattleya","granulosa","Cattleya granulosa","1932","01",NA,"1924","11","17",NA,"Epífita.; Mata.","Hoehne","Lindl.","Pickel, B.","895","Southern America","Brasil","Pernambuco","São Lourenço da Mata","Tapera, São Bento.","-35.0182991027832","-8.00222015380859",NA,"IPA0003621",NA,NA,NA,"21764","auto",NA,NA,NA,NA,NA,NA
"9","2019-02-15 11:46:52-02","IPA","IPA","597","S","Plantae","Plantae",NA,"Orchidaceae","Cattleya","granulosa","Cattleya granulosa",NA,NA,NA,NA,NA,NA,NA,"Cultivada.",NA,"Lindl.","Vasconcelos Sobrinho","s.n.","Southern America","Brasil","Pernambuco",NA,"sertão de Pernambuco.",NA,NA,NA,"IPA0000597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-07-05 11:14:16-03","FFCLRP","LBMBP","131","S","Plantae",NA,NA,"Orchidaceae","Cattleya","granulosa","Cattleya granulosa",NA,NA,NA,NA,NA,NA,NA,NA,"E.R. Pansarin","Lindl.","E.R. Pansarin",NA,NA,"Brasil","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-07-05 11:14:16-03","FFCLRP","LBMBP","283","S","Plantae",NA,NA,"Orchidaceae","Cattleya","granulosa","Cattleya granulosa",NA,NA,NA,NA,NA,NA,NA,NA,"E.R. Pansarin","Lindl.","E.R. Pansarin",NA,NA,"Brasil","Rio Grande do Norte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-07-05 11:14:16-03","FFCLRP","LBMBP","365","S","Plantae",NA,NA,"Orchidaceae","Cattleya","granulosa","Cattleya granulosa",NA,NA,NA,NA,NA,NA,NA,NA,"E.R. Pansarin","Lindl.","E.R. Pansarin",NA,NA,"Brasil","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-07-05 11:14:16-03","FFCLRP","LBMBP","1085","S","Plantae",NA,NA,"Orchidaceae","Cattleya","schofieldiana","Cattleya schofieldiana",NA,NA,NA,NA,NA,NA,NA,NA,"E.R. Pansarin","Rchb.f.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-07-05 11:14:16-03","FFCLRP","LBMBP","119","S","Plantae",NA,NA,"Orchidaceae","Cattleya","schofieldiana","Cattleya schofieldiana",NA,NA,NA,NA,NA,NA,NA,NA,"E.R. Pansarin","Rchb.f.","E.R. Pansarin",NA,NA,"Brasil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-04-22 16:26:35-03","UFPB","JPB","38007","PreservedSpecimen","Plantae","Angiosperma","Monocotyledon","Orchidaceae","Cattleya","granulosa","Cattleya granulosa",NA,NA,NA,"2007","10","04",NA,"; DESC: Epífita entouceirada de folhas carnosas, suculentas. Flores amarelo-esverdeada com pontuações púrpuras. Labelo branco variegado com manchas rosadas.",NA,"Lindl.","Gadelha Neto, PC; Lima, IB; Lima, RS; Silva, CS","1863","Southern America","Brasil","Paraíba","Mataraca","Millennium Inorganic Chemicals Mineração Ltda, Arenoso","-34.978633","-6.493619",NA,NA,NA,"-34.978633","-6.493619",NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-11-06 09:56:49-03","UFOP","OUPR","9634","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cattleya","schofieldiana","Cattleya schofieldiana","1943",NA,NA,NA,NA,NA,NA,"Cultivada. Erva. Flores palidas maculada","Toffolo","Rchb.f.","s.col.","s.n.",NA,"Brasil","Minas Gerais","Ouro Preto",NA,"-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
"17","2020-09-25 10:57:41-03","UFPE","UFP-CARPOTECA","458","S","Plantae",NA,NA,"Orchidaceae","Cattleya","granulosa","Cattleya granulosa","2008","07","11","2008","07","11",NA,"Fruto Seco. São frutos secos, descentes, com aberturas laterais, mas que os carpelos não se separam completamente, se mantendo presos no ápice e na base.","Costa, RA","Londl.","Costa, RA","s.n.",NA,"Brasil","Rio Grande do Norte","Natal","Parque das Dunas, Restinga","-35.209400177002","-5.79500007629395",NA,NA,NA,NA,NA,"12751","auto",NA,NA,NA,NA,NA,NA
"18","2020-09-25 10:57:41-03","UFPE","UFP-CARPOTECA","459","S","Plantae",NA,NA,"Orchidaceae","Cattleya","granulosa","Cattleya granulosa","2009","09","24","2009","09","24",NA,"Fruto imaturo com fungos. São frutos secos, descentes, com aberturas laterais, mas que os carpelos não se separam completamente, se mantendo presos no ápice e na base.","Costa, RA","Londl.","Costa, RA","s.n.",NA,"Brasil","Rio Grande do Norte","Natal","Parque das Dunas, Restinga","-35.209400177002","-5.79500007629395",NA,NA,NA,NA,NA,"12751","auto",NA,NA,NA,NA,NA,NA
"19","2021-03-21 19:40:17-03","UFC","EAC","23279","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cattleya","granulosa","Cattleya granulosa",NA,NA,NA,"1995","08","20",NA,"Rizoma longo, erva.; Dunas","Lima-Verde, L.W.","Lindl.","Lima-Verde, L.W.","s.n.","Southern America","Brasil","Rio Grande do Norte","Natal",NA,"-35.209400177002","-5.79500007629395",NA,"EAC0023279","EAC0023279",NA,NA,"12751","auto",NA,NA,NA,NA,NA,NA
"20","2021-03-21 19:40:17-03","UFC","EAC","41607","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cattleya","granulosa","Cattleya granulosa","2007","01",NA,"2006","12","30",NA,"Epífita.; Dunas costeiras.","Castro, A.S.F.","Lindl.","Castro, A.S.F.","1902","Southern America","Brasil","Rio Grande do Norte","Rio do Fogo","Punaú","-35.3830986022949","-5.27277994155884",NA,"EAC0041607","EAC0041607",NA,NA,"22668","auto",NA,NA,NA,NA,NA,NA
"21","2019-08-15 09:04:37-03","UESC","UESC","10599","S","Plantae","Angiospermae","Florideophycidae","Orchidaceae","Cattleya","schofieldiana","Cattleya schofieldiana",NA,NA,NA,"2005","10","14",NA,NA,NA,"Rchb. f.","João Eduardo dos Santos",NA,NA,"Brasil","Bahia","Guaratinga",NA,"-39.7827987670898","-16.5839004516602",NA,"UESC0010599",NA,NA,NA,"55290","auto","Monocotyledoneae",NA,NA,NA,NA,NA
"22","2020-10-01 14:25:52-03","JBB","HEPH","17095","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Cattleya","granulosa","Cattleya granulosa","2001",NA,NA,"2001","11","16",NA,NA,"Felix, LP","Lindl.","Salles, AEH; Félix, LP; Oliveira, MS","2328","Southern America","Brasil","Rio Grande do Norte","Natal","Cidade Nova","-35.209400177002","-5.79500007629395",NA,NA,NA,NA,NA,"12751","auto",NA,NA,NA,NA,NA,NA
"23","2015-05-20 10:36:13-03","UFERSA","MOSS","2232","S","Plantae",NA,NA,"Orchidaceae","Cattleya","granulosa","Cattleya granulosa",NA,NA,NA,"1980","10","18",NA,"herbácea; coletado no interior da mata; n.v. orquídea.",NA,"Lindl.","Projeto Parque das Dunas","193","América do Sul","Brasil","Rio Grande do Norte","Natal","Setor - B.","-35.216667","-5.8",NA,NA,NA,"35W13'00","5S48'00",NA,NA,NA,NA,NA,NA,NA,NA
"24","2015-05-20 10:36:13-03","UFERSA","MOSS","5886","S","Plantae",NA,NA,"Orchidaceae","Cattleya","granulosa","Cattleya granulosa","2000","08","12","2000","08","12",NA,"epífita; coletado nas dunas.","Felix, L.P.","Lindl.","Figueiredo, M.de L.","2","América do Sul","Brasil","Rio Grande do Norte","Rio do Fogo","localidade de Panaú.","-35.3831","-5.27278",NA,NA,NA,NA,NA,"22668","auto",NA,NA,NA,NA,NA,NA
